mean_barle,Fishnet_ID,COUNTRY,Field1,Barley_Pred,Barley_Error_Ratio
7.611742973,67581,Germany,67581,0.852740918,6.759002055
7.464813731,69203,Germany,69203,0.862411667,6.602402064
7.396246751,75289,Germany,75289,0.822188807,6.574057944
7.410480266,68719,France,68719,0.855320367,6.555159899
7.340350704,44917,Germany,44917,0.807571637,6.532779067
7.391918873,70018,France,70018,0.879254394,6.512664479
7.348165771,47929,France,47929,0.875326931,6.47283884
7.335327625,41970,France,41970,0.872997816,6.462329809
7.316074203,50850,France,50850,0.875362443,6.44071176
7.281270103,55799,Germany,55799,0.885627568,6.395642535
7.262447715,63018,France,63018,0.881940519,6.380507196
7.11938715,57467,France,57467,0.848184927,6.271202223
7.07713168,58099,Germany,58099,0.810179172,6.266952508
6.835956573,65180,Germany,65180,0.584154619,6.251801954
7.076199055,73593,France,73593,0.875487056,6.200711999
7.049697464,51107,France,51107,0.876703416,6.172994048
7.042562221,51065,France,51065,0.87984447,6.162717751
7.01755023,68994,France,68994,0.882712793,6.134837437
6.985965023,55629,Germany,55629,0.887801939,6.098163084
6.844109509,59106,France,59106,0.833302211,6.010807299
6.855727049,70301,Germany,70301,0.881289581,5.974437468
6.805982431,65461,Germany,65461,0.832533759,5.973448672
6.810530335,74192,France,74192,0.865507831,5.945022504
6.807845882,19616,Germany,19616,0.871810023,5.936035859
6.728580639,47588,France,47588,0.840055321,5.888525318
6.46128273,63897,Netherlands,63897,0.573644816,5.887637914
6.648248936,70562,Germany,70562,0.818762897,5.829486039
6.673727502,62496,Germany,62496,0.849662607,5.824064895
6.674272687,43329,Germany,43329,0.86219722,5.812075467
6.668092837,53938,France,53938,0.871706168,5.796386669
6.664998306,53480,France,53480,0.871217427,5.793780879
6.515964508,67848,Germany,67848,0.72812911,5.787835398
6.658949812,71068,Germany,71068,0.877956922,5.78099289
6.515964508,50242,Germany,50242,0.738037389,5.777927119
6.603882015,49602,France,49602,0.839935333,5.763946682
6.557239816,3985,Germany,3985,0.802556517,5.754683299
6.567909241,64849,France,64849,0.81403648,5.753872761
6.567909241,67138,France,67138,0.83576016,5.732149081
6.567909241,57912,France,57912,0.862557005,5.705352236
6.515964508,61528,Germany,61528,0.816191185,5.699773323
6.515964508,74575,Germany,74575,0.861540035,5.654424474
6.485215766,49558,Germany,49558,0.834476185,5.650739581
6.515964508,70708,Germany,70708,0.872215107,5.643749401
6.444727018,75364,Germany,75364,0.80202606,5.642700958
6.448113714,73522,Germany,73522,0.83856948,5.609544234
6.474500134,35041,Germany,35041,0.872075225,5.602424909
6.3985712,61856,France,61856,0.800734463,5.597836737
6.425263772,68010,France,68010,0.827665374,5.597598398
6.343119144,63253,Germany,63253,0.746549762,5.596569382
6.411559845,70613,France,70613,0.832885146,5.578674699
6.189292117,58266,Mexico,58266,0.610841105,5.578451012
6.365879527,54983,Netherlands,54983,0.806624732,5.559254795
6.220370293,44042,United Kingdom,44042,0.689742619,5.530627674
6.401985778,55090,France,55090,0.874189747,5.527796031
6.393218932,38342,France,38342,0.872546531,5.520672401
6.370517572,55372,France,55372,0.862731891,5.507785681
6.367985785,49989,Germany,49989,0.865875293,5.502110492
6.319678535,42986,Germany,42986,0.833589443,5.486089092
6.317334577,61563,Germany,61563,0.836062952,5.481271625
6.338680267,71924,France,71924,0.859059353,5.479620914
6.154865475,65476,United States,65476,0.675981462,5.478884013
6.343663221,73881,France,73881,0.866303297,5.477359924
6.163768971,59633,United States,59633,0.688058656,5.475710315
6.239808055,46103,France,46103,0.771004127,5.468803928
6.277689909,70278,Germany,70278,0.817282491,5.460407418
6.220370293,74165,United Kingdom,74165,0.763005478,5.457364815
