mean_cassa,Fishnet_ID,COUNTRY,Cassava_Pr,Cassava_Error_Ratio
0.056287877,22381,Angola,0.55356093,9.83446098
0.063671596,13150,Brazil,0.601686159,9.449836297
0.054010153,46666,Argentina,0.489772796,9.06816161
0.062434938,43539,Congo DRC,0.528510072,8.464973121
0.076087435,51986,Brazil,0.632317621,8.310407901
0.080740266,46515,Brazil,0.669691145,8.294388639
0.062434938,48121,Congo DRC,0.503512502,8.064595211
0.101609565,49501,Brazil,0.80441694,7.916744255
0.061234269,58164,Congo DRC,0.481005775,7.855172975
0.073631778,58997,Cameroon,0.55679864,7.561933925
0.051386861,17795,Sudan,0.386863122,7.528444324
0.064111363,49566,Bolivia,0.477207416,7.443413986
0.084159887,50992,Congo,0.62518177,7.428500587
0.061234269,55755,Congo DRC,0.453172328,7.40063261
0.082108743,56854,Brazil,0.604249972,7.359142887
0.068110842,53844,Congo DRC,0.495117481,7.26929027
0.053333333,18303,Sudan,0.382895672,7.179293895
0.053333333,48754,Sudan,0.382882973,7.179055789
0.062434938,52944,Congo DRC,0.447984441,7.175220403
0.062424241,44412,Ethiopia,0.446418714,7.151367912
0.066666666,62752,Eritrea,0.472687412,7.090311251
0.061234269,51463,Congo DRC,0.432377926,7.061044952
0.070410461,55370,Mexico,0.494778971,7.027066205
0.08,61245,Ethiopia,0.553849038,6.923112975
0.068110842,44221,Congo DRC,0.468390958,6.876892786
0.096272498,54408,Brazil,0.653919918,6.792385485
0.062434938,23986,Congo DRC,0.423136841,6.777244513
0.065553221,47034,Chad,0.4400545,6.712934823
0.071512605,44641,Chad,0.459936643,6.431546481
0.067217313,67139,India,0.426234178,6.341136814
0.066801021,40528,Congo DRC,0.420789381,6.299145952
0.161919199,59057,China,1.000140942,6.176790326
0.08,37534,Eritrea,0.484177947,6.052224338
0.066666666,42195,Sudan,0.402900703,6.043510605
0.073472222,42368,Mali,0.443206276,6.032297159
0.084159887,53114,Congo,0.506439306,6.017585385
0.073472222,55997,Mali,0.440330727,5.993159251
0.148425932,63041,China,0.888063932,5.983212772
0.071698467,54917,India,0.423055831,5.900486422
0.073631778,60010,Congo,0.432912279,5.879421776
0.075904088,41237,Congo,0.442580209,5.83078225
0.084123429,54864,Congo,0.489473654,5.818517621
0.133583339,69290,China,0.772411036,5.782240823
0.116988659,53633,Mexico,0.670203448,5.728789899
0.161919199,52664,China,0.913338361,5.640704541
0.080151515,54241,Mali,0.443881282,5.538027347
0.080151515,58779,Mali,0.443385404,5.53184059
0.082775732,52262,Congo DRC,0.455021836,5.49704394
0.150428233,43545,Brazil,0.821197188,5.459062914
0.078216509,55525,India,0.425315179,5.437665071
0.073333333,50961,Sudan,0.395980588,5.399735315
0.113583763,43167,Brazil,0.606923335,5.34339873
0.139734145,54665,Brazil,0.743821161,5.323116701
0.097770637,55017,India,0.514708109,5.264444672
0.133583339,57531,China,0.666373345,4.988446538
0.093183872,44512,Peru,0.456870266,4.902889912
0.114444441,56233,Kenya,0.55689708,4.866091137
0.133583339,24749,China,0.646971792,4.843207221
0.08,54987,Sudan,0.386353614,4.829420175
0.133583339,42283,China,0.644115538,4.821825407
0.090300798,41424,Congo DRC,0.430383078,4.766104924
0.170326663,41898,Myanmar,0.810404614,4.757943353
0.097770637,53520,India,0.463119275,4.736793062
0.085555555,48407,Sudan,0.395536842,4.623157924
0.162089908,65493,India,0.738385519,4.555407108
0.120475914,45063,Brazil,0.547724212,4.546337885
0.106932315,43948,Peru,0.467445751,4.371417106
0.20527186,47733,Brazil,0.897122615,4.370412072
0.13380606,53176,Myanmar,0.58417042,4.365799426
0.148425932,43382,China,0.63534295,4.280538727
0.106993263,56346,Gabon,0.456656876,4.268090001
0.122222222,60953,Eritrea,0.521263055,4.264879549
0.235241552,46856,Brazil,1.000378158,4.25255721
0.098077158,51273,Gabon,0.406604956,4.145766092
0.093333333,45718,Sudan,0.385914942,4.134802965
0.138037072,58197,Niger,0.569073473,4.12261333
0.166979174,40657,China,0.686057714,4.108642399
0.139126854,60182,Senegal,0.570878731,4.103296485
0.196513587,38699,Brazil,0.804327357,4.092985983
0.149813091,49913,China,0.611809826,4.083820859
0.12390956,47561,Brazil,0.505227696,4.077390768
0.167996706,49246,Peru,0.683573331,4.068968656
0.145727279,59591,China,0.591650232,4.059982702
0.148425932,63429,China,0.587613093,3.958965156
0.097777777,56508,Sudan,0.386635236,3.954224036
0.097777777,62378,Sudan,0.385551864,3.943144095
0.148425932,71632,China,0.57914051,3.901882253
0.114444441,39378,Ethiopia,0.445430283,3.892109386
0.139105893,42846,Brazil,0.534503479,3.842421536
0.133583339,66790,China,0.512400498,3.835811426
0.166979174,45279,China,0.636894694,3.814216341
0.151232841,39151,Brazil,0.576059533,3.809090203
0.148425932,26976,China,0.564184948,3.801121141
0.131997956,62140,Niger,0.50073197,3.793482757
0.124869876,45018,Congo DRC,0.472757795,3.786003559
0.241430122,15457,Kenya,0.899705378,3.726566389
0.182132114,21808,Brazil,0.67496922,3.705931948
0.127661402,48117,Mali,0.469480134,3.677541737
0.123669207,51838,Congo DRC,0.451354458,3.649691536
0.106666666,57114,Sudan,0.38516868,3.610956398
0.109999999,10071,Sudan,0.393971791,3.581561769
0.323838398,54559,China,1.15594664,3.569516917
0.13135597,54355,India,0.468566734,3.567152174
0.161919199,9138,China,0.577139577,3.564367787
0.180560643,34241,Cameroon,0.623264686,3.451830231
0.171666662,57475,Kenya,0.591993235,3.448504375
