"","mean_barle","Fishnet_ID","COUNTRY","Field1","Barley_Pred","Barley_Error_Ratio"
"1",5.902850775,59521,"Germany",59521,0.814580459,5.088270316
"2",5.930054188,41306,"France",41306,0.848173745,5.081880443
"3",5.930054188,50048,"France",50048,0.848827156,5.081227032
"4",5.910493284,66086,"Germany",66086,0.831730993,5.078762291
"5",5.930054188,48444,"France",48444,0.854550086,5.075504102
"6",5.930054188,71166,"France",71166,0.854839046,5.075215142
"7",5.825392711,72314,"Germany",72314,0.756785842,5.068606869
"8",5.877466524,45779,"United Kingdom",45779,0.810115824,5.0673507
"9",5.883636585,70252,"France",70252,0.824627008,5.059009577
"10",5.885142769,60194,"United Kingdom",60194,0.827035001,5.058107768
"11",5.880854527,59451,"United Kingdom",59451,0.825010841,5.055843686
"12",5.873993039,67536,"France",67536,0.8289546,5.045038439
"13",5.896732186,44446,"France",44446,0.852116017,5.044616169
"14",5.850750005,70592,"United Kingdom",70592,0.815038517,5.035711488
"15",5.885729278,64700,"Germany",64700,0.851835525,5.033893753
"16",5.8364803,50571,"France",50571,0.815240784,5.021239516
"17",5.826440103,74213,"Netherlands",74213,0.811072958,5.015367145
"18",5.832013696,69959,"Netherlands",69959,0.820569129,5.011444567
"19",5.559999943,23855,"New Zealand",23855,0.558808854,5.001191089
"20",5.71130769,73349,"United Kingdom",73349,0.733544336,4.977763354
"21",5.629570099,65808,"United States",65808,0.659960062,4.969610037
"22",5.647411346,72387,"Italy",72387,0.682886888,4.964524458
"23",5.782601665,71324,"United Kingdom",71324,0.819093066,4.963508599
"24",5.747708639,67450,"Germany",67450,0.787765357,4.959943282
"25",5.647411346,69509,"Italy",69509,0.687816214,4.959595132
"26",5.762489629,72684,"Netherlands",72684,0.818584061,4.943905568
"27",5.759568066,74765,"Germany",74765,0.819559889,4.940008177
"28",5.789421042,43872,"Germany",43872,0.856676933,4.932744109
"29",5.601836681,37551,"Chile",37551,0.6747812,4.927055481
"30",5.721885226,56906,"Netherlands",56906,0.812869096,4.90901613
"31",5.72589787,44088,"United Kingdom",44088,0.81759755,4.90830032
"32",5.682556629,72884,"United Kingdom",72884,0.774256729,4.9082999
"33",5.682556629,66089,"United Kingdom",66089,0.77610028,4.906456349
"34",5.682556629,75096,"United Kingdom",75096,0.77610028,4.906456349
"35",5.726816242,72288,"Germany",72288,0.823211163,4.903605079
"36",5.694887576,55661,"France",55661,0.797849109,4.897038467
"37",5.726223272,46671,"Germany",46671,0.84196555,4.884257722
"38",5.672276974,66231,"Denmark",66231,0.790775101,4.881501873
"39",5.672276974,50539,"Denmark",50539,0.795391934,4.87688504
"40",5.672276974,17027,"Denmark",17027,0.799495488,4.872781486
"41",5.672276974,51751,"Denmark",51751,0.800634765,4.871642209
"42",5.672276974,66361,"Denmark",66361,0.801123362,4.871153612
"43",5.596641779,68094,"Denmark",68094,0.727692864,4.868948915
"44",5.682556629,49619,"United Kingdom",49619,0.815787631,4.866768998
"45",5.713818748,73146,"Germany",73146,0.848692989,4.865125759
"46",5.682556629,70857,"United Kingdom",70857,0.824346214,4.858210415
"47",5.672276974,63846,"Denmark",63846,0.814549417,4.857727557
"48",5.702182462,59494,"Germany",59494,0.845323968,4.856858494
"49",5.667664098,46299,"Germany",46299,0.819741163,4.847922935
"50",5.601836681,6130,"Argentina",6130,0.755155391,4.84668129
"51",5.601836681,46768,"Chile",46768,0.755183778,4.846652903
"52",5.6605906,63444,"France",63444,0.819523828,4.841066772
"53",5.601836681,34848,"Chile",34848,0.76726793,4.834568751
"54",5.671548694,66715,"France",66715,0.844061434,4.82748726
"55",5.513015747,54776,"United States",54776,0.699617686,4.813398061
"56",5.605146279,68397,"United Kingdom",68397,0.802839738,4.802306541
"57",5.608988183,68350,"United Kingdom",68350,0.814949385,4.794038798
"58",5.463779537,53724,"United States",53724,0.676941089,4.786838448
"59",5.586681868,69897,"Germany",69897,0.807290061,4.779391807
"60",5.605086962,57184,"France",57184,0.82877954,4.776307422
"61",5.532678204,34006,"Chile",34006,0.771390897,4.761287307
"62",5.601160655,45637,"France",45637,0.847247516,4.753913139
"63",5.597183649,71400,"Germany",71400,0.846290374,4.750893275
"64",5.561055857,76109,"Denmark",76109,0.811491048,4.749564809
"65",5.613233604,31757,"France",31757,0.864501632,4.748731972
"66",5.548966605,66310,"Denmark",66310,0.810805769,4.738160836
"67",5.381897926,65995,"France",65995,0.665878938,4.716018988
"68",5.376388357,64914,"United States",64914,0.66713283,4.709255527
"69",5.523006527,62376,"Denmark",62376,0.814264517,4.70874201
"70",5.446819682,26857,"Argentina",26857,0.741705102,4.70511458
"71",5.528506841,61309,"Germany",61309,0.825535133,4.702971708
"72",5.373053249,61298,"United States",61298,0.679714266,4.693338983
"73",5.483201075,77342,"Denmark",77342,0.792072098,4.691128977
"74",5.537258294,74361,"Germany",74361,0.848944159,4.688314135
"75",5.502804915,53153,"Germany",53153,0.822567628,4.680237287
"76",5.44315055,73283,"France",73283,0.773053856,4.670096695
"77",5.466193721,47303,"Germany",47303,0.80601822,4.660175501
"78",5.367986679,77399,"United Kingdom",77399,0.710142983,4.657843696
"79",5.437076779,20293,"Chile",20293,0.780113444,4.656963335
"80",5.332869428,67269,"United States",67269,0.685930568,4.64693886
"81",5.367986679,556,"United Kingdom",556,0.723814653,4.644172026
"82",5.445641232,56411,"United Kingdom",56411,0.808363512,4.63727772
"83",5.381897926,65374,"France",65374,0.753799463,4.628098463
"84",5.432863127,34638,"France",34638,0.807051073,4.625812054
"85",5.381897926,45490,"France",45490,0.759549348,4.622348578
"86",5.466812344,13646,"France",13646,0.847094216,4.619718129
"87",5.428754478,3280,"United Kingdom",3280,0.810284864,4.618469614
"88",5.422391283,46956,"United Kingdom",46956,0.811812509,4.610578774
"89",5.417334309,60539,"France",60539,0.809844419,4.60748989
"90",5.377425671,47898,"Denmark",47898,0.773845986,4.603579685
"91",5.419378065,60455,"United Kingdom",60455,0.815881521,4.603496544
"92",5.358328233,75563,"United Kingdom",75563,0.758110504,4.600217729
"93",5.403269077,74690,"Germany",74690,0.803552898,4.599716179
"94",5.388663125,72174,"Denmark",72174,0.791752963,4.596910162
"95",5.274205557,58423,"United States",58423,0.680328168,4.593877389
"96",5.338112593,50532,"United Kingdom",50532,0.750358735,4.587753858
"97",5.2152071,56668,"Sweden",56668,0.629066698,4.586140402
"98",5.36842682,42284,"Chile",42284,0.784802713,4.583624107
"99",5.384838293,47299,"Netherlands",47299,0.809205807,4.575632486
"100",5.367986679,56888,"United Kingdom",56888,0.79643332,4.571553359
