mean_groun,Fishnet_ID,COUNTRY,Groundnut_Pred,Groundnut_Error_Ratio
0.104385303,54048,Namibia,0.414937366,3.975055435
0.114500696,48826,Botswana,0.414238214,3.617779005
0.163117261,5184,China,0.527821719,3.235842214
0.175310175,65176,Mexico,0.530891376,3.028297565
0.201062439,43583,Zimbabwe,0.5053186,2.513242168
0.175902779,54651,Colombia,0.43934857,2.497678391
0.207820615,42748,Mozambique,0.510785953,2.457821391
0.172161739,32902,India,0.415952977,2.416059337
0.19242424,48021,Brazil,0.458376674,2.382115029
0.175063282,48114,Madagascar,0.404941496,2.313114957
0.238321388,49685,Cameroon,0.51857887,2.175964459
0.272336314,47856,Argentina,0.538935542,1.978933819
0.209335831,53637,Mozambique,0.391236755,1.868943091
0.210098075,47425,Brazil,0.387747293,1.845553763
0.337222216,67207,Kazakhstan,0.59866232,1.775275446
0.255540476,48863,Angola,0.450637051,1.76346643
0.261470839,50219,China,0.451450761,1.726581682
0.326902493,43133,Central African Republic,0.562731519,1.721404795
0.320689362,46066,Zambia,0.540804774,1.68638202
0.292473192,47393,Nigeria,0.480662969,1.643442825
0.261474993,52795,Madagascar,0.419906566,1.605914819
0.368810953,55562,Tanzania,0.558351442,1.513923156
0.312984048,42694,Botswana,0.459366912,1.467700718
0.35587643,52034,Syria,0.493894804,1.387826679
0.356912847,48716,United States,0.435638464,1.220573783
0.400926548,62848,United States,0.483826365,1.206770585
0.385333337,68064,Iran,0.458385705,1.189582268
0.501132988,49451,Malawi,0.558121784,1.113719905
0.523825209,51798,Tanzania,0.582358434,1.111741902
0.46956521,49597,Peru,0.51170507,1.089742296
0.379999995,50909,Angola,0.407744023,1.073010601
0.492699936,16842,South Sudan,0.521612344,1.058681574
0.426168256,62409,United States,0.447501169,1.05005749
0.559006621,67438,China,0.583311287,1.043478315
0.450462958,60588,Kazakhstan,0.46642333,1.035431042
0.411473567,63125,Mexico,0.422517889,1.026840903
0.57770021,32034,United States,0.56699256,0.98146504
0.39666666,47071,Afghanistan,0.389062543,0.980829957
0.487024764,17363,Congo DRC,0.459577095,0.943642149
0.506770828,71739,Kazakhstan,0.466008634,0.919564837
0.652464116,53472,Mali,0.591827242,0.907064814
0.454805045,43746,South Sudan,0.403245311,0.886633329
0.570923607,41706,South Sudan,0.50228539,0.879776881
0.680000027,42397,Ethiopia,0.588141675,0.864914194
0.515267182,54094,Brazil,0.445402817,0.864411382
0.679462575,42962,Benin,0.583632716,0.85896227
0.527888681,45890,India,0.432906521,0.820071611
0.853159498,46433,Mexico,0.689140238,0.807750766
0.766751783,39890,Australia,0.598954486,0.781158257
0.751478019,42154,Congo DRC,0.586920931,0.781022087
0.576942421,46868,Central African Republic,0.429736801,0.744852147
0.626666653,7134,Tanzania,0.444465253,0.709253079
0.821266689,61581,India,0.57355586,0.698379549
0.754722213,42821,Ecuador,0.524515815,0.694978637
0.647325479,2477,Niger,0.448544419,0.692919456
0.799677566,68579,Kazakhstan,0.540455063,0.675841221
0.702732676,53515,South Korea,0.459912665,0.654463185
0.974476657,39945,Burkina Faso,0.625161084,0.641535207
0.645000026,45475,Ethiopia,0.409670815,0.635148525
0.761893936,50376,Bolivia,0.482398812,0.633157437
0.723958326,26217,Kazakhstan,0.457059356,0.631333793
0.916261735,44750,China,0.568573289,0.620535888
0.682916671,46081,Colombia,0.42282364,0.619143825
0.662131867,28718,Australia,0.403012959,0.608659663
0.797704701,26515,Sudan,0.469418632,0.588461659
0.787878788,65109,Saudi Arabia,0.455751241,0.578453498
0.71618881,59553,Kenya,0.408069934,0.569779824
0.909090909,45107,Cuba,0.517003791,0.56870417
1.092501646,55787,India,0.612850839,0.560961021
0.909090909,65554,Bahrain,0.498234738,0.548058212
0.731958525,55902,Mali,0.399379294,0.545631044
0.753240881,56308,Japan,0.409824592,0.544081717
0.959999979,51810,Papua New Guinea,0.500238264,0.521081536
1.151217959,47675,United States,0.597309223,0.518849813
0.993978116,62849,China,0.508395466,0.511475512
0.978109526,60445,Myanmar,0.493931619,0.504986002
0.803556869,42996,Paraguay,0.403234552,0.50181209
0.850419991,55230,India,0.424698755,0.499398838
0.948154425,46091,China,0.454406766,0.479253963
0.883229158,52322,Kazakhstan,0.416934765,0.472057293
0.889479775,35996,Australia,0.418150479,0.470106787
1.062677643,58471,Kenya,0.49884114,0.46941906
1.035439879,18196,Australia,0.484025738,0.467459046
1.138705532,64035,Bangladesh,0.528103955,0.4637757
1.258484467,57542,India,0.58260967,0.46294546
1.286627473,55110,China,0.587511547,0.456629102
0.984537986,38768,United States,0.437001243,0.443864279
1,60719,Cuba,0.443560732,0.443560732
1.061452448,35244,Botswana,0.468924755,0.441776507
0.974839074,59971,Laos,0.417964433,0.428752236
0.974591343,50719,United States,0.410314236,0.421011575
0.983537336,46017,Burkina Faso,0.412282777,0.419183657
1.298611148,48733,Peru,0.540866116,0.416495821
1.171049977,74307,China,0.482840549,0.412314212
1.479688944,51183,Mexico,0.590464235,0.39904619
0.959999979,53577,Papua New Guinea,0.382732004,0.39867918
1.49000001,54833,Colombia,0.593671398,0.398437177
1.459197482,36533,Cambodia,0.577764317,0.395946624
1.479560412,52674,France,0.582850155,0.393934678
1.49000001,43715,Colombia,0.583732232,0.391766596
1.323698504,47436,Mexico,0.514029476,0.388328214
1.060167895,27338,China,0.392231601,0.369971212
1.33208332,55574,Kazakhstan,0.48597091,0.364820205
1.33208332,67540,Kazakhstan,0.485521379,0.36448274
1.445914976,57487,China,0.492157054,0.340377589
1.698396947,53683,Colombia,0.555840124,0.327273389
1.657573095,53557,China,0.535856725,0.323277885
1.385181233,60959,Guinea,0.446200539,0.322124303
1.38199017,60690,India,0.438353745,0.317190205
1.341936641,63941,Japan,0.419898796,0.312905083
1.584515753,66957,Japan,0.492568838,0.310863958
1.389999986,14077,Kazakhstan,0.420560642,0.302561616
1.356117014,53964,India,0.408835917,0.301475398
1.458958343,16515,Colombia,0.439081276,0.300955321
1.436000037,50704,Ecuador,0.425336648,0.29619543
1.55161054,57274,Cambodia,0.458032879,0.295198355
1.49000001,57703,Colombia,0.436942733,0.293250154
2.020230848,64014,China,0.584928113,0.289535284
1.555463015,57599,Kyrgyzstan,0.448690528,0.288461072
2.059068412,42425,China,0.590111263,0.286591383
1.458297882,44533,Colombia,0.412851976,0.28310538
1.63504296,58684,India,0.457975031,0.280099693
1.695369093,34313,South Africa,0.471708731,0.27823365
1.616095174,60275,China,0.438553284,0.271366001
1.489185233,842,China,0.40296783,0.270596176
1.798288403,51036,India,0.482378366,0.26824305
1.605138865,60950,Venezuela,0.424296035,0.26433603
1.861157211,66478,China,0.491001106,0.263814955
1.908016069,50034,China,0.489744806,0.256677506
1.58279722,44468,Argentina,0.403358969,0.254839321
1.883472189,49965,Indonesia,0.430438141,0.228534376
2.111785549,47127,Japan,0.477836344,0.226271244
1.909999967,51829,Indonesia,0.40846365,0.213855318
1.909999967,53635,Indonesia,0.408144561,0.213688256
2.020562611,64353,China,0.428088904,0.211866191
2.490362285,60542,Mexico,0.517957562,0.207984824
2.36761008,40384,China,0.491138867,0.207440774
2.434784527,52111,China,0.501871724,0.206125724
2.30662342,68287,Israel,0.463286172,0.200850372
2.759510341,46703,China,0.518889865,0.188036934
2.507430651,50470,China,0.458892227,0.183012929
2.376467717,60205,China,0.418312795,0.176022923
3.146560192,53711,China,0.549667178,0.174688277
3.059999943,67612,Spain,0.5224933,0.170749448
2.937599945,42989,Greece,0.501141511,0.170595561
3.006980552,59727,China,0.502023472,0.166952683
2.463030266,59541,Venezuela,0.393663464,0.159828919
2.571636391,66017,Iran,0.388913329,0.15123185
3.177533666,53039,China,0.468404374,0.147411302
4.056999666,57795,China,0.493688639,0.121688114
5.263445346,56492,China,0.610243068,0.115939851
