"","mean_groun","Fishnet_ID","COUNTRY","Groundnut_","Groundnut_Error_Ratio"
"1",0.217783852,24,"Congo DRC",0.40296783,1.850310876
"2",0.618124998,59,"Sudan",0.448544419,0.725653259
"3",1.272414435,119,"India",0.527821719,0.414819028
"4",0.512716954,161,"Tanzania",0.444465253,0.866882301
"5",0.17492308,275,"Peru",0.440836094,2.520171117
"6",0.779962247,356,"Tanzania",0.439081276,0.56295196
"7",1.136014984,363,"India",0.521612344,0.459159739
"8",0.780582379,376,"Brazil",0.459577095,0.588761811
"9",0.839108884,393,"Paraguay",0.484025738,0.576833051
"10",2.942828695,464,"China",0.646527039,0.219695778
"11",0.356715445,566,"Bolivia",0.457059356,1.281299597
"12",0.75999999,576,"Ecuador",0.469418632,0.617656103
"13",0.336708857,644,"Angola",0.403012959,1.1969182
"14",0.21326553,665,"Australia",0.436161903,2.045158929
"15",0.654713626,675,"Sierra Leone",0.445192599,0.679980653
"16",0.127204649,718,"Nigeria",0.466410951,3.666618749
"17",1.904440274,758,"United States",0.56699256,0.297721366
"18",0.228878187,787,"Brazil",0.415952977,1.81735526
"19",0.479295926,828,"Brazil",0.427614026,0.892171209
"20",1.489185233,842,"China",0.471708731,0.316756251
"21",1.439491535,889,"Colombia",0.468924755,0.325757216
"22",0.196439392,927,"Brazil",0.418150479,2.128648815
"23",1.609175375,956,"China",0.577764317,0.359043723
"24",2.918333279,1015,"Spain",0.663232965,0.227264298
"25",0.5111111,1105,"Tanzania",0.437001243,0.855002451
"26",2.536633838,1206,"Mexico",0.598954486,0.236121776
"27",3.288043445,1215,"Indonesia",0.625161084,0.190131637
"28",0.87156781,1256,"Pakistan",0.491138867,0.563511939
"29",1.344917828,1415,"Australia",0.50228539,0.373469204
"30",1.846859472,1477,"Indonesia",0.586920931,0.317794039
"31",2.115244283,1520,"China",0.588141675,0.278049055
"32",3.251458718,1529,"China",0.590111263,0.181491236
"33",1.455303071,1566,"Peru",0.459366912,0.315650342
"34",1.352781653,1581,"South Africa",0.510785953,0.377581964
"35",0.920765816,1593,"Mexico",0.524515815,0.569651703
"36",1.909999967,1624,"Indonesia",0.583632716,0.305566872
"37",1.044393935,1629,"Bolivia",0.501141511,0.479839545
"38",0.204240579,1630,"Mozambique",0.403234552,1.974311638
"39",1.909999967,1650,"Indonesia",0.562731519,0.294623837
"40",1.389999986,1759,"Kazakhstan",0.5053186,0.363538565
"41",1.909999967,1789,"Indonesia",0.583732232,0.305618975
"42",0.180639404,1797,"Mozambique",0.403245311,2.232321974
"43",0.302524268,1979,"Angola",0.403358969,1.333311115
"44",0.981818423,2069,"United States",0.568573289,0.579102282
"45",1.226666662,2177,"Belize",0.517003791,0.421470483
"46",0.66258554,2229,"Australia",0.464284054,0.700715645
"47",0.532387974,2420,"China",0.432906521,0.813141059
"48",0.281060591,2455,"Namibia",0.412282777,1.466882196
"49",1.575977921,2468,"Mexico",0.540804774,0.343155045
"50",0.610000024,2474,"Ethiopia",0.42282364,0.693153481
"51",0.647325479,2477,"Niger",0.454406766,0.701975715
"52",4.037938069,2602,"Greece",0.689140238,0.170666371
"53",1.909999967,2614,"Indonesia",0.584893859,0.306227157
"54",1.364121616,2688,"Myanmar",0.518889865,0.380383874
"55",0.531299743,2740,"Congo DRC",0.429736801,0.808840596
"56",0.078926501,2808,"Botswana",0.389062543,4.929428494
"57",1.414094889,2824,"Brazil",0.477836344,0.337909675
"58",0.744254306,2903,"India",0.480662969,0.645831627
"59",1.191428559,2917,"Kazakhstan",0.514029476,0.431439613
"60",2.204968171,3005,"China",0.597309223,0.270892447
"61",1.711731065,3068,"Myanmar",0.538935542,0.314848257
"62",0.522429836,3108,"United States",0.458376674,0.877393752
"63",0.204393937,3131,"Angola",0.404941496,1.981181546
"64",0.440507364,3297,"Tanzania",0.435638464,0.988947063
"65",2.273552886,3302,"China",0.540866116,0.237894671
"66",0.085354074,3335,"South Africa",0.414238214,4.853174484
"67",0.495694453,3344,"Guyana",0.450637051,0.909102469
"68",0.652870944,3409,"Uganda",0.451796763,0.692015424
"69",1.70086586,3512,"Brazil",0.558121784,0.328139801
"70",1.160415713,3560,"Bangladesh",0.51170507,0.44096703
"71",1.704772727,3592,"Colombia",0.51857887,0.304192378
"72",0.338391346,3679,"Tanzania",0.430438141,1.272012852
"73",1.126111075,3705,"Tajikistan",0.489744806,0.4348992
"74",0.633484846,3767,"Bolivia",0.451450761,0.712646504
"75",0.735751661,3820,"India",0.482398812,0.655654397
"76",0.703587475,3854,"Mozambique",0.458892227,0.652217732
"77",0.513002844,3928,"Brazil",0.425336648,0.829111676
"78",0.083416664,3933,"Turkmenistan",0.410314236,4.918852137
"79",0.186060796,3995,"Zambia",0.407744023,2.191455867
"80",2.178710348,4035,"Australia",0.482378366,0.22140546
"81",2.961568311,4073,"China",0.590464235,0.199375524
"82",1.909999967,4266,"Indonesia",0.582358434,0.304899709
"83",0.861893907,4272,"Brazil",0.500238264,0.580394246
"84",1,4340,"Cuba",0.493894804,0.493894804
"85",1.797307162,4364,"China",0.501871724,0.279235366
"86",1.57351748,4372,"Laos",0.529896668,0.336759315
"87",0.246944441,4379,"Brazil",0.435329367,1.762863603
"88",0.348333329,4441,"Angola",0.416934765,1.196941924
"89",2.059999943,4544,"Argentina",0.582850155,0.282936976
"90",0.170000007,4584,"Ethiopia",0.419906566,2.470038522
"91",0.91174825,4656,"Guyana",0.468404374,0.513743102
"92",2.398019426,4680,"United States",0.536718495,0.223817409
"93",1.118741035,4785,"Nigeria",0.5039195,0.450434448
"94",1.617236966,4794,"China",0.591827242,0.365949613
"95",0.149772728,4804,"Guyana",0.459912665,3.07073705
"96",1.680655518,4820,"India",0.535856725,0.318837929
"97",0.205273237,4845,"Botswana",0.408144561,1.988298947
"98",1.876310555,4862,"China",0.555840124,0.296241005
"99",1.530923269,4869,"Turkey",0.549667178,0.359042931
"100",1.151691364,4916,"Brazil",0.450966351,0.391568753
"101",0.215495682,4954,"Zambia",0.408835917,1.897188441
"102",0.33268337,4983,"Mozambique",0.414937366,1.247244087
"103",0.576260255,4998,"Madagascar",0.445402817,0.77291955
"104",0.89361519,5137,"Mexico",0.499679462,0.559166258
"105",0.163117261,5184,"China",0.43934857,2.69345235
"106",2.172972772,5236,"China",0.593671398,0.273207012
"107",1.389999986,5278,"Kazakhstan",0.519000675,0.373381784
"108",0.604444433,5286,"Greece",0.501365913,0.829465681
"109",2.529772779,5316,"Honduras",0.587511547,0.23223886
"110",0.299747276,5354,"Congo DRC",0.424698755,1.416856095
"111",1.416173902,5457,"Malaysia",0.558351442,0.394267569
"112",0.916408002,5463,"Guinea",0.48597091,0.530299723
"113",2.94744735,5521,"United States",0.612850839,0.207925967
"114",0.557853291,5542,"Congo DRC",0.442911262,0.793956528
"115",0.177146493,5558,"Angola",0.399379294,2.254514257
"116",0.105790506,5680,"China",0.409824592,3.873926002
"117",2.256097561,5731,"Portugal",0.610243068,0.270486117
"118",0.758113201,5941,"Brazil",0.458032879,0.604174783
"119",1.909999967,5972,"Indonesia",0.589224614,0.308494568
"120",0.924444424,5998,"Papua New Guinea",0.492157054,0.53238144
"121",1.909999967,6014,"Indonesia",0.58260967,0.305031246
"122",0.665636073,6069,"Mexico",0.436942733,0.656428867
"123",1,6093,"Vanuatu",0.493688639,0.493688639
"124",2.391163785,6229,"China",0.616911941,0.257996522
"125",1.005268483,6273,"Brazil",0.49884114,0.496226778
"126",0.578446273,6328,"Niger",0.457975031,0.791733048
"127",0.157410023,6542,"Brazil",0.408069934,2.592401209
"128",1.404136145,6581,"Laos",0.502023472,0.357531906
"129",0.302755779,6585,"Argentina",0.475238033,1.569707553
"130",0.181204534,6640,"Nigeria",0.417964433,2.306589266
"131",1.909999967,6646,"Indonesia",0.580850379,0.304110151
"132",0.193721354,6694,"Brazil",0.418312795,2.159353042
"133",0.473861933,6709,"Congo DRC",0.438553284,0.925487475
"134",0.810285579,6752,"India",0.493931619,0.609577206
"135",1.230000019,6773,"Costa Rica",0.517957562,0.421103702
"136",0.244125472,6816,"Madagascar",0.443560732,1.81693753
"137",0.439797658,6884,"Niger",0.424296035,0.96475283
"138",0.555640312,6886,"Uruguay",0.446200539,0.803038457
"139",1.358864244,7007,"Indonesia",0.57355586,0.422084739
"140",1.404626012,7125,"Thailand",0.535391155,0.38116278
"141",0.626666653,7134,"Tanzania",0.436522754,0.696578878
"142",0.5396662,7138,"Uruguay",0.447501169,0.829218448
"143",0.851912461,7233,"India",0.483826365,0.567929673
"144",1.144934535,7234,"Bangladesh",0.508395466,0.444038895
"145",0.372023602,7275,"Mozambique",0.422517889,1.135728719
"146",0.474577266,7404,"Namibia",0.419898796,0.884784894
"147",1.909999967,7417,"Indonesia",0.584928113,0.306245091
"148",1.291157125,7423,"South Africa",0.528103955,0.409016025
"149",0.829670173,7455,"Central African Republic",0.470847057,0.56751113
"150",2.956736076,7473,"Indonesia",0.588714781,0.199109682
"151",0.608124994,7480,"Kazakhstan",0.428088904,0.703948873
"152",0.124194916,7583,"Brazil",0.455751241,3.669644907
"153",1.950995611,7593,"China",0.530891376,0.272113055
"154",0.993599369,7638,"India",0.498234738,0.501444298
"155",1.006932295,7750,"India",0.491001106,0.487620775
"156",0.12482081,7805,"Argentina",0.492568838,3.946207672
"157",2.370209333,7847,"China",0.59866232,0.252577826
"158",1.909999967,7868,"Indonesia",0.583311287,0.305398585
"159",1.922351885,7882,"Australia",0.485521379,0.25256634
"160",1.114141621,7889,"South Africa",0.5224933,0.468964888
"161",0.831485843,7947,"Uruguay",0.458385705,0.551285039
"162",0.933106057,7970,"Bolivia",0.463286172,0.496498944
"163",1.876679973,8005,"Thailand",0.540455063,0.28798467
"164",1.371570031,8075,"Brazil",0.457039963,0.333223935
"165",1.032427902,8212,"Brazil",0.466008634,0.4513716
"166",0.507450168,8295,"Liberia",0.482840549,0.951503378
"167",1.280482457,8356,"Botswana",0.491091218,0.383520458
"168",1.909999967,8461,"Indonesia",0.584225533,0.305877248
"169",1.002779147,8537,"Chad",0.461301089,0.460022619
"170",0.499801983,8679,"Zimbabwe",0.434795911,0.869936346
"171",4.499090871,8681,"Indonesia",0.584760165,0.129972962
"172",1.610630864,8694,"India",0.532451752,0.330585837
"173",0.603529404,8768,"Ecuador",0.439893815,0.728868904
"174",1.794299149,8866,"Argentina",0.530985974,0.295929458
"175",1.909999967,9046,"Indonesia",0.582246814,0.304841269
"176",0.191686961,9057,"Mozambique",0.414789206,2.163888476
"177",0.732174429,9137,"Tanzania",0.447379187,0.61102815
"178",0.298078707,9155,"Tanzania",0.421087473,1.4126721
"179",0.421360126,9212,"Congo DRC",0.412989879,0.980135171
"180",0.360560725,9291,"Malawi",0.425470244,1.18002382
"181",2.235062725,9349,"Lebanon",0.559047706,0.250126182
"182",0.130833338,9371,"Kenya",0.405902059,3.102436009
"183",0.674318179,9482,"Sudan",0.458675371,0.680206148
"184",1.223055543,9585,"Kazakhstan",0.426124082,0.348409428
"185",0.894821482,9598,"Brazil",0.455687062,0.509249131
"186",2.059543371,9633,"Argentina",0.584326077,0.283716325
"187",0.120949153,9775,"Mozambique",0.404889003,3.347596845
"188",0.160879048,9799,"Congo DRC",0.399615891,2.48395236
"189",0.580027206,9883,"Senegal",0.450091114,0.775982763
"190",0.64111956,9899,"Chad",0.420304747,0.655579354
"191",0.882376277,9947,"Mali",0.475343911,0.538708852
"192",0.251749986,10021,"Namibia",0.387599991,1.539622691
"193",0.084259256,10031,"Georgia",0.388793587,4.614253738
"194",0.384438233,10312,"Congo DRC",0.408377194,1.06226998
"195",2.059543371,10340,"Argentina",0.579487974,0.281367211
"196",0.909833308,10392,"Argentina",0.513908304,0.564837866
"197",0.385465503,10452,"Brazil",0.411088902,1.06647391
"198",1.724493185,10505,"China",0.56757479,0.329125563
"199",1.587473662,10514,"Myanmar",0.537991903,0.33889816
"200",2.717599659,10604,"China",0.609117717,0.224138134
"201",0.14469311,10617,"Brazil",0.395695076,2.734719545
"202",0.188528671,10640,"Australia",0.407257898,2.160190786
"203",1.049723372,10693,"South Africa",0.505127975,0.481201037
"204",0.493884317,10708,"Ethiopia",0.435025702,0.880825098
"205",1.150769263,10834,"Peru",0.493262444,0.428637139
"206",0.627761736,10846,"Australia",0.4902081,0.780882414
"207",0.726305571,10902,"China",0.487533325,0.671250978
"208",0.519444459,10925,"Peru",0.432870694,0.833333933
"209",1.68196042,10951,"Argentina",0.485554499,0.288683665
"210",0.299999998,11033,"Argentina",0.430119127,1.433730433
"211",1.363187591,11085,"Mexico",0.477264007,0.350108826
"212",4.829999924,11164,"Israel",0.686545349,0.142141896
"213",0.349221988,11226,"Bolivia",0.419675148,1.201743196
"214",0.258962278,11233,"Cameroon",0.418596208,1.616437001
"215",0.707790448,11235,"Brazil",0.474427302,0.670293451
"216",0.959999979,11339,"Papua New Guinea",0.492465253,0.51298465
"217",3.008999944,11455,"Spain",0.668344625,0.2221152
"218",1.435757536,11570,"Argentina",0.541873501,0.37741296
"219",0.733695909,11588,"Central African Republic",0.460326168,0.627407298
"220",0.671949381,11784,"Bolivia",0.43173024,0.642504111
"221",1.478730641,11847,"Brazil",0.546153123,0.369339153
"222",0.274747478,11956,"Turkey",0.405980749,1.477650503
"223",0.221841861,11966,"Mexico",0.418019385,1.88431247
"224",1.239583368,12187,"Peru",0.532992366,0.429977023
"225",1.909999967,12215,"Indonesia",0.58547399,0.30653089
"226",0.465306117,12281,"Ecuador",0.45005683,0.967227409
"227",2.16188129,12392,"China",0.570603688,0.263938492
"228",2.477779519,12402,"China",0.632754911,0.255371758
"229",2.111189851,12408,"China",0.562330987,0.266357375
"230",1.909999967,12472,"Indonesia",0.580846869,0.304108314
