"","mean_groun","Fishnet_ID","COUNTRY","Groundnut_","Groundnut_Error_Ratio"
"1",0.217783852,24,"Congo DRC",0.40296783,1.850310876
"2",0.618124998,59,"Sudan",0.448544419,0.725653259
"3",1.272414435,119,"India",0.527821719,0.414819028
"4",0.512716954,161,"Tanzania",0.444465253,0.866882301
"5",0.17492308,275,"Peru",0.440836094,2.520171117
"6",0.057877243,304,"Brazil",0.420560642,7.26642494
"7",0.779962247,356,"Tanzania",0.439081276,0.56295196
"8",1.136014984,363,"India",0.521612344,0.459159739
"9",0.780582379,376,"Brazil",0.459577095,0.588761811
"10",0.839108884,393,"Paraguay",0.484025738,0.576833051
"11",2.942828695,464,"China",0.646527039,0.219695778
"12",0.356715445,566,"Bolivia",0.457059356,1.281299597
"13",0.75999999,576,"Ecuador",0.469418632,0.617656103
"14",0.023585284,599,"Angola",0.392231601,16.6303531
"15",0.336708857,644,"Angola",0.403012959,1.1969182
"16",0.21326553,665,"Australia",0.436161903,2.045158929
"17",0.654713626,675,"Sierra Leone",0.445192599,0.679980653
"18",0.127204649,718,"Nigeria",0.466410951,3.666618749
"19",1.904440274,758,"United States",0.56699256,0.297721366
"20",0.228878187,787,"Brazil",0.415952977,1.81735526
"21",0.479295926,828,"Brazil",0.427614026,0.892171209
"22",1.489185233,842,"China",0.471708731,0.316756251
"23",1.439491535,889,"Colombia",0.468924755,0.325757216
"24",0.196439392,927,"Brazil",0.418150479,2.128648815
"25",1.609175375,956,"China",0.577764317,0.359043723
"26",2.918333279,1015,"Spain",0.663232965,0.227264298
"27",0.5111111,1105,"Tanzania",0.437001243,0.855002451
"28",2.536633838,1206,"Mexico",0.598954486,0.236121776
"29",3.288043445,1215,"Indonesia",0.625161084,0.190131637
"30",0.87156781,1256,"Pakistan",0.491138867,0.563511939
"31",1.344917828,1415,"Australia",0.50228539,0.373469204
"32",1.846859472,1477,"Indonesia",0.586920931,0.317794039
"33",2.115244283,1520,"China",0.588141675,0.278049055
"34",3.251458718,1529,"China",0.590111263,0.181491236
"35",1.455303071,1566,"Peru",0.459366912,0.315650342
"36",1.352781653,1581,"South Africa",0.510785953,0.377581964
"37",0.920765816,1593,"Mexico",0.524515815,0.569651703
"38",1.909999967,1624,"Indonesia",0.583632716,0.305566872
"39",1.044393935,1629,"Bolivia",0.501141511,0.479839545
"40",0.204240579,1630,"Mozambique",0.403234552,1.974311638
"41",1.909999967,1650,"Indonesia",0.562731519,0.294623837
"42",1.389999986,1759,"Kazakhstan",0.5053186,0.363538565
"43",1.909999967,1789,"Indonesia",0.583732232,0.305618975
"44",0.180639404,1797,"Mozambique",0.403245311,2.232321974
"45",0.302524268,1979,"Angola",0.403358969,1.333311115
"46",0.043407932,2000,"Brazil",0.412851976,9.510980067
"47",0.981818423,2069,"United States",0.568573289,0.579102282
"48",1.226666662,2177,"Belize",0.517003791,0.421470483
"49",0.66258554,2229,"Australia",0.464284054,0.700715645
"50",0.048890514,2288,"Congo DRC",0.409670815,8.37935177
"51",0.532387974,2420,"China",0.432906521,0.813141059
"52",0.281060591,2455,"Namibia",0.412282777,1.466882196
"53",1.575977921,2468,"Mexico",0.540804774,0.343155045
"54",0.610000024,2474,"Ethiopia",0.42282364,0.693153481
"55",0.647325479,2477,"Niger",0.454406766,0.701975715
"56",4.037938069,2602,"Greece",0.689140238,0.170666371
"57",1.909999967,2614,"Indonesia",0.584893859,0.306227157
"58",1.364121616,2688,"Myanmar",0.518889865,0.380383874
"59",0.531299743,2740,"Congo DRC",0.429736801,0.808840596
"60",0.078926501,2808,"Botswana",0.389062543,4.929428494
"61",1.414094889,2824,"Brazil",0.477836344,0.337909675
"62",0.744254306,2903,"India",0.480662969,0.645831627
"63",0.036905471,2915,"Mali",0.387747293,10.50649897
"64",1.191428559,2917,"Kazakhstan",0.514029476,0.431439613
"65",2.204968171,3005,"China",0.597309223,0.270892447
"66",1.711731065,3068,"Myanmar",0.538935542,0.314848257
"67",0.522429836,3108,"United States",0.458376674,0.877393752
"68",0.204393937,3131,"Angola",0.404941496,1.981181546
"69",0.440507364,3297,"Tanzania",0.435638464,0.988947063
"70",2.273552886,3302,"China",0.540866116,0.237894671
"71",0.085354074,3335,"South Africa",0.414238214,4.853174484
"72",0.495694453,3344,"Guyana",0.450637051,0.909102469
"73",0.652870944,3409,"Uganda",0.451796763,0.692015424
"74",1.70086586,3512,"Brazil",0.558121784,0.328139801
"75",1.160415713,3560,"Bangladesh",0.51170507,0.44096703
"76",1.704772727,3592,"Colombia",0.51857887,0.304192378
"77",0.338391346,3679,"Tanzania",0.430438141,1.272012852
"78",1.126111075,3705,"Tajikistan",0.489744806,0.4348992
"79",0.633484846,3767,"Bolivia",0.451450761,0.712646504
"80",0.735751661,3820,"India",0.482398812,0.655654397
"81",0.703587475,3854,"Mozambique",0.458892227,0.652217732
"82",0.513002844,3928,"Brazil",0.425336648,0.829111676
"83",0.083416664,3933,"Turkmenistan",0.410314236,4.918852137
"84",0.186060796,3995,"Zambia",0.407744023,2.191455867
"85",2.178710348,4035,"Australia",0.482378366,0.22140546
"86",2.961568311,4073,"China",0.590464235,0.199375524
"87",1.909999967,4266,"Indonesia",0.582358434,0.304899709
"88",0.861893907,4272,"Brazil",0.500238264,0.580394246
"89",0.074851086,4276,"Australia",0.40846365,5.457017016
"90",1,4340,"Cuba",0.493894804,0.493894804
"91",1.797307162,4364,"China",0.501871724,0.279235366
"92",1.57351748,4372,"Laos",0.529896668,0.336759315
"93",0.246944441,4379,"Brazil",0.435329367,1.762863603
"94",0.348333329,4441,"Angola",0.416934765,1.196941924
"95",2.059999943,4544,"Argentina",0.582850155,0.282936976
"96",0.170000007,4584,"Ethiopia",0.419906566,2.470038522
"97",0.91174825,4656,"Guyana",0.468404374,0.513743102
"98",2.398019426,4680,"United States",0.536718495,0.223817409
"99",1.118741035,4785,"Nigeria",0.5039195,0.450434448
"100",1.617236966,4794,"China",0.591827242,0.365949613
"101",0.149772728,4804,"Guyana",0.459912665,3.07073705
"102",1.680655518,4820,"India",0.535856725,0.318837929
"103",0.01287037,4827,"Kazakhstan",0.382732004,29.73745153
"104",0.205273237,4845,"Botswana",0.408144561,1.988298947
"105",0.034218226,4846,"Mexico",0.391236755,11.43357797
"106",1.876310555,4862,"China",0.555840124,0.296241005
"107",1.530923269,4869,"Turkey",0.549667178,0.359042931
"108",1.151691364,4916,"Brazil",0.450966351,0.391568753
"109",0.215495682,4954,"Zambia",0.408835917,1.897188441
"110",0.33268337,4983,"Mozambique",0.414937366,1.247244087
"111",0.576260255,4998,"Madagascar",0.445402817,0.77291955
"112",0.89361519,5137,"Mexico",0.499679462,0.559166258
"113",0.163117261,5184,"China",0.43934857,2.69345235
"114",2.172972772,5236,"China",0.593671398,0.273207012
"115",1.389999986,5278,"Kazakhstan",0.519000675,0.373381784
"116",0.604444433,5286,"Greece",0.501365913,0.829465681
"117",2.529772779,5316,"Honduras",0.587511547,0.23223886
"118",0.299747276,5354,"Congo DRC",0.424698755,1.416856095
"119",1.416173902,5457,"Malaysia",0.558351442,0.394267569
"120",0.916408002,5463,"Guinea",0.48597091,0.530299723
"121",2.94744735,5521,"United States",0.612850839,0.207925967
"122",0.557853291,5542,"Congo DRC",0.442911262,0.793956528
"123",0.177146493,5558,"Angola",0.399379294,2.254514257
"124",0.105790506,5680,"China",0.409824592,3.873926002
"125",2.256097561,5731,"Portugal",0.610243068,0.270486117
"126",0.758113201,5941,"Brazil",0.458032879,0.604174783
"127",1.909999967,5972,"Indonesia",0.589224614,0.308494568
"128",0.924444424,5998,"Papua New Guinea",0.492157054,0.53238144
"129",1.909999967,6014,"Indonesia",0.58260967,0.305031246
"130",0.067569027,6036,"India",0.448690528,6.640476383
"131",0.665636073,6069,"Mexico",0.436942733,0.656428867
"132",1,6093,"Vanuatu",0.493688639,0.493688639
"133",2.391163785,6229,"China",0.616911941,0.257996522
"134",1.005268483,6273,"Brazil",0.49884114,0.496226778
"135",0.578446273,6328,"Niger",0.457975031,0.791733048
"136",0.027129958,6540,"Brazil",0.393663464,14.51028653
"137",0.157410023,6542,"Brazil",0.408069934,2.592401209
"138",1.404136145,6581,"Laos",0.502023472,0.357531906
"139",0.302755779,6585,"Argentina",0.475238033,1.569707553
"140",0.181204534,6640,"Nigeria",0.417964433,2.306589266
"141",1.909999967,6646,"Indonesia",0.580850379,0.304110151
"142",0.193721354,6694,"Brazil",0.418312795,2.159353042
"143",0.473861933,6709,"Congo DRC",0.438553284,0.925487475
"144",0.810285579,6752,"India",0.493931619,0.609577206
"145",1.230000019,6773,"Costa Rica",0.517957562,0.421103702
"146",0.072430556,6783,"Colombia",0.46642333,6.439593395
"147",0.021338518,6810,"South Africa",0.438353745,20.54283924
"148",0.244125472,6816,"Madagascar",0.443560732,1.81693753
"149",0.439797658,6884,"Niger",0.424296035,0.96475283
"150",0.555640312,6886,"Uruguay",0.446200539,0.803038457
"151",1.358864244,7007,"Indonesia",0.57355586,0.422084739
"152",0.03965688,7009,"Chad",0.374119771,9.433918427
"153",1.404626012,7125,"Thailand",0.535391155,0.38116278
"154",0.626666653,7134,"Tanzania",0.436522754,0.696578878
"155",0.5396662,7138,"Uruguay",0.447501169,0.829218448
"156",0.049642857,7188,"Kazakhstan",0.431707882,8.696273907
"157",0.851912461,7233,"India",0.483826365,0.567929673
"158",1.144934535,7234,"Bangladesh",0.508395466,0.444038895
"159",0.372023602,7275,"Mozambique",0.422517889,1.135728719
"160",0.474577266,7404,"Namibia",0.419898796,0.884784894
"161",1.909999967,7417,"Indonesia",0.584928113,0.306245091
"162",1.291157125,7423,"South Africa",0.528103955,0.409016025
"163",0.829670173,7455,"Central African Republic",0.470847057,0.56751113
"164",2.956736076,7473,"Indonesia",0.588714781,0.199109682
"165",0.608124994,7480,"Kazakhstan",0.428088904,0.703948873
"166",0.124194916,7583,"Brazil",0.455751241,3.669644907
"167",1.950995611,7593,"China",0.530891376,0.272113055
"168",0.993599369,7638,"India",0.498234738,0.501444298
"169",0.017219675,7699,"Brazil",0.388913329,22.58540472
"170",1.006932295,7750,"India",0.491001106,0.487620775
"171",0.12482081,7805,"Argentina",0.492568838,3.946207672
"172",2.370209333,7847,"China",0.59866232,0.252577826
"173",1.909999967,7868,"Indonesia",0.583311287,0.305398585
"174",1.922351885,7882,"Australia",0.485521379,0.25256634
"175",1.114141621,7889,"South Africa",0.5224933,0.468964888
"176",0.831485843,7947,"Uruguay",0.458385705,0.551285039
"177",0.933106057,7970,"Bolivia",0.463286172,0.496498944
"178",1.876679973,8005,"Thailand",0.540455063,0.28798467
"179",1.371570031,8075,"Brazil",0.457039963,0.333223935
"180",1.032427902,8212,"Brazil",0.466008634,0.4513716
"181",0.507450168,8295,"Liberia",0.482840549,0.951503378
"182",1.280482457,8356,"Botswana",0.491091218,0.383520458
"183",1.909999967,8461,"Indonesia",0.584225533,0.305877248
"184",1.002779147,8537,"Chad",0.461301089,0.460022619
"185",0.062570333,8591,"Botswana",0.40814413,6.522965604
"186",0.499801983,8679,"Zimbabwe",0.434795911,0.869936346
"187",1.610630864,8694,"India",0.532451752,0.330585837
"188",0.037883284,8699,"Brazil",0.394307002,10.40846939
"189",0.603529404,8768,"Ecuador",0.439893815,0.728868904
"190",1.794299149,8866,"Argentina",0.530985974,0.295929458
"191",1.909999967,9046,"Indonesia",0.582246814,0.304841269
"192",0.191686961,9057,"Mozambique",0.414789206,2.163888476
"193",0.732174429,9137,"Tanzania",0.447379187,0.61102815
"194",0.025817613,9138,"China",0.432686502,16.75935347
"195",0.298078707,9155,"Tanzania",0.421087473,1.4126721
"196",0.421360126,9212,"Congo DRC",0.412989879,0.980135171
"197",0.360560725,9291,"Malawi",0.425470244,1.18002382
"198",2.235062725,9349,"Lebanon",0.559047706,0.250126182
"199",0.130833338,9371,"Kenya",0.405902059,3.102436009
"200",0.674318179,9482,"Sudan",0.458675371,0.680206148
"201",1.223055543,9585,"Kazakhstan",0.426124082,0.348409428
"202",0.894821482,9598,"Brazil",0.455687062,0.509249131
"203",2.059543371,9633,"Argentina",0.584326077,0.283716325
"204",0.120949153,9775,"Mozambique",0.404889003,3.347596845
"205",0.160879048,9799,"Congo DRC",0.399615891,2.48395236
"206",0.580027206,9883,"Senegal",0.450091114,0.775982763
"207",0.64111956,9899,"Chad",0.420304747,0.655579354
"208",0.882376277,9947,"Mali",0.475343911,0.538708852
"209",0.251749986,10021,"Namibia",0.387599991,1.539622691
"210",0.084259256,10031,"Georgia",0.388793587,4.614253738
"211",0.043125,10071,"Sudan",0.376261145,8.724896116
"212",0.080240006,10288,"Botswana",0.406754947,5.069228771
"213",0.384438233,10312,"Congo DRC",0.408377194,1.06226998
"214",2.059543371,10340,"Argentina",0.579487974,0.281367211
"215",0.909833308,10392,"Argentina",0.513908304,0.564837866
"216",0.385465503,10452,"Brazil",0.411088902,1.06647391
"217",1.724493185,10505,"China",0.56757479,0.329125563
"218",1.587473662,10514,"Myanmar",0.537991903,0.33889816
"219",2.717599659,10604,"China",0.609117717,0.224138134
"220",0.14469311,10617,"Brazil",0.395695076,2.734719545
"221",0.188528671,10640,"Australia",0.407257898,2.160190786
"222",1.049723372,10693,"South Africa",0.505127975,0.481201037
"223",0.493884317,10708,"Ethiopia",0.435025702,0.880825098
"224",1.150769263,10834,"Peru",0.493262444,0.428637139
"225",0.627761736,10846,"Australia",0.4902081,0.780882414
"226",0.726305571,10902,"China",0.487533325,0.671250978
"227",0.519444459,10925,"Peru",0.432870694,0.833333933
"228",1.68196042,10951,"Argentina",0.485554499,0.288683665
"229",0.299999998,11033,"Argentina",0.430119127,1.433730433
"230",1.363187591,11085,"Mexico",0.477264007,0.350108826
