,Fishnet_ID,mean_potat,AET_mean,GDP_Mean,Pesticide,Potato_Fe
1,19,19.2NANA9,178.4255952,5002.57738,96527,126.194924
2,24,NA.773164,988.4434524,183.9673847,0,NA
3,59,6.594NA5,586.327381,387.7801545,5286,4.889512195
4,82,25.NA17,380.6785714,24631.38853,686791,25.95891168
5,119,22.8567,838.6190476,454.770298,320037,61.8060492
6,154,6.32855,699.9821429,NA,0,5.28332358
7,161,3.28397,741.3869048,387.1450508,55,2.699440658
8,275,1.38868,870.9315476,2065.427423,16571,NA
9,304,NA,853.5208333,3807.754204,976736,NA
10,356,6.57647,685.0357143,387.1450508,55,1.911264778
11,363,12.9411,783.625,454.770298,320037,64.45726129
12,376,NA,528.6666667,3807.754204,976736,1.187410883
13,393,NA,600.7827381,1627.976264,71540,2.389548838
14,398,5.27,432.6547619,2161.113229,211358,NA
15,464,2NA.NA37,718.6130952,990.4634249,8940649,105.2302885
16,469,NA.998182,170.0922619,767.312629,67984,NA
17,556,28.7365,428.547619,29141.21247,234122,53.76077779
18,566,1.92226,833.952381,972.8034761,26397,NA
19,576,NA,438.1904762,2023.86319,100557,1.360824567
20,579,13.6NA8,412.0178571,5002.57738,96527,69.56244475
21,599,3.37NA91,493.6994048,609.3283481,280,1.59712497
22,644,5.NA9579,487.3531746,609.3283481,280,1.500995354
23,665,9.8712,517.4583333,21431.4599,230760,64.42252592
24,671,5.85975,215.1488095,35687.73944,2968759,72.26024078
25,675,NA,908.75,198.071065,0,NA
26,718,NA.32291,760.8958333,591.8145957,0,8.250645638
27,733,12.521,107.4434524,6448.150281,615513,17.24883783
28,758,1.68644,463.1845238,35687.73944,2968759,20.93181398
29,787,NA,888.4285714,3807.754204,976736,NA
30,808,2.66182,724.5446429,NA,0,5.354709599
31,810,NA,971.0119048,1851.05773,0,3.785693884
32,828,NA,889.9821429,3807.754204,976736,NA
33,842,5.48279,78.41369048,990.4634249,8940649,47.02761842
34,889,16.543,934.5119048,2463.075323,476933,51.21813696
35,927,NA,1010.261905,3807.754204,976736,NA
36,956,12.6458,436.9107143,990.4634249,8940649,75.45081433
37,1015,34.7156,330.3065476,16342.60349,255317,109.2619779
38,1037,NA,871.8392857,3807.754204,976736,NA
39,1058,16.26NA5,383.3214286,5002.57738,96527,69.53650393
40,1087,NA.13NA643,46.75,509.8823357,8608,NA
41,1105,5.34479,514.0922619,387.1450508,55,NA
42,1206,17.8271,244.1815476,6614.061792,157693,56.50902288
43,1215,NA,1041.944444,813.2904404,11179,2.885550139
44,1224,34.58NA7,NA,22350.24783,586193,69.14259482
45,1256,14.7897,116.8392857,520.8920247,116323,97.37905436
46,1300,NA,821.75,3807.754204,976736,3.544736385
47,1317,NA.916NA53,443.5654762,2161.113229,211358,NA
48,1342,6.35934,319.139881,213.7190138,294,1.360781347
49,1415,1NA.6613,601.3720238,21431.4599,230760,44.13521035
50,1477,3.78818,1109.744048,813.2904404,11179,33.57151612
51,1520,1NA.3731,510.4047619,990.4634249,8940649,82.49840261
52,1523,NA,712.9880952,6448.150281,615513,NA
53,1529,16.9621,543.3928571,990.4634249,8940649,73.08671507
54,1566,1NA.NA276,825.8422619,2065.427423,16571,48.33242346
55,1581,35.9195,669.8452381,3105.376055,179427,124.757523
56,1593,21.2228,395.8988095,6614.061792,157693,70.88721204
57,1624,8.56995,1027.345238,813.2904404,11179,33.99734745
58,1629,4.94NA95,721.8511905,972.8034761,26397,20.00239355
59,1630,5.2NA492,871.0714286,315.2966525,535,NA
60,1650,11.8876,874.9047619,813.2904404,11179,36.3714388
61,1666,NA.5657NA9,410.047619,30849.12253,12948,75.26226521
62,1689,NA,223.2797619,6448.150281,615513,NA
