Fishnet_ID,sunflower_HgHa,AET_mean,Growing_Mean,GDP_Mean,sunflower_Fertilizer
0,NA,NA,74.88583114,NA,0.041957
1,NA,NA,NA,NA,0.026437327
2,NA,NA,NA,NA,0.021633337
3,NA,NA,NA,NA,0.024585067
4,NA,NA,NA,NA,0.015932991
5,NA,NA,NA,NA,0.023428474
6,NA,NA,NA,NA,0.025022411
7,NA,NA,NA,NA,0.02396667
8,NA,NA,NA,NA,0.043431018
9,NA,NA,NA,NA,0.01539519
10,NA,NA,NA,NA,0.032626457
11,NA,NA,1,NA,0.040245848
12,NA,NA,NA,NA,0.031831876
13,NA,NA,NA,NA,0.028972398
14,NA,9.654761905,NA,1742.146302,0
15,NA,NA,NA,NA,0.025364293
16,NA,NA,7.353535354,NA,0.019786315
17,NA,NA,NA,NA,0.019687685
18,NA,NA,NA,NA,0.018839407
19,1.398249967,178.4255952,NA,5002.57738,237.7993612
20,NA,NA,NA,NA,0.02087282
21,NA,NA,13.47272727,NA,0.026515624
22,NA,NA,NA,NA,0.016986116
23,NA,NA,NA,NA,0.022995022
24,0.004393939,988.4434524,NA,183.9673847,2.693520337
25,NA,NA,NA,NA,0.019924999
26,NA,NA,NA,NA,0.023341662
27,NA,NA,NA,NA,0.022394093
28,NA,NA,NA,NA,0.035219899
29,NA,NA,NA,NA,0.025149993
30,NA,NA,NA,NA,0.03060663
31,NA,NA,NA,NA,0.019237378
32,NA,NA,43.88888889,NA,0.028300368
33,NA,NA,NA,NA,0.038359315
34,NA,NA,NA,NA,0.033673916
35,NA,NA,NA,NA,0.02659788
36,NA,NA,NA,NA,0.028582373
37,NA,NA,NA,NA,0.018445078
38,NA,2.19047619,NA,NA,0.031056245
39,NA,NA,NA,NA,0.027825174
40,NA,NA,NA,NA,0.023832333
41,NA,NA,0,NA,0.02238491
42,NA,NA,NA,NA,0.021385474
43,NA,NA,NA,NA,0.029049131
44,NA,NA,NA,NA,0.033488883
45,NA,NA,NA,NA,0.030348447
46,NA,NA,NA,NA,0.020473609
47,NA,NA,NA,NA,0.034711347
48,NA,NA,NA,NA,0.012636638
49,NA,NA,NA,NA,0.020824999
50,NA,NA,NA,NA,0.026523955
51,NA,NA,NA,NA,0.021316669
52,NA,NA,NA,NA,0.020081953
53,NA,NA,6.090909091,NA,0.026968074
54,NA,NA,NA,NA,0.025731597
55,NA,NA,NA,NA,0.036191313
56,NA,NA,NA,NA,0.013655907
57,NA,NA,NA,NA,0.027442709
58,NA,NA,NA,NA,0.03834985
59,0.600208348,586.327381,NA,387.7801545,9.952609254
60,NA,NA,NA,NA,0.016988404
61,NA,NA,NA,NA,0.029175172
62,NA,NA,36.86666667,NA,0.02291139
63,NA,NA,NA,NA,0.026827266
64,NA,NA,NA,NA,0.04320229
65,NA,NA,NA,NA,0.017143516
66,NA,NA,NA,NA,0.01877696
67,NA,NA,NA,NA,0.02043025
68,NA,NA,NA,NA,0.021991672
69,NA,NA,NA,NA,0.033049683
70,NA,NA,NA,NA,0.020462383
71,NA,NA,NA,NA,0.016238271
72,NA,NA,NA,NA,0.021656439
73,NA,NA,NA,NA,0.023885633
74,NA,NA,10.6,NA,0.020505642
75,NA,NA,NA,NA,0.027663803
76,NA,NA,NA,NA,0.031816723
77,NA,NA,NA,NA,0.024131215
78,NA,NA,NA,NA,0.030164893
79,NA,NA,NA,NA,0.037095138
80,NA,NA,NA,NA,0.023049247
81,NA,NA,NA,NA,0.0233375
82,2.07979867,380.6785714,NA,24631.38853,254.3023251
83,NA,NA,NA,NA,0.021765606
84,NA,NA,NA,NA,0.028271413
85,NA,NA,NA,NA,0.018573837
86,NA,NA,NA,NA,0.024748497
87,NA,NA,NA,NA,0.025465677
88,NA,NA,NA,NA,0.039408978
89,NA,NA,NA,NA,0.044624996
90,NA,NA,NA,NA,0.043668716
91,NA,NA,NA,NA,0.024559273
92,NA,NA,NA,NA,0.034779078
93,NA,NA,NA,NA,0.025500527
94,NA,NA,NA,NA,0.021206414
