Microp_Field_ID,Family,Database,Taxon,G_Taxon,Database.1,common.name,wild.cultivated,Herbaceous.woody,Reference,Notes,Root_Trait_Count,Database_Groot,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Lateral_spread,Mean_Root_diameter,Net_nitrogen_uptake_rate,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_cortex_thickness,Root_dry_matter_content,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_litter_mass_loss_rate,Root_mass_density,Root_mass_fraction,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal.colonization,Root_N_concentration,Root_N_P_ratio,Root_P_concentration,Root_production,Root_stele_diameter,Root_stele_fraction,Root_tissue_density,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_vessel_diameter,Root_xylem_vessel_number,Rooting_depth,Specific_root_area,Specific_root_length,Specific_root_respiration,,Growth.direction..orthotropic.plagiotropic.ageotropic.,Phyllotaxis..spiral.opposite.,Branching.type..monoopdial.sympodial.,Branching.position..acrotony.mesotony.basitony.,Flowering.of.each.axis..terminal.lateral.none.,Meristem.functioning.for.each.axis..indeterminate.determinate.,Branching.mechanism..continuous.rhythmic.diffuse.absent.,Short.shoots,Number.of.axes.orders,Number.of.types.of.axes,Reiteration,Basal.branching
1852,Malvaceae,Guillame,Abelmoschus esculentus ,Abelmoschus esculentus ,MICROP,Okra,Cultivated,Herbaceous,Ramya & Bhat 2012,,1,Groot,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1863,Malvaceae,Guillame,Abelmoschus esculentus ,Abelmoschus esculentus ,MICROP,Aibika wild relative 2,Wild,Herbaceous,Li et al. 2020,,1,Groot,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1853,Malvaceae,Guillame,Abelmoschus ficulneus,Abelmoschus ficulneus,MICROP,Okra wild relative 1,Wild,Herbaceous,Ramya & Bhat 2012,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1865,Malvaceae,Guillame,Abelmoschus ficulneus,Abelmoschus ficulneus,MICROP,Abelmosk wild relative 1,Wild,Herbaceous,Ramya & Bhat 2012,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1861,Malvaceae,Guillame,Abelmoschus manihot,Abelmoschus manihot,MICROP,Aibika,Cultivated,Herbaceous,Li et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1864,Malvaceae,Guillame,Abelmoschus moschatus ,Abelmoschus moschatus ,MICROP,Abelmosk ,Cultivated,Herbaceous,Ramya & Bhat 2012,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1862,Malvaceae,Guillame,Abelmoschus sagittifolius,Abelmoschus sagittifolius,MICROP,Aibika wild relative 1,Wild,Herbaceous,Li et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1854,Malvaceae,Guillame,Abelmoschus tetraphyllus,Abelmoschus tetraphyllus,MICROP,Okra wild relative 2,Wild,Herbaceous,Ramya & Bhat 2012,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1866,Malvaceae,Guillame,Abelmoschus tetraphyllus,Abelmoschus tetraphyllus,MICROP,Abelmosk wild relative 2,Wild,Herbaceous,Ramya & Bhat 2012,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1868,Malvaceae,Guillame,Abutilon bidentatum ,Abutilon bidentatum ,MICROP,Velvetleaf wild relative 1,Wild,Herbaceous,Grewal & Kaur 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1869,Malvaceae,Guillame,Abutilon indicum,Abutilon indicum,MICROP,Velvetleaf wild relative 2,Wild,Herbaceous,Grewal & Kaur 2020,,1,Groot,,,,,,,,,,,,,,,,,,,,,,,44.44,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1867,Malvaceae,Guillame,Abutilon theophrasti ,Abutilon theophrasti ,MICROP,Velvetleaf,Cultivated,Herbaceous,Grewal & Kaur 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2021,Myrtaceae,Guillame,Acca sellowiana,Acca sellowiana,MICROP,Pineapple guava,Cultivated,Woody,Lucas et al. 2005,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2577,Sapindaceae,Guillame,Acer glabrum,Acer glabrum,MICROP,Sugar maple wild relative 2,Wild,Woody,Buerki et al. 2010,,1,Groot,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2576,Sapindaceae,Guillame,Acer opalus,Acer opalus,MICROP,Sugar maple wild relative 1,Wild,Woody,Buerki et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2575,Sapindaceae,Guillame,Acer saccharum ,Acer saccharum ,MICROP,Sugar maple,Cultivated,Woody,Buerki et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1649,Gramineae,Guillame,Achnatherum hymenoides,Achnatherum hymenoides,MICROP,Green needlegrass wild relative 2,Wild,Graminoid,Hsiao et al. 1995,,2,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,,,,,,12.01,,,,,,,,,,,,NA,,
