mean_groun,NEAR_DIST,NEAR_X,NEAR_Y
0.217783852,0,-61.89899559,-18.00995411
0.618124998,26004.91169,-61.89895991,-17.77499651
1.272414435,44656.60524,-62.32068632,-18.01041318
0.791448147,50474.026,-61.42237104,-18.01054058
0.512716954,51705.11454,-62.32068632,-17.77494155
0.17492308,56811.67,-61.42237104,-17.77494155
0.057877243,69020.2197,-61.89909513,-18.63353258
0.779962247,82158.62722,-62.32068632,-18.63347536
1.136014984,85448.74855,-61.42237104,-18.63347536
0.780582379,121485.935,-61.89883746,-16.91226585
0.839108884,129485.7742,-62.32068632,-16.91221321
2.942828695,131618.164,-61.42237104,-16.91221321
0.356715445,139786.1869,-63.21900161,-18.01445316
0.75999999,142277.1569,-63.21900161,-17.77494155
0.023585284,145603.4709,-60.52405575,-18.0148355
0.336708857,148004.1129,-60.52405575,-17.77494155
0.21326553,155672.2675,-63.21900161,-18.63347536
0.654713626,160898.0649,-60.52405575,-18.63347536
0.127204649,163570.5333,-61.89924323,-19.48770107
1.904440274,169500.2109,-62.32068632,-19.48764166
0.228878187,171111.0852,-61.42237104,-19.48764166
0.25090909,185524.3185,-63.21900161,-16.91221321
0.479295926,189972.5941,-60.52405575,-16.91221321
1.489185233,214770.615,-63.21900161,-19.48764166
1.439491535,217403.4213,-61.89872789,-16.04551832
0.196439392,218569.0945,-60.52405575,-19.48764166
1.609175375,221995.9359,-62.32068632,-16.04546807
2.918333279,223252.1615,-61.42237104,-16.04546807
0.5111111,234912.4812,-64.11731689,-18.02266492
2.536633838,236506.3838,-64.11731689,-17.77494155
3.288043445,240729.4914,-59.62574047,-18.02330262
0.87156781,242293.0874,-59.62574047,-17.77494155
1.344917828,244443.262,-64.11731689,-18.63347536
1.846859472,250019.368,-59.62574047,-18.63347536
2.115244283,257627.6213,-61.89940436,-20.33733391
3.251458718,258874.4202,-63.21900161,-16.04546807
1.455303071,261410.4524,-62.32068632,-20.33727238
1.352781653,262095.3066,-60.52405575,-16.04546807
0.920765816,262452.4215,-61.42237104,-20.33727238
1.909999967,265105.7738,-64.11731689,-16.91221321
1.044393935,270305.1729,-59.62574047,-16.91221321
0.204240579,285423.9797,-64.11731689,-19.48764166
1.909999967,290189.9179,-59.62574047,-19.48764166
1.389999986,292646.0213,-63.21900161,-20.33727238
1.909999967,295430.5773,-60.52405575,-20.33727238
0.180639404,313737.4546,-61.89863113,-15.17493627
0.881944431,316952.6576,-62.32068632,-15.17488847
0.302524268,317837.6983,-61.42237104,-15.17488847
0.043407932,321002.2791,-64.11731689,-16.04546807
0.981818423,325329.1631,-59.62574047,-16.04546807
1.226666662,330033.2445,-65.01563217,-18.03505742
0.008914457,331285.4222,-65.01563217,-17.77494155
0.66258554,335849.8435,-58.72742519,-18.03595122
0.048890514,336608.2845,-65.01563217,-18.63347536
0.522429836,337088.8306,-58.72742519,-17.77494155
0.204393937,342293.8647,-58.72742519,-18.63347536
0.193721354,343906.2269,-63.21900161,-15.17488847
0.473861933,346347.9862,-60.52405575,-15.17488847
1.358864244,347562.3997,-64.11731689,-20.33727238
0.03965688,351173.6063,-61.89957843,-21.18226804
0.474577266,351466.6326,-59.62574047,-20.33727238
1.909999967,352634.6086,-65.01563217,-16.91221321
1.291157125,353941.3178,-62.32068632,-21.18220445
0.829670173,354707.4959,-61.42237104,-21.18220445
2.956736076,358117.8886,-58.72742519,-16.91221321
1.223055543,367084.0732,-65.01563217,-19.48764166
0.894821482,372278.5187,-58.72742519,-19.48764166
0.283476988,377476.952,-63.21900161,-21.18220445
1.049723372,379628.3548,-60.52405575,-21.18220445
0.493884317,393011.402,-64.11731689,-15.17488847
