OBJECTID,SOURCE_ID,mean_soybe,GiZScore,GiPValue,NNeighbors,Gi_Bin,OBJECTID_1,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,Shape_Length,Shape_Area
1,24,0.117375312,0.055861842,0.955451869,1342,0,6720,1,1,8436073.536,6717,103.8926805,36.52032903,30.20578794,1.824838998,399940.917,9997045850
2,82,2.438078412,6.178758841,6.46075E-10,1292,3,6580,1,2,8114579.074,6577,103.8926805,36.52032903,2.358014135,43.77953811,345417.5846,7270879230
3,119,0.442985114,0.915754444,0.359795713,1220,0,1724,1,3,2170886.207,1721,103.8926805,36.52032903,87.69796613,22.8875601,384904.0346,9245201730
4,161,0.297587613,0.531268195,0.595232944,1242,0,6798,1,4,8583940.701,6795,103.8926805,36.52032903,32.00241851,-2.695687276,399698.31,9984915500
5,275,0.175681817,0.209900474,0.833745352,1020,0,9749,1,5,16297213.28,9746,103.8926805,36.52032903,-69.50720859,-3.598665039,399501.8958,9975094790
6,356,0.318461551,0.586140629,0.557781018,908,0,6700,1,6,8391382.624,6697,103.8926805,36.52032903,39.49481703,-8.989674489,309677.1078,5311480879
7,363,0.373249165,0.731803104,0.46428876,1202,0,1814,1,7,2233646.518,1811,103.8926805,36.52032903,86.79965084,22.8875601,384904.0346,9245201730
8,393,0.540062753,1.173665339,0.240529119,1179,0,10253,1,8,17761107.29,10250,103.8926805,36.52032903,-58.72742519,-22.85734615,383821.374,9191068700
9,398,0.204347826,0.285287156,0.775424153,1096,0,3420,1,9,3436250.875,3417,103.8926805,36.52032903,143.3935137,46.32592291,143460.7488,890693816.7
10,464,2.069052134,5.20699394,1.91924E-07,1276,3,697,1,10,1334594.075,697,103.8926805,36.52032903,118.2406858,33.97684583,366751.0982,8337554910
11,576,0.130485638,0.090738083,0.927700709,637,0,9691,1,11,16129446.53,9688,103.8926805,36.52032903,-80.76560219,-1.792030028,316857.8792,4762193059
12,665,0.848618212,1.984626974,0.047185989,579,0,7113,1,12,8999027.947,7110,103.8926805,36.52032903,149.6817207,-32.43921198,368241.6264,8412081320
13,718,0.509865964,1.090690705,0.275409019,1070,0,7916,1,13,10279699.55,7913,103.8926805,36.52032903,4.154644703,9.022090045,397776.9222,9888846110
14,733,0.624414885,1.394941329,0.163033533,1021,0,10452,1,14,18581733.49,10449,103.8926805,36.52032903,-65.91394746,-26.95256711,377760.9576,8888047880
15,758,1.664309769,4.138585872,3.49453E-05,1611,3,8835,1,15,11584413.07,8832,103.8926805,36.52032903,-100.0499283,36.19181514,362343.6156,8117180780
16,828,0.250017527,0.406812021,0.684146058,1280,0,9690,1,16,16128590.35,9687,103.8926805,36.52032903,-55.13416405,-7.199269999,398230.8382,9911541910
17,842,2.033173686,5.110313272,3.21625E-07,1750,3,1752,1,17,2186767.154,1749,103.8926805,36.52032903,79.61312857,35.46024618,363826.9232,8191346160
18,889,1.479422173,3.648884834,0.000263381,745,2,9569,1,18,15655538.78,9566,103.8926805,36.52032903,-77.77705518,2.728475555,462621.8189,8252187076
19,927,0.230378781,0.354278039,0.723130525,1033,0,9551,1,19,15582995.03,9548,103.8926805,36.52032903,-64.11731689,1.824838998,399940.917,9997045850
20,956,1.390486878,3.416877722,0.000633437,1752,2,67,1,20,321778.8784,67,103.8926805,36.52032903,107.4609024,36.91655438,359340.0402,7967002010
21,1105,0.287500011,0.504637506,0.613813464,1063,0,6663,1,21,8308577.448,6660,103.8926805,36.52032903,37.39231022,-5.401677201,398962.7538,9948137690
22,1206,0.246385704,0.396471116,0.691757513,1114,0,9036,1,22,12096096.36,9033,103.8926805,36.52032903,-105.43982,29.36955533,375102.2692,8755113460
23,1215,0.168808316,0.191476228,0.848152504,518,0,3762,1,23,3841499.207,3759,103.8926805,36.52032903,103.89553,1.824841197,507607.5711,3542892114
24,1224,2.257648816,5.703608054,1.17298E-08,1657,3,6330,1,24,7354538.178,6327,103.8926805,36.52032903,12.53805406,44.96061807,218251.7505,812898003.7
25,1256,1.15625,2.796694226,0.005162837,1442,0,3152,1,25,3159438.405,3149,103.8926805,36.52032903,70.62997573,30.15333299,373761.0634,8688053170
26,1300,1.893976589,4.743254546,2.10312E-06,1014,3,9636,1,26,15923792.32,9633,103.8926805,36.52032903,-47.94764178,-9.881638007,396779.5796,9838978980
27,1317,0.186041666,0.238136707,0.811775066,2092,0,4603,1,27,4751243.047,4600,103.8926805,36.52032903,47.27377834,46.32592291,339138.208,6956910400
28,1415,0.906873131,2.137728297,0.032538802,964,0,6347,1,28,7383195.915,6344,103.8926805,36.52032903,143.3935137,-18.63347536,389100.1378,9455006890
29,1477,0.696480888,1.582985917,0.113424674,615,0,5537,1,29,5761415.285,5534,103.8926805,36.52032903,138.003622,-4.500736801,399256.6094,9962830470
30,1509,0.719740868,1.646875875,0.099583561,1674,0,6244,1,30,7183346.695,6241,103.8926805,36.52032903,15.8327434,43.77953811,38267.46092,35632896.34
31,1520,1.404710163,3.454178724,0.000551971,1548,2,1181,1,31,1772152.458,1180,103.8926805,36.52032903,123.6305775,40.43620685,351664.4626,7583223130
32,1523,0.759742975,1.752388863,0.079706965,1137,0,10345,1,32,18129688.29,10342,103.8926805,36.52032903,-63.21900161,-23.68725562,382667.2246,9133361230
33,1529,1.718580113,4.282592532,1.84728E-05,1595,3,221,1,33,643674.1502,221,103.8926805,36.52032903,111.0541635,36.19181514,362343.6156,8117180780
34,1566,1.301212105,3.178571504,0.001480027,776,1,9950,1,34,16855310.51,9947,103.8926805,36.52032903,-76.69373087,-8.095480024,397793.6732,9889683660
35,1581,1.330958694,3.25706361,0.001125712,601,2,8205,1,35,10696096.67,8202,103.8926805,36.52032903,30.35022882,-30.90275818,58131.31465,148653776.1
36,1593,0.694066149,1.576658434,0.114874139,846,0,9130,1,36,12379884.09,9127,103.8926805,36.52032903,-108.1347658,25.36067104,457206.5123,8211860275
37,1624,0.932095506,2.204734328,0.027472743,435,0,4322,1,37,4445022.678,4319,103.8926805,36.52032903,105.6642718,-3.598665039,260175.9943,2205716977
38,1629,0.028787878,-0.176845801,0.859629512,1099,0,10200,1,38,17591096.22,10197,103.8926805,36.52032903,-67.71057803,-16.04546807,391834.442,9591722100
39,1650,0.86405235,2.025197289,0.04284711,579,0,4769,1,39,4897171.714,4766,103.8926805,36.52032903,112.9216541,-6.893335906,258080.0755,3199443667
40,1759,1.25,3.044570498,0.002330128,2524,1,3273,1,40,3286239.451,3270,103.8926805,36.52032903,68.83334516,53.2860827,319070.412,5953520600
41,1789,1.169546384,2.830932046,0.004641258,510,0,3502,1,41,3537463.826,3499,103.8926805,36.52032903,95.9131518,5.434354136,383098.5016,8313899847
42,1797,0.005029751,-0.240186411,0.810185748,1142,0,7414,1,42,9455624.782,7411,103.8926805,36.52032903,32.00241851,-15.17488847,392667.5232,9633376160
43,1828,0.993055519,2.366041173,0.017979445,931,0,9488,1,43,15338627.28,9485,103.8926805,36.52032903,-65.91394746,4.53345902,399493.8458,9974692290
44,1964,1.228211068,2.987857275,0.002809407,1255,1,9782,1,44,16380041.92,9779,103.8926805,36.52032903,-52.4392182,-11.65802482,395583.2858,9779164290
45,2069,0.144807785,0.129463279,0.896991079,967,0,9162,1,45,12597373.58,9159,103.8926805,36.52032903,-82.08362257,30.15333299,358218.5011,8087538481
46,2105,0.324523809,0.603128253,0.546423376,2463,0,3955,1,46,4035900.066,3952,103.8926805,36.52032903,58.05356175,55.89339366,311677.2428,5583862140
