Fishnet_ID,mean_sorgh,COUNTRY,NEAR_DIST,Producer
5622,0.9819444,Russian Federation,2400358.984,Top
8255,1.039393892,Russian Federation,2425927.747,Top
4997,0.139999994,Russian Federation,2426960.016,Top
8086,0.530303006,Russian Federation,2433438.859,Top
4439,1.030555509,Russian Federation,2435172.636,Top
3891,0.943055513,Russian Federation,2444895.584,Top
1902,0.131249994,Russian Federation,2448123.352,Top
8257,1.040277731,Russian Federation,2448848.897,Top
9330,1.049999952,Russian Federation,2459092.644,Top
2028,0.447222202,Russian Federation,2466719.425,Top
9673,1.049999952,Russian Federation,2474354.704,Top
6795,1.049999952,Russian Federation,2475969.555,Top
8509,0.72272724,Russian Federation,2490063.564,Top
7385,0.601562473,Russian Federation,2490687.755,Top
4169,1.049999952,Russian Federation,2495476.983,Top
4259,0.896874959,Russian Federation,2496331.577,Top
3644,1.049999952,Russian Federation,2502364.261,Top
9720,1.002272682,Russian Federation,2504681.175,Top
5387,1.049999952,Russian Federation,2515708.966,Top
2785,1.049999952,Russian Federation,2517558.182,Top
9555,0.629999971,Russian Federation,2521562.863,Top
2722,1.049999952,Russian Federation,2529379.078,Top
8726,0.262499988,Russian Federation,2532792.449,Top
1179,0.904166626,Russian Federation,2542144.429,Top
1771,1.049999952,Russian Federation,2545640.185,Top
9354,0.949468042,Russian Federation,2558891.564,Top
1597,1.049999952,Russian Federation,2561702.753,Top
411,1.049999952,Russian Federation,2564439.649,Top
9236,1.049999952,Russian Federation,2567138.353,Top
8983,0.826388851,Russian Federation,2569161.966,Top
7211,1.049999952,Russian Federation,2575181.32,Top
5488,0.864062461,Russian Federation,2585730.378,Top
3360,1.049999952,Russian Federation,2585806.693,Top
6908,0.097222218,Russian Federation,2598532.93,Top
1532,1.049999952,Russian Federation,2598981.971,Top
9441,0.43749998,Russian Federation,2609449.765,Top
7113,1.049999952,Russian Federation,2614664.162,Top
9469,0.663157865,Russian Federation,2629967.036,Top
2835,0.973437456,Russian Federation,2631940.166,Top
7904,0.986363592,Russian Federation,2632797.231,Top
7583,0.207812491,Russian Federation,2635530.423,Top
9514,1.049999952,Russian Federation,2637180.255,Top
7781,1.049999952,Russian Federation,2644935.168,Top
8202,0.466666645,Russian Federation,2653342.848,Top
1446,1.049999952,Russian Federation,2655182.252,Top
5468,1.049999952,Russian Federation,2667891.973,Top
1024,0.16527777,Russian Federation,2676243.848,Top
1307,1.017187454,Russian Federation,2683028.323,Top
2673,0.596590882,Russian Federation,2700533.699,Top
8419,0.741176437,Russian Federation,2700995.433,Top
9846,0.953571385,Russian Federation,2701399.509,Top
2452,0.243055545,Russian Federation,2701438.539,Top
8705,1.049999952,Russian Federation,2706455.66,Top
6952,1.049999952,Russian Federation,2713939.452,Top
1473,0.21874999,Russian Federation,2720375.868,Top
2266,1.049999952,Russian Federation,2723830.264,Top
9143,0.213888879,Russian Federation,2728861.425,Top
5520,1.040277731,Russian Federation,2736101.191,Top
9758,0.142187494,Russian Federation,2742503.144,Top
9287,0.025462963,Kazakhstan,2748915.915,Top
6371,1.049999952,Russian Federation,2750719.384,Top
30,0.207812491,Russian Federation,2766858.941,Top
57,0.742424209,Russian Federation,2767635.203,Top
8008,1.016489316,Russian Federation,2774963.534,Top
1404,1.049999952,Russian Federation,2782191.678,Top
9527,0.097222218,Russian Federation,2786812.27,Top
2481,1.049999952,Russian Federation,2791746.367,Top
6026,0.88593746,Russian Federation,2793383.028,Top
7102,0.143229167,Kazakhstan,2798761.137,Top
2961,1.049999952,Russian Federation,2803603.024,Top
112,0.025462963,Kazakhstan,2805928.49,Top
7644,1.049999952,Russian Federation,2817731.609,Top
5634,0.560795429,Russian Federation,2822012.149,Top
5576,0.019444444,Russian Federation,2831767.537,Top
1826,0.954545411,Russian Federation,2834089.815,Top
4927,1.049999952,Russian Federation,2849690.061,Top
8093,0.164062493,Russian Federation,2852637.141,Top
9724,0.021874999,Kazakhstan,2852680.644,Top
401,0.476388867,Russian Federation,2857438.249,Top
4639,1.049999952,Russian Federation,2858927.109,Top
5806,0.050925926,Kazakhstan,2859430.74,Top
9671,0.951562457,Russian Federation,2870392.025,Top
9266,0.043749998,Russian Federation,2873337.541,Top
2823,0.962499956,Russian Federation,2884057.273,Top
3735,0.825252502,Kazakhstan,2885160.773,Top
982,0.22968749,Russian Federation,2896143.134,Top
7258,1.038068135,Russian Federation,2899887.316,Top
8972,0.777314813,Kazakhstan,2914874.309,Top
3284,1.049999952,Russian Federation,2916433.463,Top
8009,0.831249962,Russian Federation,2917837.571,Top
8091,0.240624989,Russian Federation,2921002.724,Top
7556,1.049999952,Russian Federation,2925369.865,Top
8947,0.509259259,Kazakhstan,2936216.441,Top
9708,1.049999952,Russian Federation,2936463.782,Top
4921,0.503124977,Russian Federation,2937878.894,Top
362,0.356481481,Kazakhstan,2946516.204,Top
8554,1.011111065,Russian Federation,2949689.918,Top
9172,0.404687482,Kazakhstan,2959967.119,Top
1959,1.028787832,Russian Federation,2965018.606,Top
8602,0.057291667,Kazakhstan,2976665.455,Top
4933,0.203703704,Kazakhstan,2977224.706,Top
4815,0.050925926,Kazakhstan,2980022.451,Top
1145,1.030555509,Russian Federation,2982402.425,Top
7362,1.049999952,Russian Federation,2991072.759,Top
9750,0.515625,Kazakhstan,2994382.908,Top
9131,1.049999952,Russian Federation,3001814.816,Top
8699,0.806944408,Russian Federation,3001817.418,Top
3100,0.372395833,Kazakhstan,3007353.994,Top
5242,1.049999952,Russian Federation,3014624.224,Top
2190,0.25,Kazakhstan,3015328.161,Top
8701,0.140740739,Kazakhstan,3023223.172,Top
9461,1.038068135,Russian Federation,3029473.641,Top
5890,0.572916667,Kazakhstan,3039868.25,Top
1039,1.006249954,Russian Federation,3046322.156,Top
8318,0.509259259,Kazakhstan,3052368.002,Top
2320,1.049999952,Russian Federation,3056034.598,Top
8963,0.689062469,Russian Federation,3065141.246,Top
1378,1.049999952,Russian Federation,3066442.493,Top
7033,0.875,Kazakhstan,3074147.585,Top
8179,1.039062453,Russian Federation,3078855.896,Top
8332,0.262499988,Kazakhstan,3085897.026,Top
9699,0.050925926,Kazakhstan,3091076.597,Top
9692,1.049999952,Russian Federation,3093249.56,Top
7580,0.101851852,Kazakhstan,3098934.335,Top
325,0.200520833,Kazakhstan,3099369.502,Top
9413,1.049999952,Russian Federation,3105989.766,Top
7104,1.039062453,Russian Federation,3109588.642,Top
9060,0.2578125,Kazakhstan,3110130.777,Top
7350,1.049999952,Russian Federation,3112131.033,Top
5876,1.049999952,Russian Federation,3120254.815,Top
621,0.88593746,Russian Federation,3127840.142,Top
4430,0.127314815,Kazakhstan,3127840.951,Top
3836,1.049999952,Russian Federation,3130344.944,Top
5165,1.049999952,Russian Federation,3142381.566,Top
6914,0.057291667,Kazakhstan,3147756.383,Top
8762,0.494791647,Kazakhstan,3147976.249,Top
7575,1.049999952,Russian Federation,3156341.324,Top
9062,0.101851852,Kazakhstan,3158497.047,Top
8990,1.049999952,Russian Federation,3158699.935,Top
3769,0.372395833,Kazakhstan,3159366.267,Top
7356,1.049999952,Russian Federation,3163487.226,Top
9506,1.049999952,Russian Federation,3163799.862,Top
7207,1.049999952,Russian Federation,3165877.985,Top
5784,0.028645833,Kazakhstan,3167634.159,Top
1181,1.049999952,Russian Federation,3169898.727,Top
9838,0.068229166,Kazakhstan,3169959.256,Top
8842,1.049999952,Russian Federation,3172195.038,Top
8802,1.049999952,Russian Federation,3175854.34,Top
925,1.049999952,Russian Federation,3183733.419,Top
7290,0.4296875,Kazakhstan,3187439.447,Top
7401,1.028124953,Russian Federation,3189905.335,Top
8523,0.083333333,Kazakhstan,3190849.55,Top
2821,1.049999952,Russian Federation,3193521.001,Top
6129,0.208522723,Kazakhstan,3193749.069,Top
8511,0.028645833,Kazakhstan,3204218.64,Top
7423,1.049999952,Russian Federation,3205198.704,Top
8071,1.056770787,Kazakhstan,3209450.063,Top
2211,0.028645833,Kazakhstan,3217224.707,Top
5480,1.049999952,Russian Federation,3218744.882,Top
9847,0.515625,Kazakhstan,3219303.512,Top
1044,1.049999952,Russian Federation,3221417.526,Top
4309,0.076388889,Kazakhstan,3224844.603,Top
4713,1.049999952,Russian Federation,3226825.723,Top
117,1.049999952,Russian Federation,3227129.033,Top
654,1.049999952,Russian Federation,3229145.204,Top
6235,1.036458311,Kazakhstan,3230794.158,Top
9957,1.049999952,Russian Federation,3233046.262,Top
6546,1.049999952,Russian Federation,3234134.813,Top
1206,1.049999952,Russian Federation,3238825.03,Top
2809,1.049999952,Russian Federation,3246470.943,Top
3418,0.6015625,Kazakhstan,3246578.634,Top
9095,0.125,Kazakhstan,3248672.335,Top
8859,1.024999953,Russian Federation,3251329.377,Top
9498,1.127840882,Kazakhstan,3253900.28,Top
8792,1.039062453,Russian Federation,3255970.131,Top
7502,1.049999952,Russian Federation,3267305.544,Top
7958,1.049999952,Russian Federation,3270309.179,Top
873,0.544270833,Kazakhstan,3275529.014,Top
9547,1.049999952,Russian Federation,3275842.825,Top
9971,1.661458333,Kazakhstan,3278729.08,Top
9748,1.049999952,Russian Federation,3280457.088,Top
8132,0.171875,Kazakhstan,3281731.77,Top
5357,0.028645833,Kazakhstan,3282003.145,Top
9713,1.049999952,Russian Federation,3283396.175,Top
6173,1.049999952,Russian Federation,3289396.334,Top
7108,1.049999952,Russian Federation,3289690.754,Top
834,1.049999952,Russian Federation,3291042.413,Top
1665,1.039062453,Russian Federation,3291647.863,Top
7694,1.049999952,Russian Federation,3295401.789,Top
2145,0.973437456,Russian Federation,3295434.806,Top
9719,1.049999952,Russian Federation,3301044.925,Top
9275,1.403645833,Kazakhstan,3305239.481,Top
2879,0.40625,Kazakhstan,3306108.051,Top
10018,1.049999952,Russian Federation,3308468.412,Top
3006,0.028645833,Kazakhstan,3311745.892,Top
6473,1.028124953,Russian Federation,3312106.011,Top
8144,0.028645833,Kazakhstan,3313464.213,Top
9623,1.204545411,Kazakhstan,3313494.253,Top
4090,0.286458333,Kazakhstan,3316351.889,Top
8935,1.049999952,Russian Federation,3317692.391,Top
7465,1.049999952,Russian Federation,3328701.018,Top
9283,1.049999952,Russian Federation,3330545.654,Top
9504,1.203125,Kazakhstan,3333388.952,Top
8403,0.025462963,Kazakhstan,3336141.141,Top
7549,1.049999952,Russian Federation,3337301.138,Top
7971,2.320238085,Kazakhstan,3337627.947,Top
8125,0.458333333,Kazakhstan,3338268.246,Top
2950,1.049999952,Russian Federation,3341475.609,Top
10055,1.049999952,Russian Federation,3344637.268,Top
9686,1.049999952,Russian Federation,3350694.332,Top
7485,1.049999952,Russian Federation,3351202.429,Top
764,1.049999952,Russian Federation,3351488.364,Top
2586,0.286458333,Kazakhstan,3352481.278,Top
391,1.049999952,Russian Federation,3353389.103,Top
5880,1.049999952,Russian Federation,3355994.786,Top
1687,1.012499954,Russian Federation,3357067.119,Top
2963,0.305555556,Kazakhstan,3358686.924,Top
5582,1.049999952,Russian Federation,3362516.224,Top
5563,0.75,Kazakhstan,3363133.771,Top
7310,2.291666667,Kazakhstan,3363405.062,Top
1198,0.028645833,Kazakhstan,3366385.56,Top
5399,1.024999953,Russian Federation,3369727.3,Top
9571,0.057291667,Kazakhstan,3371961.467,Top
1029,1.028124953,Russian Federation,3372230.065,Top
8235,1.049999952,Russian Federation,3372519.527,Top
8001,0.083333333,Kazakhstan,3376162.596,Top
2205,0.050925926,Kazakhstan,3378020.932,Top
6707,1.049999952,Russian Federation,3378688.371,Top
2617,0.995312455,Russian Federation,3388928.672,Top
9414,1.049999952,Russian Federation,3389384.692,Top
9454,0.171875,Kazakhstan,3390068.476,Top
9477,1.049999952,Russian Federation,3390152.763,Top
759,2.357142857,Kazakhstan,3390785.734,Top
6061,0.962499956,Russian Federation,3392606.512,Top
9958,0.7734375,Kazakhstan,3394429.285,Top
4495,1.227083291,Kazakhstan,3395986.869,Top
7702,1.006249954,Russian Federation,3398014.086,Top
9463,1.049999952,Russian Federation,3401798.863,Top
4956,1.049999952,Russian Federation,3405142.619,Top
2019,0.630208333,Kazakhstan,3405858.204,Top
6118,0.486979167,Kazakhstan,3407139.199,Top
3860,1.028124953,Russian Federation,3409741.586,Top
8949,1.094907407,Kazakhstan,3412057.073,Top
5903,1.049999952,Russian Federation,3412247.624,Top
4243,1.049999952,Russian Federation,3412525.453,Top
4739,1.049999952,Russian Federation,3414372.334,Top
8915,1.049999952,Russian Federation,3415910.957,Top
2714,0.076388889,Kazakhstan,3417555.654,Top
8886,1.017187454,Russian Federation,3417946.263,Top
9243,1.571428571,Kazakhstan,3419728.909,Top
4731,2.130208316,Kazakhstan,3421060.361,Top
8712,0.200520833,Kazakhstan,3422082.278,Top
4813,1.002272682,Russian Federation,3423241.482,Top
4348,1.546875,Kazakhstan,3427230.153,Top
7475,0.15625,Kazakhstan,3429062.2,Top
1372,0.918749958,Russian Federation,3430249.499,Top
9221,1.049999952,Russian Federation,3430966.13,Top
8311,1.049999952,Russian Federation,3431697.347,Top
6513,0.025462963,Kazakhstan,3435999.77,Top
2888,0.021944443,Kazakhstan,3437075.83,Top
9976,1.039062453,Russian Federation,3438959.159,Top
7539,0.200520833,Kazakhstan,3443752.773,Top
10019,2.537499994,Kazakhstan,3447702.603,Top
7394,1.049999952,Russian Federation,3449124.888,Top
8618,0.999999955,Russian Federation,3449153.126,Top
3277,1.049999952,Russian Federation,3449356.717,Top
5476,1.800595238,Kazakhstan,3450192.579,Top
6731,0.924999958,Russian Federation,3452728.005,Top
1125,1.049999952,Russian Federation,3453794.218,Top
9740,0.028645833,Kazakhstan,3454443.625,Top
10038,0.88749996,Russian Federation,3457984.5,Top
9452,1.088541667,Kazakhstan,3457989.274,Top
9808,0.076388889,Kazakhstan,3460267.452,Top
10037,1.049999952,Russian Federation,3461425.944,Top
9701,1.099479166,Kazakhstan,3461490.575,Top
7442,0.13166666,Kazakhstan,3464910.07,Top
4368,1.022727226,Russian Federation,3464914.436,Top
7479,0.050925926,Kazakhstan,3466491.066,Top
616,1.049999952,Russian Federation,3468177.073,Top
4127,0.286458333,Kazakhstan,3469411.547,Top
9802,1.049999952,Russian Federation,3472535.774,Top
5853,1.049999952,Russian Federation,3472805.85,Top
1358,1.049999952,Russian Federation,3474601.218,Top
9786,1.028124953,Russian Federation,3475148.242,Top
2659,2.501704541,Kazakhstan,3475875.014,Top
8016,1.049999952,Russian Federation,3478075.585,Top
6181,1.120833288,Kazakhstan,3478192.098,Top
2397,1.4609375,Kazakhstan,3478780.795,Top
5773,0.65625,Kazakhstan,3481753.577,Top
316,2.023809518,Kazakhstan,3482134.004,Top
7924,1.049999952,Russian Federation,3483223.582,Top
5598,1.036363589,Russian Federation,3488825.442,Top
9057,1.049999952,Russian Federation,3490037.289,Top
261,1.028124953,Russian Federation,3490502.768,Top
7597,0.027777778,Kazakhstan,3494916.06,Top
5640,2.0625,Kazakhstan,3497164.507,Top
8466,0.899999959,Russian Federation,3498506.297,Top
872,0.025462963,Kazakhstan,3501552.032,Top
9839,1.191666623,Kazakhstan,3504124.649,Top
5981,0.025462963,Kazakhstan,3504127.186,Top
