mean_barle,Fishnet_ID,COUNTRY,Longitude,mean_barle_1,Barley_Pred,Barley_Error_Ratio,NEAR_DIST
4.563162881,19,Chile,-34.32229996,4.563162881,0.753830222,3.809332659,13741404.25
0.190909089,24,Congo DRC,1.372789979,0.190909089,0.38099979,-0.190090701,3188016.735
3.943679858,82,France,43.45230103,3.943679858,0.706465697,3.237214161,4018602.595
1.113090876,119,India,22.4701004,1.113090876,0.479622766,0.63346811,4409841.038
1.758333246,161,Tanzania,-3.14718008,1.758333246,0.559524826,1.19880842,3580283.928
2.022083233,356,Tanzania,-9.473389626,2.022083233,0.573019916,1.449063317,4091459.837
1.311857104,363,India,22.4701004,1.311857104,0.508021848,0.803835256,4321445.462
2.825,464,China,33.60100174,2.825,0.662453848,2.162546152,7055092.509
0.081666668,469,Turkmenistan,39.39780045,0.081666668,0.384339508,-0.30267284,1684774.844
5.367986679,556,United Kingdom,59.98809814,5.367986679,0.723814653,4.644172026,4880189.491
0.25454545,566,Bolivia,-11.21459961,0.25454545,0.423953181,-0.169407731,12430861.32
4.153085815,579,Chile,-50.80250168,4.153085815,0.672751157,3.480334658,14230314.96
0.972803062,665,Australia,-32.81850052,0.972803062,0.549303878,0.423499184,13074415.17
0.382937348,671,United States,37.98989868,0.382937348,0.437950735,-0.055013387,12058606.23
0.777438767,733,Argentina,-27.35359955,0.777438767,0.459909735,0.317529032,13113521.4
0.245735188,758,United States,35.82600021,0.245735188,0.412032795,-0.166297607,11895262.51
0.806471199,842,China,35.09109879,0.806471199,0.531017625,0.275453574,3457745.015
2.516364534,889,Colombia,2.204090118,2.516364534,0.542828632,1.973535902,12843195.86
3,956,China,37.27550125,3,0.662614739,2.337385261,6013942.146
2.960537559,1015,Spain,42.12919998,2.960537559,0.640205982,2.320331577,4435796.221
4.395287242,1058,Chile,-53.54320145,4.395287242,0.745248592,3.65003865,14097540.14
0.011161696,1087,Yemen,14.76949978,0.011161696,0.376178314,-0.365016618,1437384.558
1.685069361,1105,Tanzania,-5.851469994,1.685069361,0.564351243,1.120718118,3727009.425
0.911339124,1206,Mexico,28.97459984,0.911339124,0.465029111,0.446310013,12804374.1
0.942620123,1256,Pakistan,29.76140022,0.942620123,0.467949483,0.47467064,2602096.439
0.342395837,1317,Russian Federation,46.01300049,0.342395837,0.464235655,-0.121839818,2004848.899
0.246796948,1415,Australia,-19.06060028,0.246796948,0.411173349,-0.164376401,11942719.01
1.532456875,1509,Croatia,43.76549911,1.532456875,0.603375891,0.929080984,3009061.468
2.972222222,1520,China,40.77759933,2.972222222,0.662660257,2.309561965,7284567.271
3,1529,China,35.82600021,3,0.662433502,2.337566498,6358971.067
0.813484812,1566,Peru,-8.542579651,0.813484812,0.463242056,0.350242756,13270765.84
1.581580281,1581,South Africa,-30.95820045,1.581580281,0.509554773,1.072025508,6638667.067
0.646969686,1629,Bolivia,-16.47879982,0.646969686,0.451194193,0.195775493,12851287.19
0.405136145,1666,Sweden,57.61930084,0.405136145,0.461234631,-0.056098486,3994777.147
1.080000043,1759,Kazakhstan,53.55350113,1.080000043,0.478015679,0.601984364,3486289.062
0.040833332,1797,Mozambique,-15.61019993,0.040833332,0.413959574,-0.373126242,4905614.324
0.350119051,2105,Russian Federation,56.14410019,0.350119051,0.445987232,-0.095868181,3314411.97
0.588068182,2228,Mongolia,47.85860062,0.588068182,0.433978708,0.154089474,5693721.042
0.654364463,2229,Australia,-26.54859924,0.654364463,0.46988704,0.184477423,12770601.82
0.035,2288,Congo DRC,-3.14718008,0.035,0.385864265,-0.350864265,4110788.203
1.513516252,2389,China,28.97459984,1.513516252,0.642795092,0.87072116,4425098.151
2.672727273,2420,China,37.27550125,2.672727273,0.66074574,2.011981533,5779024.931
1.730000019,2457,Russian Federation,56.14410019,1.730000019,0.524080548,1.205919471,4027124.426
0.866999361,2474,Ethiopia,5.884119987,0.866999361,0.447020691,0.41997867,2381936.594
1.223232337,2592,Russian Federation,46.63529968,1.223232337,0.526445208,0.696787129,2054086.863
2.431911724,2602,Greece,40.79059982,2.431911724,0.609624997,1.822286727,2252102.344
1.375104497,2628,Canada,53.55350113,1.375104497,0.455998629,0.919105868,10290243.35
1.257238498,2640,Australia,-32.81850052,1.257238498,0.532937561,0.724300937,10444183.72
0.061785715,2666,Russian Federation,57.61930084,0.061785715,0.39136116,-0.329575445,5387976.416
1.561000013,2688,Myanmar,10.39309978,1.561000013,0.556150484,1.004849529,6066560.844
0.825401371,2692,Latvia,57.48139954,0.825401371,0.57626711,0.249134261,3673109.222
0.01,2723,Tunisia,34.40399933,0.01,0.402920654,-0.392920654,3185636.952
1.231969711,2728,Russian Federation,58.57049942,1.231969711,0.502916687,0.729053024,3428562.366
4.583320921,2735,Chile,-54.02610016,4.583320921,0.671378549,3.911942372,13919781.07
0.529772723,2740,Congo DRC,-6.75026989,0.529772723,0.442926957,0.086845767,4092933.771
1.730000019,2760,Russian Federation,54.60990143,1.730000019,0.545427301,1.184572718,3877754.331
2.436447663,2795,Canada,52.47000122,2.436447663,0.566431132,1.870016531,10653648.41
2.275281961,2798,Chile,-41.38199997,2.275281961,0.666061843,1.609220118,14037397.4
1.105454584,2917,Kazakhstan,55.12789917,1.105454584,0.496077706,0.609376878,3651981.38
3.563699309,2952,Germany,50.22029877,3.563699309,0.764541493,2.799157816,3531690.374
0.844404771,2990,Russian Federation,56.14410019,0.844404771,0.507341646,0.337063125,3339412.596
3,3005,China,31.31649971,3,0.662898356,2.337101644,5483380.89
2.090625018,3068,Myanmar,14.76949978,2.090625018,0.579678012,1.510947006,5856546.292
2.38612439,3079,United States,47.25049973,2.38612439,0.458028671,1.928095719,10352643.54
0.18042976,3092,Argentina,-28.94589996,0.18042976,0.399691155,-0.219261395,13169117.76
2.72766059,3108,United States,32.08449936,2.72766059,0.667826819,2.059833771,12330268.04
5.428754478,3280,United Kingdom,54.08649826,5.428754478,0.810284864,4.618469614,4663243.359
1.534545378,3297,Tanzania,-8.542579651,1.534545378,0.560985504,0.973559874,4037266.885
3,3302,China,39.39780045,3,0.662959051,2.337040949,6053537.369
0.062419701,3335,South Africa,-32.81850052,0.062419701,0.3877115,-0.325291799,7124773.084
0.656341461,3560,Bangladesh,21.6779995,0.656341461,0.450900842,0.205440619,4935317.552
0.781722858,3592,Colombia,6.782859802,0.781722858,0.515762284,0.265960574,11987588.56
1.540757505,3679,Tanzania,-8.542579651,1.540757505,0.558612156,0.982145349,4149915.941
3.606661973,3693,Chile,-51.3288002,3.606661973,0.690892174,2.915769799,14166069.7
0.388989889,3695,Afghanistan,36.55419922,0.388989889,0.434375591,-0.045385702,2204614.457
1.085277805,3705,Tajikistan,39.39780045,1.085277805,0.482456367,0.602821438,2538836.872
0.822678661,3710,United States,37.98989868,0.822678661,0.483860299,0.338818362,12162714.9
0.392424236,3767,Bolivia,-21.60219955,0.392424236,0.416443984,-0.024019748,12980602.93
1.025512572,3820,India,22.4701004,1.025512572,0.543450661,0.482061911,3171334.428
1.657012821,3850,United States,44.10319901,1.657012821,0.525473589,1.131539232,11777583.92
0.270355604,3854,Mozambique,-26.55520058,0.270355604,0.476646507,-0.206290903,6070760.395
0.024027778,3873,Russian Federation,62.12760162,0.024027778,0.40561683,-0.381589052,3792943.444
0.087500002,3933,Turkmenistan,40.09120178,0.087500002,0.415198254,-0.327698252,2225965.794
6.557239816,3985,Germany,51.35910034,6.557239816,0.802556517,5.754683299,3602159.669
0.714696958,3995,Zambia,-16.47879982,0.714696958,0.475089589,0.239607369,5276332.241
0.545082485,4035,Australia,-20.1697998,0.545082485,0.39824867,0.146833815,12430343.84
0.914338589,4063,Canada,54.60990143,0.914338589,0.467690588,0.446648001,10160295.8
2.972222222,4073,China,42.12919998,2.972222222,0.663130144,2.309092078,7314114.397
0.300347942,4276,Australia,-29.7329998,0.300347942,0.439626978,-0.139279036,12723002.74
0.805649085,4364,China,36.55419922,0.805649085,0.522466827,0.283182258,3469202.823
1.957633605,4372,Laos,19.94330025,1.957633605,0.581555617,1.376077988,5733408.627
2.512109041,4544,Argentina,-37.96409988,2.512109041,0.621677415,1.890431626,12822525.23
0.121762411,4584,Ethiopia,7.679900169,0.121762411,0.489008568,-0.367246157,2180311.23
1.318506837,4603,Australia,-35.06430054,1.318506837,0.532518974,0.785987863,12437798.1
2.712195094,4669,New Zealand,-40.78779984,2.712195094,0.60025128,2.111943814,15415001.27
2.120623442,4680,United States,33.60100174,2.120623442,0.562048925,1.558574517,11951901.81
1.012285776,4705,Australia,-31.90060043,1.012285776,0.447178996,0.56510678,11535983.39
2.95,4794,China,29.76140022,2.95,0.663941707,2.286058293,5771413.388
1.367679076,4816,Finland,62.93889999,1.367679076,0.515914319,0.851764757,4172977.412
0.561458319,4845,Botswana,-19.91250038,0.561458319,0.512204956,0.049253363,5527767.214
3,4862,China,32.08449936,3,0.659038215,2.340961785,5467552.557
1.716401483,4869,Turkey,36.55530167,1.716401483,0.566480215,1.149921268,1281067.386
0.968079077,4916,Brazil,-25.7378006,0.968079077,0.508415976,0.459663101,11792238.12
0.579848476,4954,Zambia,-12.10000038,0.579848476,0.472352388,0.107496088,4504553.922
2.480570559,4970,Chile,-40.11460114,2.480570559,0.667570237,1.813000322,14093355.08
1.603124738,4974,Russian Federation,51.35910034,1.603124738,0.534704737,1.068420001,2613488.623
1.553796313,5126,Russian Federation,48.45959854,1.553796313,0.542558312,1.011238001,7704406.967
0.671875,5152,Mongolia,49.64049911,0.671875,0.447143104,0.224731896,5825202.011
0.277777778,5184,China,39.39780045,0.277777778,0.442656417,-0.164878639,4205731.201
2.869565217,5236,China,39.45449829,2.869565217,0.661349431,2.208215786,7137406.158
2.498753058,5250,United States,46.01300049,2.498753058,0.629669669,1.869083389,10760614.75
1.080000043,5278,Kazakhstan,54.08509827,1.080000043,0.485851007,0.594149036,3528135.638
1.685175917,5286,Greece,40.77759933,1.685175917,0.598349039,1.086826878,2444450.849
0.226745892,5330,South Africa,-32.81850052,0.226745892,0.415328621,-0.188582729,7000055.829
0.840902737,5354,Congo DRC,-5.851469994,0.840902737,0.465259423,0.375643314,3928695.951
1.758343555,5469,Canada,48.45959854,1.758343555,0.537982659,1.220360896,9377252.088
0.75,5477,Mongolia,49.05360031,0.75,0.454121801,0.295878199,5760027.58
1.22589086,5511,Turkey,40.09120178,1.22589086,0.554335348,0.671555512,1322825.675
0.389374997,5542,Congo DRC,-6.75026989,0.389374997,0.430652486,-0.041277489,4349596.865
4.800918031,5643,United States,35.09109879,4.800918031,0.619421166,4.181496865,12379934.59
0.8125,5680,China,46.63529968,0.8125,0.420714691,0.391785309,6579767.549
0.6487622,5731,Portugal,41.48529816,0.6487622,0.472940348,0.175821852,4881450.824
1.505324692,5785,Russian Federation,55.63940048,1.505324692,0.504435605,1.000889087,4739928.748
0.293894546,5818,Canada,53.55350113,0.293894546,0.46636382,-0.172469274,10090645.92
5.601836681,6130,Argentina,-52.99549866,5.601836681,0.755155391,4.84668129,13858779.24
1.541856598,6185,Canada,49.64049911,1.541856598,0.500830359,1.041026239,9602609.836
3,6229,China,28.97459984,3,0.6601513,2.3398487,5452347.939
0.369033145,6382,Argentina,-42.10490036,0.369033145,0.470679103,-0.101645958,13898232.38
0.007380663,6673,Argentina,-33.57369995,0.007380663,0.394760533,-0.38737987,13559635.32
0.472499996,6709,Congo DRC,-9.435660362,0.472499996,0.446587694,0.025912302,4443533.814
0.245940841,6719,Argentina,-27.35359955,0.245940841,0.4131749,-0.167234059,12860671.92
1.031687195,6749,United States,47.85860062,1.031687195,0.607494239,0.424192956,10515935.05
