,slope,x,y,P
1496,-0.002928464,6912492.933,7203715.755,0.049539895
1433,-0.00261444,7512492.933,3635670.15,0.047543187
4236,-0.00261444,7512492.933,3635670.15,0.047543187
9105,-0.002597318,7643007.919,2593299.429,0.047417133
255,-0.002835654,7112492.933,6053801.131,0.04595222
4694,-0.002835654,7112492.933,6053801.131,0.04595222
7391,-0.002835654,7112492.933,6053801.131,0.04595222
4609,0.003121971,6312492.933,5500858.34,0.045450312
2360,0.003412097,5912492.933,7486722.172,0.045308891
5347,-0.002622752,7612492.933,2940866.037,0.045092912
2025,-0.002955535,7012492.933,6698389.322,0.042503182
2517,-0.002955535,7012492.933,6698389.322,0.042503182
7509,-0.002955535,7012492.933,6698389.322,0.042503182
9438,0.003544429,5812492.933,7973177.731,0.042121081
8808,0.003313046,6112492.933,6442209.809,0.041760037
2635,0.002944529,6812492.933,2851063.991,0.041371729
8572,-0.00278932,7312492.933,4956820.844,0.040602851
2322,-0.002681866,7612492.933,3030040.42,0.040282912
5767,-0.003004285,7012492.933,6747575.511,0.039405161
1093,-0.00308963,6912492.933,7368906.493,0.038965436
5245,-0.003128076,6912492.933,7408746.016,0.036760819
5285,-0.003128076,6912492.933,7408746.016,0.036760819
9864,-0.002744204,7612492.933,3118574.151,0.035711695
1260,-0.003165812,6912492.933,7448015.679,0.03470597
7224,0.003869403,5607829.303,8977701.166,0.034287879
8510,-0.003099114,7012492.933,6843947.783,0.033947896
3863,0.003323627,6312492.933,5369537.73,0.032859539
5427,-0.003145224,7012492.933,6891146.597,0.031546829
7477,0.003250424,6512492.933,4362668.1,0.030342515
9257,0.003250424,6512492.933,4362668.1,0.030342515
7259,0.003703712,5912492.933,7287491.063,0.029139181
6574,0.003183843,6712492.933,3293670.667,0.029053974
9208,0.003183843,6712492.933,3293670.667,0.029053974
155,0.003558975,6112492.933,6280089.103,0.02827036
9426,-0.002996071,7312492.933,5166706.06,0.028259399
9562,-0.002996071,7312492.933,5166706.06,0.028259399
7118,-0.002875147,7612492.933,3293670.667,0.027576911
4504,-0.003234911,7012492.933,6983601.848,0.027308519
3252,0.003276563,6612492.933,3802417.245,0.026576775
6086,0.00364415,6112492.933,6224612.681,0.024560306
3672,-0.00297848,7512492.933,4047038.535,0.023990953
8077,-0.003411201,6912492.933,7707507.214,0.02367855
8949,-0.003272391,7112492.933,6494832.358,0.022384091
1118,0.0038925,5912492.933,7160926.394,0.021527748
5783,0.003398856,6612492.933,3719405.356,0.021388785
328,0.003730972,6112492.933,6168409.262,0.021216032
607,0.003730972,6112492.933,6168409.262,0.021216032
9838,-0.003050115,7512492.933,4127085.452,0.020829579
172,0.004261392,5561200.817,8985913.268,0.02051617
2530,-0.003603881,6818328.465,8441117.773,0.020163063
825,0.003489345,6512492.933,4206375.94,0.019939516
5314,0.003423668,6712492.933,3118574.151,0.018957406
3270,-0.003660982,6825913.446,8462337.269,0.018218856
1105,0.003600805,6412492.933,4665988.68,0.018166772
1669,-0.00307909,7612492.933,3551219.921,0.018153876
5629,-0.003484789,7012492.933,7245901.746,0.01807512
5989,-0.003073621,7712492.933,2760647.863,0.017700379
6296,-0.003257585,7312492.933,5435586.792,0.017497774
2790,-0.003420483,7112492.933,6648528.055,0.017328069
5389,0.004024516,5912492.933,7073510.843,0.017280925
6248,0.003984087,6012492.933,6546755.628,0.015866421
8970,-0.003147829,7612492.933,3635670.15,0.015700845
385,-0.003320438,7312492.933,5500858.34,0.015542071
7525,0.004199375,5812492.933,7524872.173,0.01509925
4478,-0.003514778,7112492.933,6747575.511,0.014677588
6484,-0.003514778,7112492.933,6747575.511,0.014677588
6340,-0.003305041,7412492.933,4956820.844,0.014002905
1171,-0.003636536,7012492.933,7408746.016,0.013966248
4350,-0.003461088,7212492.933,6168409.262,0.013831247
5707,-0.003461088,7212492.933,6168409.262,0.013831247
1841,0.004064703,6012492.933,6494832.358,0.013771465
7447,0.004533223,5544245.421,8899032.655,0.013757836
7383,0.004256702,5812492.933,7486722.172,0.01369889
7534,-0.003261692,7512492.933,4362668.1,0.013557554
3548,0.003646349,6612492.933,3551219.921,0.01352942
6801,-0.003672743,7012492.933,7448015.679,0.013122596
7363,-0.003708285,7012492.933,7486722.172,0.012340555
8192,-0.003708285,7012492.933,7486722.172,0.012340555
9990,0.003663856,6712492.933,2940866.037,0.012091052
427,0.004232282,5912492.933,6937695.784,0.01206399
2603,-0.003649865,7112492.933,6891146.597,0.01152619
7165,-0.003649865,7112492.933,6891146.597,0.01152619
6147,-0.003992512,6799463.787,8995594.506,0.011241472
3770,-0.003910243,6891588.357,8375663.982,0.010856598
1177,0.004713874,5516556.558,8945034.666,0.010766219
3103,-0.003811043,7012492.933,7599529.325,0.010316107
4452,-0.00361916,7212492.933,6334843.797,0.010295775
4252,-0.003399629,7512492.933,4515881.043,0.010152423
6633,-0.003501794,7412492.933,5166706.06,0.009413485
7449,-0.003669995,7212492.933,6388882.182,0.009350195
6157,-0.00377767,7112492.933,7028871.339,0.009133239
9249,-0.003899593,7006407.334,7730836.382,0.008926438
9415,-0.003899593,7006407.334,7730836.382,0.008926438
613,-0.003421951,7612492.933,3966240.724,0.008621861
2441,-0.003421951,7612492.933,3966240.724,0.008621861
9772,-0.003401213,7712492.933,3293670.667,0.008316551
7343,-0.004069787,6912492.933,8442468.515,0.007958638
4223,-0.003859017,7112492.933,7117526.979,0.007860555
4568,-0.00367671,7312492.933,5876314.135,0.007761303
43,-0.00376896,7212492.933,6494832.358,0.007736611
5094,-0.003489774,7612492.933,4047038.535,0.007397665
6736,-0.003489774,7612492.933,4047038.535,0.007397665
942,-0.003898574,7112492.933,7160926.394,0.007303499
6582,-0.003817118,7212492.933,6546755.628,0.007049141
2097,0.004023217,6612492.933,3293670.667,0.006426547
857,-0.003557193,7612492.933,4127085.452,0.006341718
9485,-0.003557193,7612492.933,4127085.452,0.006341718
7053,-0.003666969,7512492.933,4812972.433,0.005685275
4259,0.004685542,5912492.933,6648528.055,0.005195489
9466,-0.003811036,7412492.933,5500858.34,0.004920671
7784,-0.004001231,7212492.933,6747575.511,0.004913929
811,-0.003655984,7712492.933,3635670.15,0.00449616
2305,-0.004155894,7112492.933,7448015.679,0.004491622
3545,0.004331051,6412492.933,4206375.94,0.004331249
8944,-0.004220542,7074247.477,7727049.677,0.004319072
1602,0.004591239,6112492.933,5629078.804,0.004219198
9429,0.004591239,6112492.933,5629078.804,0.004219198
6482,0.005021422,5712492.933,7562472.343,0.004157002
3017,0.004445026,6312492.933,4665988.68,0.003986077
1341,-0.003687932,7812492.933,2851063.991,0.003927881
7105,-0.003687932,7812492.933,2851063.991,0.003927881
5795,-0.004130752,7212492.933,6891146.597,0.003794981
5953,-0.004130752,7212492.933,6891146.597,0.003794981
1747,0.004848634,5912492.933,6546755.628,0.003761376
836,0.005079945,5712492.933,7524872.173,0.003712583
2367,-0.003730141,7812492.933,2940866.037,0.003498357
3904,-0.004288657,7112492.933,7599529.325,0.003477531
7631,-0.004288657,7112492.933,7599529.325,0.003477531
4771,0.004458722,6412492.933,4127085.452,0.003295215
3325,0.005036849,5812492.933,6983601.848,0.003216424
9048,-0.004213224,7212492.933,6983601.848,0.003213339
7957,-0.004474184,7006202.741,8397112.271,0.003137888
5609,-0.004351457,7112492.933,7672040.18,0.003077663
1003,0.0051103,5812492.933,6937695.784,0.002772328
6280,-0.004540852,7012492.933,8442468.515,0.002726805
5972,0.005018119,5912492.933,6442209.809,0.002658684
7113,0.004501495,6512492.933,3551219.921,0.002596628
2797,-0.004151396,7412492.933,5876314.135,0.002336337
5582,-0.004151396,7412492.933,5876314.135,0.002336337
7499,-0.00428821,7312492.933,6546755.628,0.002178728
8905,-0.004204932,7412492.933,5936225.825,0.002072561
9398,-0.00444319,7212492.933,7245901.746,0.002006547
5352,0.004633049,6512492.933,3466063.535,0.001932436
9810,-0.004257575,7412492.933,5995386.692,0.001841048
4599,-0.004162781,7512492.933,5369537.73,0.001827989
5879,-0.004162781,7512492.933,5369537.73,0.001827989
8603,-0.00437806,7312492.933,6648528.055,0.001794905
8110,-0.004003125,7912492.933,2393134.691,0.001662972
795,0.004653369,6612526.47,2854517.303,0.001636805
9195,0.004653369,6612526.47,2854517.303,0.001636805
83,-0.00436022,7412492.933,6111473.729,0.001458785
7357,0.005418608,5812492.933,6747575.511,0.001451726
5498,0.006003705,5383827.555,8900129.933,0.00139443
6088,0.005266082,6012492.933,5754221.766,0.001223824
6608,-0.004717165,7188070.485,7697843.626,0.001211311
3945,0.005143062,7064974.463,-2179591.684,0.001185892
2092,-0.004345911,8137414.342,-67145.05512,0.001170517
8209,-0.004139233,7912492.933,2760647.863,0.00106926
5257,-0.005056904,7015718.988,9070031.688,0.001004547
7707,-0.005056904,7015718.988,9070031.688,0.001004547
5197,-0.004774272,7212492.933,7636049.74,0.001002596
2263,-0.004323396,7612492.933,5027567.564,0.000989128
1335,0.005371334,6012492.933,5692033.386,0.000962452
7552,0.005371334,6012492.933,5692033.386,0.000962452
9218,0.005371334,6012492.933,5692033.386,0.000962452
5745,-0.005060387,7034791.936,8966260.549,0.000942406
2974,-0.004989842,7112492.933,8442468.515,0.000859243
4188,-0.004382825,7612492.933,5097529.173,0.000850397
9817,0.005567369,5912492.933,6111473.729,0.000797327
4278,-0.004647709,7412492.933,6442209.809,0.000751515
9580,-0.004781493,7312492.933,7117526.979,0.000738328
4565,0.005119473,6412492.933,3719405.356,0.000719217
5133,0.006434676,5332502.74,8940470.061,0.000674168
3147,-0.004603429,7512492.933,5876314.135,0.000632454
3193,-0.004853708,7312492.933,7203715.755,0.000628057
4034,-0.004737001,7412492.933,6546755.628,0.000609725
6343,-0.004737001,7412492.933,6546755.628,0.000609725
2978,0.00595094,5712492.933,6983601.848,0.000590249
8931,-0.00433057,7912492.933,3206454.834,0.000578387
8705,0.005485997,6112492.933,5097529.173,0.000568734
6314,0.005838814,5812492.933,6494832.358,0.000565429
9095,0.005165818,6512492.933,3118574.151,0.000544877
146,0.006542579,5328037.313,8898735.534,0.000544628
3546,0.005255552,6412492.933,3635670.15,0.000514199
5340,-0.004957185,7312492.933,7328490.41,0.000497507
1468,-0.004566052,8123481.495,540864.7625,0.000496548
273,-0.004705043,7512492.933,5995386.692,0.000492325
2587,-0.004532026,7712492.933,4739871.921,0.000452275
4951,-0.005227452,7160810.443,8478775.044,0.000450251
2420,-0.004592799,8118515.271,659688.9039,0.000438126
3185,-0.004670567,8183159.17,42706.82608,0.000433055
4859,-0.004670567,8183159.17,42706.82608,0.000433055
3028,0.006255104,5612492.933,7368906.493,0.000403383
7144,0.006255104,5612492.933,7368906.493,0.000403383
7455,0.005300041,6512492.933,3030040.42,0.000389328
9983,0.005300041,6512492.933,3030040.42,0.000389328
1051,-0.004683523,8166521.574,266896.0603,0.000381531
161,-0.004946768,7412492.933,6796092.887,0.000371255
6723,-0.005086592,7312492.933,7486722.172,0.000371049
830,-0.005117489,7312492.933,7524872.173,0.00034586
5706,-0.005117489,7312492.933,7524872.173,0.00034586
7550,0.006184486,5712492.933,6843947.783,0.000342673
1291,-0.00502553,7412492.933,6891146.597,0.000307665
3143,-0.004776662,7612492.933,5565354.779,0.000306348
168,-0.004898352,7512492.933,6224612.681,0.000304212
272,-0.004546139,7912492.933,3551219.921,0.000294083
8411,-0.004617262,7812492.933,4284904.988,0.00028239
397,-0.004944659,7512492.933,6280089.103,0.000270842
1888,-0.005101491,7412492.933,6983601.848,0.00025649
3829,-0.004770904,8142935.327,746721.9126,0.000239725
6491,-0.004770904,8142935.327,746721.9126,0.000239725
1263,0.005459129,6592910.438,2404167.674,0.000235103
9112,0.005459129,6592910.438,2404167.674,0.000235103
9378,0.005855404,6112492.933,4885289.005,0.0002255
658,-0.005174743,7412492.933,7073510.843,0.000215086
2594,-0.00482171,7712492.933,5097529.173,0.000202448
3744,-0.00482171,7712492.933,5097529.173,0.000202448
1788,-0.004863631,8181982.725,461307.8097,0.000198005
1834,-0.004863631,8181982.725,461307.8097,0.000198005
3625,-0.004863631,8181982.725,461307.8097,0.000198005
9690,-0.004877098,8191583.272,372841.6617,0.000196508
4336,-0.004650172,8012492.933,2851063.991,0.000195552
5646,-0.005078873,7512492.933,6442209.809,0.000193078
4699,-0.005122075,7512492.933,6494832.358,0.000173065
189,-0.00527974,7412492.933,7203715.755,0.000166957
1613,-0.005033856,7612492.933,5876314.135,0.000154905
3197,-0.004849814,7812492.933,4591324.358,0.00014125
2756,0.006164853,6012492.933,5235098.983,0.000135561
949,0.006923276,5495731.764,7645012.414,0.000125321
399,-0.004775206,8012492.933,3118574.151,0.000124351
6297,-0.005131156,7612492.933,5995386.692,0.000119388
4033,0.006921521,5516843.316,7522697.216,0.000115941
230,-0.005006913,8196582.133,597984.3438,0.000115201
6334,-0.005006913,8196582.133,597984.3438,0.000115201
8004,0.006112148,6112492.933,4739871.921,0.000114617
9423,-0.005040915,7712492.933,5369537.73,0.000109135
3465,-0.005517188,7382626.294,7660696.419,0.000105462
