,slope,x,y,P
10000,0.002680755,6415443.261,8950453.54,0.04979911
1540,0.002606496,6605852.291,8291709.125,0.048733117
3133,-0.00232092,8068351.968,7984635.725,0.047987074
6951,-0.00232092,8068351.968,7984635.725,0.047987074
9384,0.002701395,6416125.557,8928885.039,0.047925354
8168,0.002701009,6423795.438,8900078.78,0.047650752
8376,-0.002152427,8412492.933,5876314.135,0.047607714
2519,-0.00213739,8512492.933,3719405.356,0.047483731
1094,0.002488061,6912492.933,7203715.755,0.047185195
1427,-0.002258851,8212492.933,7203715.755,0.046974364
3515,-0.002258851,8212492.933,7203715.755,0.046974364
677,-0.002143668,8512492.933,3802417.245,0.046563259
1999,0.002305103,7512492.933,4127085.452,0.046493267
2572,0.002305103,7512492.933,4127085.452,0.046493267
31,-0.002175464,8412492.933,5936225.825,0.045517094
3780,-0.002361031,8076821.714,8006887.645,0.044260006
5353,-0.002241311,8312492.933,6648528.055,0.044027137
5377,-0.002241311,8312492.933,6648528.055,0.044027137
2056,0.002489075,7012492.933,6796092.887,0.043151599
3669,0.002389518,7612492.933,2940866.037,0.042107853
5480,-0.002215323,8412492.933,5995386.692,0.041943752
9103,-0.002272338,8612492.933,2017033.823,0.041652857
610,-0.002196678,8512492.933,4439661.285,0.040073393
6865,0.002579176,6912492.933,7117526.979,0.039215721
5801,0.002539486,7012492.933,6747575.511,0.038858972
415,-0.002361813,8212492.933,7368906.493,0.038657555
9982,-0.002215459,8512492.933,4665988.68,0.038213215
6239,0.002860784,6345621.919,9050877.718,0.037866413
1733,-0.002326944,8312492.933,6796092.887,0.03725579
3379,0.002685273,6737322.489,7710499.565,0.037147466
1767,-0.002229674,8512492.933,4885289.005,0.036968123
8654,-0.002373159,8712492.933,1341699.897,0.036282865
2815,0.002491618,7212492.933,5936225.825,0.036093252
9296,-0.002398938,8216846.324,7407054.353,0.035836786
1278,0.002438384,7412492.933,4812972.433,0.035666106
3439,0.002438384,7412492.933,4812972.433,0.035666106
3071,0.002590702,7012492.933,6698389.322,0.034868375
5889,0.002590702,7012492.933,6698389.322,0.034868375
246,-0.002262075,8512492.933,5166706.06,0.034465771
4276,0.002470106,7512492.933,3802417.245,0.033729261
6451,0.002470106,7512492.933,3802417.245,0.033729261
8866,0.002470106,7512492.933,3802417.245,0.033729261
8096,-0.002382521,8312492.933,6891146.597,0.033381692
3223,0.002474176,7412492.933,4739871.921,0.03307096
9664,0.002550053,7212492.933,5876314.135,0.031778725
5743,0.002875527,6514992.916,8392998.382,0.03133577
8552,-0.00236026,8412492.933,6280089.103,0.031215876
4983,-0.002398996,8612492.933,2393134.691,0.029568056
