,slope,x,y,P
6198,-0.002357451,-3287507.067,8581280.133,0.049943611
252,0.001506632,-6987507.067,-3026814.821,0.049057841
2607,-0.002401417,-3187507.067,8894689.92,0.048469848
7937,0.001542408,-7213813.292,-4686532.952,0.048217303
1779,-0.002383685,-3287507.067,8603203.746,0.047541682
1635,-0.002446826,-3087389.407,9225278.631,0.046967916
3715,-0.002421163,-3187507.067,8911831.163,0.04672148
7782,0.001547249,-6687507.067,-348000.4534,0.046025616
1301,0.001536117,-6987507.067,-3377081.288,0.045847097
8076,0.002599507,-1827986.7,8934893.583,0.045302013
8859,0.001605491,-6387507.067,251741.2167,0.044021001
6090,-0.002459599,-3187507.067,8945329.097,0.043473736
7602,0.002497069,-2466446.925,7237352.655,0.042250987
1351,-0.002478303,-3187507.067,8961693.563,0.041965226
8147,-0.001431159,-8587507.067,-845653.7151,0.041735298
732,-0.001492844,-7787507.067,650655.63,0.041505836
8937,0.001588985,-7087507.067,-4203511.253,0.040887722
5430,-0.001537149,-7587507.067,948249.2394,0.038604042
3449,-0.001471962,-8287507.067,-148167.1687,0.038433277
56,-0.002532439,-3187507.067,9009294.501,0.037851994
6816,-0.002480416,-3387507.067,8418074.17,0.037323045
6368,0.001587974,-6887507.067,-1629975.961,0.037220407
2095,0.001612862,-6987507.067,-3716378.655,0.037088619
2322,0.001612862,-6987507.067,-3716378.655,0.037088619
9904,-0.002467759,-3487507.067,8152679.403,0.036100329
5319,-0.002566948,-3187507.067,9039821.669,0.035417247
5378,0.001642998,-7087507.067,-4359859.006,0.035141512
5811,0.001642998,-7087507.067,-4359859.006,0.035141512
9763,-0.002539087,-3387507.067,8466494.509,0.033213695
104,0.001625415,-6887507.067,-1918332.284,0.033101821
6218,0.001629262,-6887507.067,-2013585.106,0.032757414
575,-0.002616462,-3187507.067,9083873.806,0.032163204
1935,-0.00262333,-3181672.905,9106908.884,0.031846016
8858,-0.002567589,-3387507.067,8490157.38,0.03136429
9818,-0.002598955,-3287507.067,8786097.201,0.031323498
79,0.001738184,-6287507.067,351624.5074,0.030683336
7875,0.001661227,-6887507.067,-2847792.849,0.030544875
3017,-0.002595552,-3387507.067,8513462.297,0.029638273
7567,0.001675186,-6787507.067,-1043435.693,0.02898772
3711,0.001679961,-6887507.067,-2937617.425,0.028872965
8440,0.001679961,-6887507.067,-2937617.425,0.028872965
594,-0.002642111,-3287507.067,8823416.556,0.028731719
3060,-0.002683223,-3192259.073,9129928.296,0.028107562
351,-0.002496978,-3812705.267,7412164.392,0.027752488
143,0.001739054,-7109677.147,-4722787.555,0.026864285
8846,0.001739054,-7109677.147,-4722787.555,0.026864285
9155,-0.002649906,-3387507.067,8559018.652,0.026520686
4996,0.001780176,-7486072.113,-6195530.414,0.026350904
6340,0.001780176,-7486072.113,-6195530.414,0.026350904
7199,-0.002559337,-3687507.067,7742457.378,0.026344022
1719,-0.002736362,-3187507.067,9191791.39,0.025347357
9544,-0.002703953,-3287507.067,8877281.886,0.025347342
9780,-0.002703953,-3287507.067,8877281.886,0.025347342
3285,0.001748188,-6587507.067,-348000.4534,0.025121338
2181,-0.002723826,-3287507.067,8894689.92,0.024337249
6770,-0.002723826,-3287507.067,8894689.92,0.024337249
2162,-0.00262973,-3587507.067,8034810.17,0.024226172
8702,0.002891073,-1955246.148,8326365.873,0.02388917
