,slope,x,y,P
6944,0.003231778,-4987507.067,8624794.367,0.049987485
7475,0.003231778,-4987507.067,8624794.367,0.049987485
2104,-0.002234016,13414737.64,4125246.334,0.049801171
7875,-0.002255773,14112492.93,7562472.343,0.049767699
519,0.003197191,-5187507.067,8442468.515,0.049727846
1308,0.002780278,-7287507.067,6224612.681,0.049722106
2678,0.002780278,-7287507.067,6224612.681,0.049722106
18,-0.002230684,13512492.93,5995386.692,0.049599357
1440,0.002661778,-7887507.067,5435586.792,0.049557833
8141,0.002515763,13847667.8,114149.3033,0.049503082
8663,0.003276085,-4787507.067,8786097.201,0.049442355
580,0.002422541,-9387507.067,3635670.15,0.049313738
6117,0.002422541,-9387507.067,3635670.15,0.049313738
9759,0.003183769,-5287507.067,8342627.865,0.049270883
7281,0.003125953,-5587507.067,8064942.849,0.049260486
8111,0.002395089,-9688382.856,3394289.733,0.049086716
2103,0.00338966,-4192329.786,9272682.871,0.049059619
5163,0.003375008,-4275512.407,9204721.793,0.049041332
1969,0.002846568,-7022250.38,6524283.386,0.048592862
6767,0.002516532,11612492.93,2578030.627,0.048557015
1282,0.00328761,-4787507.067,8767002.058,0.048548244
6412,-0.002243724,13612492.93,6224612.681,0.048437983
8315,-0.002275024,14212492.93,7810833.072,0.048385599
1272,0.00248404,-8987507.067,3966240.724,0.048089049
3297,0.00248404,-8987507.067,3966240.724,0.048089049
2954,0.002514688,-8787507.067,4206375.94,0.048079516
8405,0.003257611,-4987507.067,8581280.133,0.047958926
1880,0.003277265,-4887507.067,8666995.833,0.047901183
3257,0.003277265,-4887507.067,8666995.833,0.047901183
1940,0.003084495,-5888629.511,7742033.559,0.047808962
6874,0.002263071,-12355013.91,2078048.552,0.047773853
753,0.003165145,-5487507.067,8123871.474,0.047668881
2139,0.003165145,-5487507.067,8123871.474,0.047668881
5463,0.003078719,-5935156.336,7689470.781,0.047525409
6123,0.003359276,-4487507.067,8993672.534,0.047337244
7168,0.003188857,-5387507.067,8209012.058,0.047333525
4978,0.003323713,-4687507.067,8823416.556,0.047224886
5342,0.003381974,-4387507.067,9069416.92,0.047016717
7926,0.003381974,-4387507.067,9069416.92,0.047016717
6340,0.002321953,-11087507.07,2485859.613,0.046975437
9906,0.00328983,-4887507.067,8646056.81,0.046945663
3407,0.002671365,-7987507.067,5235098.983,0.046806916
4023,0.002832973,-7187507.067,6280089.103,0.046791867
8000,0.003311245,-4787507.067,8727919.073,0.046755217
1705,0.00265291,-8087507.067,5097529.173,0.046723831
6688,0.00265291,-8087507.067,5097529.173,0.046723831
231,0.003422992,-4184236.043,9228914.763,0.046718574
4565,0.003099584,-5891603.071,7710403.392,0.046540017
40,0.003140237,-5687005.33,7909886.453,0.046539283
65,0.003140237,-5687005.33,7909886.453,0.046539283
2357,0.002734942,-7687507.067,5629078.804,0.046440035
4624,0.002576,10612492.93,7844271.501,0.046439945
8516,0.002620075,10412492.93,8316706.66,0.04643555
4064,-0.002300261,14310138.45,8033463.579,0.046394063
3905,-0.002265626,13612492.93,6168409.262,0.046098622
1260,0.003204936,-5387507.067,8181057.645,0.046085987
2019,-0.002295085,14212492.93,7707507.214,0.046021498
876,0.002558236,10712492.93,7562472.343,0.045981694
7801,0.003284331,-4987507.067,8536414.371,0.045930795
1190,0.002639678,10351103.97,8437696.352,0.045865741
8365,0.003323363,-4787507.067,8707922.353,0.045856844
3494,0.002782443,-7487507.067,5876314.135,0.045823598
1557,-0.002279042,13912492.93,6891146.597,0.045806812
689,0.00322954,-5287507.067,8263672.557,0.045696986
9716,0.003400471,-4387507.067,9039821.669,0.045677529
6637,0.002449432,19612492.93,-4436880.201,0.045613892
3022,0.002609373,-8387507.067,4665988.68,0.045577136
6557,0.002332529,-11187507.07,2485859.613,0.0454376
6275,0.003255594,-5187507.067,8342627.865,0.045199874
1596,0.002715225,10037325.58,9011964.49,0.04501225
1734,0.002448764,-9582599.647,3390248.201,0.044955431
6855,0.003221298,-5387507.067,8152679.403,0.044843998
9367,0.00248602,15976019.25,-1539807.907,0.044834274
1627,0.002535762,11312492.93,3293670.667,0.044814743
7154,0.002503994,-9087507.067,3719405.356,0.044805139
4514,0.00346763,-4087864.101,9263935.867,0.044794076
8860,-0.00231671,14330216.48,8011357.535,0.044671969
9191,-0.002300259,14112492.93,7368906.493,0.044671293
4127,0.002576329,11796939.7,2221741.909,0.044669612
8839,0.003433804,-4287507.067,9098108.09,0.044620501
4652,-0.002315456,14309510.72,7940867.086,0.044601048
6114,0.002597108,10612492.93,7810833.072,0.044546425
8727,0.002597108,10612492.93,7810833.072,0.044546425
4038,0.003245332,-5287507.067,8236548.445,0.044513718
2081,0.003419584,-4387507.067,9009294.501,0.044326193
496,0.002524437,-8987507.067,3884698.089,0.044317811
1621,0.003475055,-4087507.067,9252732.433,0.044287015
6241,-0.002323556,14367257.51,8113845.413,0.04428445
4946,0.003383022,-4587507.067,8841649.307,0.044273661
418,-0.002293628,13912492.93,6843947.783,0.044262017
577,0.003144953,-5810505.738,7737422.09,0.044260866
6432,0.003144953,-5810505.738,7737422.09,0.044260866
9298,0.003144953,-5810505.738,7737422.09,0.044260866
7750,0.003270831,-5187507.067,8316706.66,0.044075009
7682,0.002886015,-7087507.067,6334843.797,0.044014867
827,0.002580561,10712492.93,7524872.173,0.043979039
9702,0.002499186,11112492.93,4812972.433,0.043940339
656,0.002763961,-7687507.067,5565354.779,0.043877531
9563,0.002763961,-7687507.067,5565354.779,0.043877531
