,slope,x,y,P
5432,-0.002230382,3382301.933,5113864.21,0.049940212
6027,-0.002323099,3512492.933,4206375.94,0.049891969
4999,-0.002229446,2812492.933,7028871.339,0.049408286
3890,0.002172891,3673571.096,7734297.905,0.048879095
5617,0.002172891,3673571.096,7734297.905,0.048879095
6344,0.002172891,3673571.096,7734297.905,0.048879095
3946,0.002146769,4317202.973,5162995.413,0.047741939
7625,0.002146769,4317202.973,5162995.413,0.047741939
7731,-0.003161151,4112492.933,-547490.1312,0.046101794
1473,-0.003325327,4312492.933,-1435776.132,0.044300513
7162,0.002458613,4612492.933,2760647.863,0.04359664
5943,0.00222717,3697842.854,7697810.92,0.04311093
8406,0.00222717,3697842.854,7697810.92,0.04311093
2054,0.003019251,5450380.385,-1442220.61,0.042979664
5235,0.003062875,5564045.094,-1855062.888,0.04284713
2294,-0.003323913,4212492.933,-1043435.693,0.040868083
87,-0.002491925,2115957.679,8876695.681,0.040390637
7977,-0.002497875,2108551.514,8894065.185,0.040061415
848,0.002491326,4612492.933,2851063.991,0.039712868
8359,0.002635418,4730727.933,1930664.035,0.038680837
1658,0.0022324,3912492.933,6937695.784,0.038215927
1306,-0.002330832,3212492.933,5754221.766,0.03782064
3342,-0.002374257,2812492.933,6937695.784,0.036196956
103,-0.002789752,3612492.933,2485859.613,0.035340817
3322,-0.002789752,3612492.933,2485859.613,0.035340817
898,-0.002375483,2901540.77,6707522.551,0.035045544
6431,-0.002375483,2901540.77,6707522.551,0.035045544
573,0.00229404,4112492.933,6280089.103,0.031513398
3693,0.002323339,3912492.933,6983601.848,0.031108064
1871,-0.002638361,2110051.656,8785068.009,0.029669155
744,-0.002924846,3612492.933,2299872.341,0.029470294
9498,-0.003222796,3812492.933,750045.268,0.029395733
4269,0.003263058,5506636.976,-1440522.436,0.027848867
5731,0.00326048,5487345.706,-1364608.352,0.027539321
7080,0.00293356,4912492.933,1047016.292,0.027505419
3077,-0.002487307,2909700.5,6590702.407,0.027246644
3819,0.002357411,4112492.933,6334843.797,0.027044128
9858,0.002372282,4312492.933,5500858.34,0.026947673
8874,-0.002521704,3312492.933,5166706.06,0.026812846
2278,-0.002713275,2044179.5,8922423.96,0.026241342
1041,0.002888095,4833916.277,1541228.6,0.025945095
2348,0.00275885,4712492.933,2393134.691,0.025937579
2895,-0.002706129,2112492.933,8727919.073,0.025506143
4353,0.002432118,4412492.933,4956820.844,0.025390803
8893,-0.002535261,2812492.933,6843947.783,0.025183974
5924,-0.002514987,3012492.933,6280089.103,0.025081247
8447,-0.002514987,3012492.933,6280089.103,0.025081247
9011,0.002448224,3812492.933,7486722.172,0.024808599
2145,-0.003254412,3712492.933,1243764.383,0.02369124
3707,-0.003254412,3712492.933,1243764.383,0.02369124
3941,0.002531967,4512492.933,4284904.988,0.023476948
268,0.002419866,4112492.933,6388882.182,0.023194569
109,-0.002770086,2046368.229,8873971.943,0.023083953
7961,0.002459578,3912027.176,7117165.869,0.022699173
5002,-0.002784059,2034604.662,8897971.521,0.022545379
9517,0.002476718,4412492.933,5027567.564,0.02242496
8720,-0.003528437,3912492.933,51812.65361,0.022256952
131,-0.002598689,2812492.933,6796092.887,0.021723332
8531,0.002945408,4813325.628,1826700.251,0.020898412
9033,-0.002725224,3412492.933,4362668.1,0.020876615
816,0.002519747,4412492.933,5097529.173,0.019846011
5805,-0.002713879,2512492.933,7562472.343,0.019295292
4245,-0.002741402,3380154.06,4557069.491,0.018994676
6176,0.002600605,4512492.933,4439661.285,0.018978282
7906,-0.002780291,3412492.933,4284904.988,0.018970148
8716,0.003158158,5012492.933,750045.268,0.018970018
9531,-0.002647098,3112492.933,5876314.135,0.01855037
5282,0.002865574,4712492.933,2669631.823,0.018535256
1627,0.002987069,4812492.933,1921797.559,0.018435775
9881,-0.003050912,3512492.933,2940866.037,0.018095607
3310,0.002527382,4312492.933,5692033.386,0.017828083
8718,0.002527382,4312492.933,5692033.386,0.017828083
9190,0.002527382,4312492.933,5692033.386,0.017828083
1370,0.002563392,4412492.933,5166706.06,0.017507215
4931,0.002541039,4112492.933,6494832.358,0.01708524
703,-0.003109275,3512492.933,2851063.991,0.016691168
286,0.002620718,3811482.116,7671621.453,0.016659298
6291,-0.002713799,3212492.933,5435586.792,0.0165817
4137,-0.002740801,2712492.933,6983601.848,0.016131045
8724,-0.00271978,2912492.933,6442209.809,0.015775127
432,-0.002947164,2019175.999,8823005.296,0.015626187
1691,-0.002947164,2019175.999,8823005.296,0.015626187
1535,0.002608246,4012492.933,6937695.784,0.014960388
6415,0.002930378,4712492.933,2851063.991,0.014851491
8360,0.002599619,4112492.933,6546755.628,0.01468525
5963,0.003167761,4911846.16,1444095.302,0.014591017
7383,-0.004013324,4112492.933,-1043435.693,0.014315602
1625,0.003356265,5112492.933,451420.9785,0.013700002
4096,-0.002885474,2409219.1,7741280.302,0.013607556
444,-0.002783446,3012492.933,6111473.729,0.013338666
9136,-0.003489165,3612492.933,1633486.611,0.01327248
7037,0.003292837,5012492.933,948249.2394,0.013199196
231,-0.004232527,4298663.763,-1881482.891,0.012847268
9993,-0.002807703,2912492.933,6388882.182,0.012719564
2673,0.002705357,4012492.933,6983601.848,0.011665651
