,slope,x,y,P
3413,-0.002606494,8137414.342,-67145.05512,0.04853667
6803,-0.002606494,8137414.342,-67145.05512,0.04853667
4218,-0.002600286,6912492.933,7524872.173,0.048317466
2631,0.002623471,6412492.933,5435586.792,0.047496669
6150,-0.002388193,7612492.933,3719405.356,0.047369723
7678,0.003074578,5405414.112,8941064.704,0.043674228
7951,0.003074578,5405414.112,8941064.704,0.043674228
1549,-0.002764104,6721536.49,8439889.641,0.042486518
7890,0.002629954,6712492.933,4206375.94,0.041416973
2228,0.003122847,5391711.282,8962076.505,0.040771925
5212,-0.002501889,7412492.933,5302709.055,0.040255175
5832,0.002646221,6812492.933,3635670.15,0.04023927
712,-0.002549079,7312492.933,5815647.437,0.039429699
516,-0.002491193,7512492.933,4739871.921,0.038742379
7851,-0.002491193,7512492.933,4739871.921,0.038742379
9211,-0.002756319,6912492.933,7672040.18,0.036906851
702,0.002727055,6712492.933,4127085.452,0.034604426
1554,0.00287889,6212492.933,5995386.692,0.033445851
512,-0.002773932,7012492.933,7287491.063,0.032911734
2546,0.002802739,6512492.933,4956820.844,0.03221318
9818,0.002802739,6512492.933,4956820.844,0.03221318
3214,0.002993584,6012492.933,6648528.055,0.031160602
2486,0.002890953,6312492.933,5629078.804,0.030586365
8641,-0.00300217,6645091.94,8973533.367,0.030355312
5334,0.002810054,6712492.933,4047038.535,0.02960519
5586,-0.002732841,7312492.933,5995386.692,0.027644981
5740,0.003156063,5812492.933,7287491.063,0.027046567
1155,-0.002804175,7212492.933,6494832.358,0.026181477
740,-0.002900659,7012492.933,7408746.016,0.026065324
9964,-0.002880678,7112492.933,6983601.848,0.024704568
4116,-0.002757701,7412492.933,5565354.779,0.024204775
1725,0.003218358,5812492.933,7245901.746,0.024048756
103,-0.003113452,6689223.895,8905788.412,0.024027303
1612,-0.002699863,7612492.933,4284904.988,0.024024889
5937,-0.002857587,7212492.933,6546755.628,0.023586621
844,-0.002749966,7712492.933,3380210.44,0.022189295
4713,-0.002819842,7412492.933,5629078.804,0.021293502
3761,0.00305861,6412492.933,5166706.06,0.020564444
6758,0.003013682,6812492.933,3293670.667,0.020471521
5766,0.003099638,6312492.933,5500858.34,0.020244284
1957,0.003176239,6112492.933,6168409.262,0.020206218
9997,-0.002907756,7312492.933,6168409.262,0.019445766
