,slope,x,y,P
2915,0.000688609,-7587507.067,-1918332.284,0.49880059
9367,0.000688609,-7587507.067,-1918332.284,0.49880059
4783,0.001358131,3412492.933,-3115372.025,0.497042132
6776,0.000727458,-6887507.067,-2202676.04,0.49456715
3492,0.001434681,2312492.933,-3115372.025,0.492836837
9691,-0.000623274,-9951721.426,-87945.17715,0.492621655
5074,-0.000819382,-5587507.067,-1822633.291,0.492605716
8027,-0.000819382,-5587507.067,-1822633.291,0.492605716
8482,-0.000669148,-8487507.067,-447800.5049,0.490839705
164,-0.000590424,14453572.38,-131849.2782,0.487420269
9976,-0.000855222,-5387507.067,-1918332.284,0.482099939
4159,0.000789772,-6287507.067,-2482503.603,0.478841274
3042,0.000824787,-5887507.067,-2666317.154,0.475124091
8668,-0.000697797,-8387507.067,-447800.5049,0.474894102
3493,0.000584207,16376804.94,-586977.2963,0.473837096
8127,-0.000889532,-5187507.067,-2013585.106,0.473240155
401,-0.000780989,-6787507.067,-1141958.019,0.470259138
4735,-0.000780989,-6787507.067,-1141958.019,0.470259138
4084,0.000567658,-19195424.91,-1507953.613,0.468868669
1829,0.000775006,-6887507.067,-2296477.343,0.466403208
3214,-0.000948709,-4787507.067,-2202676.04,0.462325105
149,-0.000971107,-4588935.442,-2295397.476,0.461026133
8633,-0.000971107,-4588935.442,-2295397.476,0.461026133
4485,0.000618488,15612492.93,-746440.8329,0.457078957
1739,0.000745708,-7887286.761,-1918114.013,0.456402133
464,-0.001451864,3806600.635,-2736537.385,0.454624461
2220,-0.000890281,-5687507.067,-1726507.8,0.452005966
3898,-0.00084073,-6387507.067,-1338150.671,0.451043055
8181,0.000593416,-18998537.07,-1579146.733,0.449836507
2038,-0.001390599,5034297.638,-2814798.742,0.436876188
6927,-0.000807124,-7487507.067,-746440.8329,0.433677934
5761,0.000824453,-7087507.067,-2202676.04,0.432355773
7814,-0.001400566,5078872.757,-2812813.66,0.431918227
38,0.001594022,3112492.933,-3115372.025,0.431448941
4979,-0.000781828,-8187507.067,-447800.5049,0.428663992
8971,0.000813016,-7687507.067,-2013585.106,0.421840524
1117,0.000657695,16307236.27,-661615.748,0.421138254
5447,-0.000811327,-7887507.067,-547490.1312,0.419662069
1884,0.00164356,3012492.933,-3115372.025,0.419245613
3530,0.000872642,-6687507.067,-2389758.883,0.419090207
1196,-0.00069422,14537699.77,-23088.3793,0.411984141
281,-0.000742346,13588173.81,-350028.9999,0.399170513
7233,-0.00089392,-7187507.067,-845653.7151,0.395556583
7096,0.000664842,-20028538.47,-1857922.76,0.39536972
2449,-0.000796629,12498626.49,-778883.7642,0.393849472
968,0.000705098,16012492.93,-746440.8329,0.391991035
2776,-0.000982871,-6087507.067,-1435776.132,0.390255798
8464,0.000936879,-6587507.067,-2482503.603,0.389223888
8789,0.00089349,-7287507.067,-2202676.04,0.388573337
2097,0.001812387,2212492.933,-3203276.622,0.388303291
2730,-0.001739424,3112492.933,-2666317.154,0.386781614
3720,0.00070232,16712606.09,-651226.3135,0.386572736
5453,0.00070232,16712606.09,-651226.3135,0.386572736
376,-0.000938031,-6787507.067,-1043435.693,0.386264786
2366,-0.000742415,14273804.33,-83888.11186,0.38478982
2392,0.000980341,-6187507.067,-2666317.154,0.383115912
3850,-0.001749402,3212492.933,-2666317.154,0.381751237
5700,0.000723246,16112492.93,-746440.8329,0.378856217
2248,-0.001026435,-5887507.067,-1533058.387,0.377825684
9923,-0.001123325,-4987507.067,-2013585.106,0.374814788
8190,-0.001779209,3312492.933,-2666317.154,0.371333783
8687,0.00092566,-7387507.067,-2202676.04,0.368744701
4287,0.000722825,-16857769.12,-1861030.143,0.367424195
3599,0.000759099,15343846.54,-912641.6457,0.366036831
9669,0.001076127,-5587507.067,-2937617.425,0.364755829
8869,-0.001814911,3412492.933,-2666317.154,0.359414847
7023,0.000764044,15712492.93,-845653.7151,0.357735837
7959,-0.000961771,-7287507.067,-746440.8329,0.357609844
6202,0.001026202,-6287507.067,-2666317.154,0.357149
5203,0.001943154,2112492.933,-3203276.622,0.356504268
4800,-0.00104742,-6187507.067,-1338150.671,0.356083189
5092,0.00111442,-5424154.55,-3025356.08,0.355463153
7183,-0.001951768,1912492.933,-2757354.694,0.354990074
8636,-0.001003295,-6887507.067,-944659.8429,0.35077712
588,-0.000797894,14395057.64,3153.678854,0.347550167
2281,-0.000804266,14199354.34,-66121.71311,0.347420732
9790,-0.000804266,14199354.34,-66121.71311,0.347420732
3752,0.000785183,15812492.93,-845653.7151,0.343395959
4507,-0.001878827,3512492.933,-2666317.154,0.340272873
363,0.000774775,17283784.41,-671650.4621,0.335074653
7561,0.000774775,17283784.41,-671650.4621,0.335074653
9317,-0.001960071,2912492.933,-2666317.154,0.333674704
2573,0.000979938,-7687507.067,-2202676.04,0.332958185
6710,-0.002007767,2412492.933,-2666317.154,0.332607418
7148,-0.001139438,-5787507.067,-1533058.387,0.332061623
8569,0.00080481,15912442.44,-845622.7023,0.330306468
4276,-0.001245889,-4887507.067,-2013585.106,0.329939898
9347,0.00109782,-6187507.067,-2757354.694,0.32859782
5610,0.002051517,2312492.933,-3203276.622,0.327317259
2143,-0.001282219,-4687507.067,-2108372.581,0.325846039
2886,-0.001282219,-4687507.067,-2108372.581,0.325846039
3758,-0.001737854,5205022.546,-2744457.118,0.323326475
8810,-0.001029666,-7387507.067,-647044.9719,0.321631684
1385,0.000816654,16116413.36,-825393.3533,0.320848356
832,-0.000974288,-8387507.067,-248114.4736,0.318568074
5462,0.001061104,-6887507.067,-2482503.603,0.318490151
1549,-0.00193524,3812492.933,-2666317.154,0.317888511
1310,-0.001068793,-6987507.067,-845653.7151,0.316954572
9449,-0.000952605,-8946355.743,-44496.88418,0.315498675
3437,-0.000774403,-17735339.55,2447486.089,0.31278761
9146,-0.001157018,-6087507.067,-1338150.671,0.312292534
6775,0.000842825,15633478.19,-923507.545,0.311853046
6601,0.00111774,-6387507.067,-2757354.694,0.311768739
8418,0.00111774,-6387507.067,-2757354.694,0.311768739
3350,0.001100597,-6587507.067,-2666317.154,0.311596367
6482,-0.001236277,-5387507.067,-1726507.8,0.310311092
4230,0.00115342,-6087507.067,-2847792.849,0.30899029
5604,0.001235732,-5425144.769,-3104167.306,0.3055265
5911,0.000805877,19735784.49,-674936.5163,0.303483055
5118,-0.001133774,-6587507.067,-1043435.693,0.302790468
3323,0.002173511,2112492.933,-3290516.787,0.302739609
9941,0.000847837,16214846.7,-838976.5268,0.301765809
6114,-0.001283974,-5187507.067,-1822633.291,0.301233732
4228,0.000821615,19626059.57,-694011.901,0.294625043
7668,0.000821615,19626059.57,-694011.901,0.294625043
5428,0.000828655,-19506688.59,-2338970.884,0.293266085
9377,0.001089673,-7287507.067,-2389758.883,0.292888044
9820,-0.000999585,12210534.63,-778562.2311,0.291716935
1706,-0.001256551,-5687507.067,-1533058.387,0.289295437
4888,-0.001086784,-7687507.067,-447800.5049,0.286244047
4221,-0.001134526,-7087507.067,-746440.8329,0.284900592
8279,-0.001134526,-7087507.067,-746440.8329,0.284900592
4271,0.000886144,15974523.85,-903978.8203,0.283450188
2066,-0.001877576,5263476.297,-2714351.198,0.283094918
9391,0.000864809,17441707.89,-753995.4311,0.281278758
498,0.001212005,-6187507.067,-2847792.849,0.280700763
2037,0.001212005,-6187507.067,-2847792.849,0.280700763
3702,0.001212005,-6187507.067,-2847792.849,0.280700763
5415,0.001212005,-6187507.067,-2847792.849,0.280700763
5587,-0.002253358,2212492.933,-2666317.154,0.280490674
4179,0.001258647,-5787507.067,-3026814.821,0.27992905
8547,0.001115354,-7387507.067,-2389758.883,0.27872172
8698,-0.001042173,-8687507.067,-48183.218,0.278457785
3174,0.001247383,-5987507.067,-2937617.425,0.275465968
4744,0.002255736,2712492.933,-3203276.622,0.274203022
5502,0.002255736,2712492.933,-3203276.622,0.274203022
2540,-0.001197587,-6687507.067,-944659.8429,0.27295239
8911,0.000897924,16398607.76,-861075.1963,0.272398397
1359,-0.001270835,-5987507.067,-1338150.671,0.271383674
5452,-0.000994595,13411666.38,-246980.0394,0.260728472
9777,0.001193396,-6987507.067,-2574695.004,0.258442838
4069,0.001172639,-7287507.067,-2482503.603,0.257643505
3981,-0.001164206,-7587507.067,-447800.5049,0.256516658
1193,-0.001200393,-7187507.067,-647044.9719,0.254740565
1055,-0.001085073,-8873725.34,50777.62394,0.254604726
3472,0.001220882,-6787507.067,-2666317.154,0.254512313
999,-0.001094744,12103754.69,-767107.514,0.250683558
7385,-0.001502457,-4687507.067,-2013585.106,0.249887813
7899,-0.001377854,-5587507.067,-1533058.387,0.249743678
969,0.001329567,-5887507.067,-3026814.821,0.249363023
9536,0.001235804,-6887507.067,-2666317.154,0.245311066
3915,-0.001261421,-6787507.067,-845653.7151,0.244879346
7043,-0.001301397,-6587507.067,-944659.8429,0.237340776
2111,-0.001388926,-5887507.067,-1338150.671,0.233585882
3740,0.001029548,14719169.04,-1252788.619,0.231782636
7824,0.001407915,-5787507.067,-3115372.025,0.226899061
4835,-0.001266164,-7287507.067,-547490.1312,0.226612611
1422,-0.001053602,13704537.26,-82165.0959,0.226422591
8226,-0.001166269,11915579.84,-810182.2958,0.226334001
1891,0.001234592,-7587507.067,-2482503.603,0.225217423
7892,-0.002129862,5212492.933,-2666317.154,0.224525776
207,0.000994451,16412492.93,-944659.8429,0.224507226
6565,0.000994451,16412492.93,-944659.8429,0.224507226
5884,-0.001540484,-4987507.067,-1822633.291,0.224196315
2371,-0.002169952,5012492.933,-2666317.154,0.223447395
4185,-0.002486995,2812492.933,-2574695.004,0.221590921
8251,-0.002486995,2812492.933,-2574695.004,0.221590921
4132,0.001452408,-5587507.067,-3203276.622,0.221208297
4220,0.001452408,-5587507.067,-3203276.622,0.221208297
4995,0.001444205,-5687507.067,-3203276.622,0.219529955
4432,-0.001325273,-6887507.067,-746440.8329,0.218611461
8256,-0.001325273,-6887507.067,-746440.8329,0.218611461
5966,0.000987491,17699676.68,-874367.2954,0.217562234
2921,0.001011936,16489097.66,-953239.6754,0.215805929
5030,-0.00112989,12803830.46,-421029.7516,0.215202323
2938,-0.001084647,13629599.54,-91357.59927,0.214396464
1630,-0.001503429,-5487507.067,-1533058.387,0.213555545
5260,-0.001364455,-6687507.067,-845653.7151,0.212089847
7253,0.001007775,17430889.63,-900016.9327,0.21008669
5582,0.001286325,-7487507.067,-2574695.004,0.208910528
108,-0.00156172,-5287507.067,-1629975.961,0.20477256
4584,-0.002488371,3612492.933,-2574695.004,0.203021798
2204,0.001023941,17536179.35,-914633.8775,0.202261761
2660,-0.002622287,2612492.933,-2574695.004,0.201501415
3918,-0.001311687,-7587507.067,-348000.4534,0.201402457
2352,-0.001331621,-7387507.067,-447800.5049,0.20060457
2464,-0.001331621,-7387507.067,-447800.5049,0.20060457
6223,-0.001357259,-7187507.067,-547490.1312,0.198206287
7666,-0.001389111,-6987507.067,-647044.9719,0.194178931
6752,-0.001183132,12898692.16,-342200.0736,0.19150006
4478,-0.00128196,-8487507.067,51812.65361,0.18733945
3031,-0.001516154,-6087507.067,-1141958.019,0.18632935
8527,-0.001774426,-4487507.067,-2013585.106,0.183359267
4991,0.001379796,-7387507.067,-2666317.154,0.180298514
4534,0.001088812,16997243,-992854.9506,0.179087424
4640,0.001410886,-7087507.067,-2757354.694,0.178724789
8870,0.001410886,-7087507.067,-2757354.694,0.178724789
1262,-0.00157573,-5887507.067,-1240203.882,0.176978169
4870,0.001562979,-5887507.067,-3203276.622,0.175863773
2488,-0.001185926,13552137.38,-52070.71821,0.175449722
1010,0.001138073,-14283958.77,-2695840.629,0.175040366
7699,0.001138073,-14283958.77,-2695840.629,0.175040366
3258,0.001116671,16511348.12,-1044748.659,0.172268029
5091,0.001116671,16511348.12,-1044748.659,0.172268029
8082,0.002897101,2012492.933,-3377081.288,0.171932542
5342,0.001185125,14717009.97,-1369173.696,0.169578557
1587,0.00112078,16725396.9,-1035156.086,0.168899741
9415,0.001486662,-6687507.067,-2937617.425,0.168382238
1457,0.001551495,-6187507.067,-3115372.025,0.167505569
1069,0.001107492,17712295.88,-1001491.101,0.167227318
4766,0.001514762,-6487507.067,-3026814.821,0.167058128
6089,0.002834557,2912492.933,-3290516.787,0.16685475
5537,0.001132523,16601555.17,-1052973.192,0.165553981
9291,0.001624186,-5787507.067,-3290516.787,0.16355505
9338,-0.001813609,-4787507.067,-1822633.291,0.160988702
8691,0.001609205,-5987507.067,-3290516.787,0.159583117
5594,0.001463381,-7287507.067,-2757354.694,0.15782468
4832,0.001513339,-6787507.067,-2937617.425,0.157788736
7347,0.001513339,-6787507.067,-2937617.425,0.157788736
6733,0.001440063,-7687507.067,-2666317.154,0.155020794
6986,0.001454362,-7587507.067,-2757354.694,0.153233895
2141,0.001474421,-7387507.067,-2757354.694,0.152284912
6138,0.001656656,-5887507.067,-3290516.787,0.151506583
9085,-0.001516354,-7187507.067,-447800.5049,0.150903961
8459,-0.001395265,11746575.24,-746406.3906,0.150756599
3791,0.001198157,15828058.76,-1181757.213,0.149936795
4663,-0.00125702,13717657.86,70336.82616,0.1472836
668,0.003083473,1961300.845,-3422133.762,0.146838015
4378,0.003083473,1961300.845,-3422133.762,0.146838015
824,-0.001639992,-6287507.067,-944659.8429,0.14652003
9884,-0.001399063,-8684315.845,242960.2713,0.14576938
1048,-0.001314829,12910535.69,-247196.7897,0.145362361
3155,-0.001314829,12910535.69,-247196.7897,0.145362361
1195,0.001212284,15867785.71,-1188225.415,0.144822574
4243,0.001212284,15867785.71,-1188225.415,0.144822574
4288,0.001212284,15867785.71,-1188225.415,0.144822574
633,0.0012027,16615144.33,-1115599.941,0.141063711
6582,0.001727474,-5723510.864,-3372037.461,0.140763378
1684,0.001272838,14712492.93,-1435776.132,0.140680294
2017,0.001623385,-6487507.067,-3115372.025,0.138723469
4625,0.001623385,-6487507.067,-3115372.025,0.138723469
371,-0.001700903,-6087507.067,-1043435.693,0.138574318
7791,-0.002584301,5288092.619,-2570566.822,0.136681777
6396,0.001768013,-5636855.797,-3421175.397,0.134965337
423,-0.001956501,-4687507.067,-1822633.291,0.134518754
6583,-0.001549778,-7487507.067,-248114.4736,0.13413134
9021,-0.001549778,-7487507.067,-248114.4736,0.13413134
8568,-0.001511469,-7887507.067,-48183.218,0.133739904
4551,-0.001579517,-7287507.067,-348000.4534,0.13205044
330,-0.00288443,3962551.699,-2535835.517,0.131729995
4579,0.00164421,-6587507.067,-3115372.025,0.130696397
907,-0.001461916,-8587507.067,251741.2167,0.130572617
2315,0.001562456,-7387507.067,-2847792.849,0.129342242
7427,0.001562456,-7387507.067,-2847792.849,0.129342242
9814,-0.003222582,1638666.931,-2664255.587,0.128708957
6619,0.001625897,-6887507.067,-3026814.821,0.126452151
756,0.001697687,-6387507.067,-3203276.622,0.12467071
7828,0.001697687,-6387507.067,-3203276.622,0.12467071
9917,0.003108236,3312492.933,-3377081.288,0.124236842
3851,0.001324182,14912492.93,-1435776.132,0.122816006
7166,0.001387519,13855294.27,-1737264.557,0.122342307
8485,-0.001706492,-6687507.067,-647044.9719,0.119300649
5149,-0.001519175,-8487507.067,251741.2167,0.118251465
5857,-0.001507306,-8645321.51,312803.1137,0.117884033
115,0.001246755,18479728.04,-1185614.834,0.117365559
1568,0.001246755,18479728.04,-1185614.834,0.117365559
3653,-0.00190553,-5487507.067,-1338150.671,0.115529911
6621,-0.001579739,-7987507.067,51812.65361,0.114864954
9525,-0.002834614,4852122.549,-2547965.573,0.114846256
1620,0.003323233,2412492.933,-3377081.288,0.11234074
7725,0.001275378,18047952.26,-1194017.154,0.110954575
3877,0.001276662,18066842.09,-1196415.078,0.11052397
2980,0.001736749,-6587507.067,-3203276.622,0.110495592
530,-0.001977686,-5287507.067,-1435776.132,0.108885094
2531,-0.001977686,-5287507.067,-1435776.132,0.108885094
328,-0.003368146,2012492.933,-2574695.004,0.108702039
7670,-0.001822552,-6287507.067,-845653.7151,0.106961002
1616,-0.001421967,13351394.98,27606.20023,0.106205743
