,slope,x,y,P
1823,0.003209695,-2387507.067,8859603.04,0.047775651
2750,0.003223605,-2382728.177,9024279.093,0.047546671
3054,0.003213492,-2387507.067,8823416.556,0.047360945
5604,0.003215455,-2387507.067,8804900.601,0.047148268
8066,0.003219516,-2387507.067,8767002.058,0.046711897
5686,-0.002369769,-4387507.067,-647044.9719,0.04487426
6362,-0.003019452,-3487507.067,7636049.74,0.043119411
2494,0.003260112,-2387507.067,8418074.17,0.042614236
2193,-0.003063666,-3487507.067,7909681.478,0.041364027
1872,-0.003088412,-3487507.067,8094627.944,0.040558692
1279,-0.003169526,-3487507.067,9275811.302,0.04048828
1680,-0.003169526,-3487507.067,9275811.302,0.04048828
1242,-0.003104824,-3487507.067,8236548.445,0.040120197
8157,-0.003104824,-3487507.067,8236548.445,0.040120197
4021,-0.003110497,-3487507.067,8290390.083,0.039991123
9942,-0.003110497,-3487507.067,8290390.083,0.039991123
9600,-0.003162137,-3487507.067,9039821.669,0.039946999
1073,-0.003113162,-3487507.067,8316706.66,0.03993513
2730,-0.003160909,-3487507.067,9009294.501,0.039893938
7429,-0.003160255,-3487507.067,8993672.534,0.039868361
4082,-0.00312053,-3487507.067,8393306.187,0.039797769
9815,-0.00312053,-3487507.067,8393306.187,0.039797769
9377,-0.003158122,-3487507.067,8945329.097,0.039796081
9793,-0.003122791,-3487507.067,8418074.17,0.03976129
7353,-0.003156544,-3487507.067,8911831.163,0.039752195
5416,-0.003151974,-3487507.067,8823416.556,0.03966148
6649,-0.003130957,-3487507.067,8513462.297,0.039655551
993,-0.00315094,-3487507.067,8804900.601,0.039647215
124,0.003355623,-2361903.083,9039307.422,0.039374445
4538,0.00331475,-2383946.129,8180609.69,0.03839289
9069,0.00331475,-2383946.129,8180609.69,0.03839289
5425,-0.002454805,-4387507.067,-447800.5049,0.038313203
5000,-0.003215852,-3496630.929,9283206.257,0.037574798
3529,0.003401295,-2361730.352,8624263.033,0.035316317
4729,0.003458523,-2345729.764,9049695.441,0.033865955
8775,-0.002458572,-4497548.805,-2196900.182,0.033564014
1539,0.003452132,-2389789.395,7245297.136,0.028020485
9223,-0.002564807,-4487507.067,-1338150.671,0.027310577
6978,0.00358087,-2336091.616,8508270.025,0.026523859
7122,0.003705713,-2316224.665,8540983.901,0.021873792
3720,0.00374779,-2303446.487,8895531.343,0.021337481
769,-0.002689471,-4487507.067,-944659.8429,0.021182881
8081,0.003746128,-2313810.996,8347343.071,0.020022465
5802,0.003813608,-2292181.414,8962357.588,0.019363919
8695,0.003813608,-2292181.414,8962357.588,0.019363919
5870,0.003835645,-2286163.162,9122808.048,0.019056138
8342,-0.003617315,-3577206.6,9231284.894,0.018627854
9414,0.003840571,-2287507.067,8993672.534,0.01861312
2831,0.003847597,-2287507.067,8928709.585,0.018257661
5697,0.003857214,-2287507.067,8841649.307,0.017782961
