,slope,x,y,P
6355,0.002758608,-2087507.067,7160926.394,0.049706608
4941,-0.002557887,-3787507.067,8823416.556,0.049624089
1557,0.002777728,-2388164.441,8445688.607,0.049330054
4928,0.002771444,-1187507.067,1047016.292,0.048520529
3684,0.002775025,-1287507.067,1826114.419,0.048346153
3719,-0.002574305,-3587507.067,8123871.474,0.048267885
1466,0.002838177,-2487507.067,8911831.163,0.045151714
1462,-0.002615578,-3887507.067,9098108.09,0.04438263
3105,-0.002615578,-3887507.067,9098108.09,0.04438263
2966,-0.002623832,-3687507.067,8418074.17,0.043816497
2384,0.002857643,-2487507.067,8928709.585,0.043757783
6106,0.002857643,-2487507.067,8928709.585,0.043757783
70,0.002848171,-2305540.418,8160556.622,0.043747136
7832,0.002848171,-2305540.418,8160556.622,0.043747136
7968,-0.002629512,-3887507.067,9083873.806,0.043199844
4647,0.002870741,-2390838.316,8536792.197,0.042480176
3235,0.002856643,-1187507.067,1145528.983,0.042167452
1244,0.002895676,-2487507.067,8961693.563,0.041141182
4330,0.002895676,-2487507.067,8961693.563,0.041141182
7849,0.002874143,-1387507.067,2940866.037,0.040816045
8358,-0.002673025,-3687507.067,8368159.22,0.039812835
631,-0.002692324,-3587507.067,8004223.837,0.038419531
7756,-0.002691474,-3787507.067,8687616.134,0.038313867
1190,-0.002698145,-3687507.067,8342627.865,0.037888244
1885,-0.002698145,-3687507.067,8342627.865,0.037888244
6742,0.002965502,-2387205.767,8603029.408,0.036342226
6677,0.002981332,-2495546.808,9069591.069,0.03576754
9352,0.00296932,-1287507.067,2111804.052,0.034971965
4276,-0.002744377,-3487507.067,7599529.325,0.034745602
7899,-0.002744377,-3487507.067,7599529.325,0.034745602
285,-0.00274945,-3687507.067,8290390.083,0.034196937
2249,-0.00274945,-3687507.067,8290390.083,0.034196937
8405,0.002981532,-1382567.312,3087967.434,0.033939619
5161,-0.0027562,-3481989.332,7567766.266,0.033937655
5343,-0.002753042,-3787507.067,8624794.367,0.03387191
5090,0.003030541,-2470614.497,9008068.702,0.032869586
7982,0.003030541,-2470614.497,9008068.702,0.032869586
6029,0.003026141,-2313810.996,8347343.071,0.032602905
8946,-0.002774167,-3787507.067,8603203.746,0.032450511
4563,0.003019129,-1187507.067,1341699.897,0.032024816
5339,0.00309154,-2391113.827,8727713.503,0.029408237
3696,-0.002831031,-3887507.067,8877281.886,0.028804547
4228,0.003089349,-1287507.067,2299872.341,0.02839524
115,-0.002839398,-3787507.067,8536414.371,0.028372549
7670,-0.002848912,-3587507.067,7844271.501,0.027982279
7418,-0.002844338,-3991674.944,9204391.91,0.027960287
7384,-0.002861772,-3787507.067,8513462.297,0.02707708
61,0.003145992,-2487507.067,9179023.913,0.027070589
6642,-0.002884089,-3687507.067,8152679.403,0.025911713
6077,0.003161459,-2320062.729,8489209.952,0.02587778
4727,-0.002884468,-3787507.067,8490157.38,0.025814322
5700,0.003146676,-1287507.067,2393134.691,0.025645424
1243,0.003177069,-2387507.067,8786097.201,0.025374668
5566,-0.002901296,-3887507.067,8804900.601,0.024845228
1415,0.003184665,-2287400.024,8371545.182,0.024763429
6440,-0.002920312,-3987507.067,9112123.13,0.023801929
9353,0.003220475,-2387507.067,8823416.556,0.02352552
637,-0.002930839,-3787507.067,8442468.515,0.023388527
870,0.003240562,-1087507.067,948249.2394,0.021708633
9871,-0.002975819,-3887507.067,8727919.073,0.02115912
