FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
24,2,11771992612,0.038904931,0.039049525,0.000144593,0.038977228,7.22967E-05,0.077954456
59,1,5885996306,0.041254271,0.041254271,0,0.041254271,0,0.041254271
119,1,5885996306,0.009188659,0.009188659,0,0.009188659,0,0.009188659
154,2,11771992612,0.040935375,0.041105442,0.000170067,0.041020408,8.50335E-05,0.082040817
161,2,11771992612,0.037286747,0.037471987,0.00018524,0.037379367,9.262E-05,0.074758735
275,1,5885996306,0.004359579,0.004359579,0,0.004359579,0,0.004359579
304,1,5885996306,0.005818188,0.005818188,0,0.005818188,0,0.005818188
363,2,11771992612,0.009483826,0.00978341,0.000299584,0.009633618,0.000149792,0.019267237
376,2,11771992612,0.012264912,0.012320106,5.51939E-05,0.012292509,2.7597E-05,0.024585018
393,1,5885996306,0.005333364,0.005333364,0,0.005333364,0,0.005333364
464,2,11771992612,0.001116622,0.001252232,0.000135609,0.001184427,6.78047E-05,0.002368854
566,1,5885996306,0.004586686,0.004586686,0,0.004586686,0,0.004586686
599,1,5885996306,0.035613731,0.035613731,0,0.035613731,0,0.035613731
644,1,5885996306,0.037125099,0.037125099,0,0.037125099,0,0.037125099
665,1,5885996306,-0.003706934,-0.003706934,0,-0.003706934,0,-0.003706934
675,1,5885996306,0.029367866,0.029367866,0,0.029367866,0,0.029367866
718,2,11771992612,0.037935019,0.038246024,0.000311006,0.038090521,0.000155503,0.076181043
758,1,5885996306,0.005265674,0.005265674,0,0.005265674,0,0.005265674
787,2,11771992612,0.006503719,0.006541866,3.81465E-05,0.006522793,1.90733E-05,0.013045585
808,1,5885996306,0.039473131,0.039473131,0,0.039473131,0,0.039473131
828,2,11771992612,0.006777538,0.006956105,0.000178567,0.006866821,8.92833E-05,0.013733643
842,1,5885996306,0.013184098,0.013184098,0,0.013184098,0,0.013184098
889,1,5885996306,0.003792274,0.003792274,0,0.003792274,0,0.003792274
927,2,11771992612,0.005246002,0.005373448,0.000127446,0.005309725,6.37232E-05,0.01061945
956,1,5885996306,0.003725199,0.003725199,0,0.003725199,0,0.003725199
1015,1,5885996306,0.042241417,0.042241417,0,0.042241417,0,0.042241417
1105,2,11771992612,0.035295077,0.03542158,0.000126503,0.035358328,6.32517E-05,0.070716657
1206,1,5885996306,0.004577233,0.004577233,0,0.004577233,0,0.004577233
