FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
19,2,11771992612,0.009474499,0.009478537,4.03821E-06,0.009476518,2.01911E-06,0.018953037
24,2,11771992612,0.023323204,0.023594515,0.000271311,0.02345886,0.000135656,0.04691772
59,1,5885996306,0.021893449,0.021893449,0,0.021893449,0,0.021893449
82,1,5885996306,0.018160097,0.018160097,0,0.018160097,0,0.018160097
119,1,5885996306,-0.006661293,-0.006661293,0,-0.006661293,0,-0.006661293
154,2,11771992612,0.023253717,0.023515996,0.000262279,0.023384856,0.00013114,0.046769712
161,2,11771992612,0.023080893,0.023116006,3.51127E-05,0.023098449,1.75564E-05,0.046196898
275,1,5885996306,0.012735244,0.012735244,0,0.012735244,0,0.012735244
304,1,5885996306,0.013189431,0.013189431,0,0.013189431,0,0.013189431
363,2,11771992612,-0.006575448,-0.006482535,9.29125E-05,-0.006528991,4.64562E-05,-0.013057983
376,2,11771992612,0.016065773,0.016156869,9.10964E-05,0.016111321,4.55482E-05,0.032222642
393,1,5885996306,0.010961103,0.010961103,0,0.010961103,0,0.010961103
464,2,11771992612,-0.007312345,-0.007279545,3.28007E-05,-0.007295945,1.64004E-05,-0.01459189
469,1,5885996306,-0.00205494,-0.00205494,0,-0.00205494,0,-0.00205494
566,1,5885996306,0.012117902,0.012117902,0,0.012117902,0,0.012117902
599,1,5885996306,0.026106721,0.026106721,0,0.026106721,0,0.026106721
644,1,5885996306,0.027110178,0.027110178,0,0.027110178,0,0.027110178
665,1,5885996306,-0.011705129,-0.011705129,0,-0.011705129,0,-0.011705129
671,1,5885996306,0.012748688,0.012748688,0,0.012748688,0,0.012748688
675,1,5885996306,0.023956569,0.023956569,0,0.023956569,0,0.023956569
718,2,11771992612,0.025896689,0.025940746,4.40571E-05,0.025918717,2.20286E-05,0.051837435
733,2,11771992612,0.009981351,0.010047346,6.59954E-05,0.010014349,3.29977E-05,0.020028697
758,1,5885996306,0.013190093,0.013190093,0,0.013190093,0,0.013190093
787,2,11771992612,0.013697403,0.013792795,9.53916E-05,0.013745099,4.76958E-05,0.027490199
808,1,5885996306,0.021303758,0.021303758,0,0.021303758,0,0.021303758
828,2,11771992612,0.013677799,0.013763195,8.53958E-05,0.013720497,4.26979E-05,0.027440994
842,1,5885996306,-0.005046788,-0.005046788,0,-0.005046788,0,-0.005046788
889,1,5885996306,0.012570865,0.012570865,0,0.012570865,0,0.012570865
927,2,11771992612,0.013771095,0.013843007,7.19121E-05,0.013807051,3.5956E-05,0.027614103
956,1,5885996306,-0.006439867,-0.006439867,0,-0.006439867,0,-0.006439867
1015,1,5885996306,0.020185493,0.020185493,0,0.020185493,0,0.020185493
1037,1,5885996306,0.013051026,0.013051026,0,0.013051026,0,0.013051026
1087,1,5885996306,0.010430271,0.010430271,0,0.010430271,0,0.010430271
1105,2,11771992612,0.02074963,0.020800505,5.08744E-05,0.020775068,2.54372E-05,0.041550135
1206,1,5885996306,0.012338071,0.012338071,0,0.012338071,0,0.012338071
1215,1,5885996306,-0.009716131,-0.009716131,0,-0.009716131,0,-0.009716131
1256,1,5885996306,-0.003566567,-0.003566567,0,-0.003566567,0,-0.003566567
1300,1,5885996306,0.014448525,0.014448525,0,0.014448525,0,0.014448525
1317,1,5885996306,-0.002314226,-0.002314226,0,-0.002314226,0,-0.002314226
1342,1,5885996306,0.023771824,0.023771824,0,0.023771824,0,0.023771824
1415,2,11771992612,-0.01142345,-0.011398832,2.46176E-05,-0.011411141,1.23088E-05,-0.022822282
1477,1,5885996306,-0.010965141,-0.010965141,0,-0.010965141,0,-0.010965141
1520,1,5885996306,-0.006491192,-0.006491192,0,-0.006491192,0,-0.006491192
1523,1,5885996306,0.010464941,0.010464941,0,0.010464941,0,0.010464941
1529,1,5885996306,-0.006602976,-0.006602976,0,-0.006602976,0,-0.006602976
1566,4,23543985225,0.011668291,0.011769955,0.000101664,0.011719259,3.6796E-05,0.046877036
1593,1,5885996306,0.012082148,0.012082148,0,0.012082148,0,0.012082148
1629,1,5885996306,0.011184562,0.011184562,0,0.011184562,0,0.011184562
1630,1,5885996306,0.02102932,0.02102932,0,0.02102932,0,0.02102932
1789,1,5885996306,-0.008735937,-0.008735937,0,-0.008735937,0,-0.008735937
1797,2,11771992612,0.023329375,0.023348972,1.95969E-05,0.023339174,9.79844E-06,0.046678348
1828,1,5885996306,0.013921306,0.013921306,0,0.013921306,0,0.013921306
1863,1,5885996306,0.009444692,0.009444692,0,0.009444692,0,0.009444692
1964,4,23543985225,0.013446559,0.013610683,0.000164124,0.013528419,5.80418E-05,0.054113678
1979,2,11771992612,0.027166268,0.027190946,2.46782E-05,0.027178607,1.23391E-05,0.054357214
2000,4,23543985225,0.013533865,0.013709302,0.000175437,0.013621613,6.22262E-05,0.054486453
2069,1,5885996306,0.014137292,0.014137292,0,0.014137292,0,0.014137292
2105,1,5885996306,-0.003393854,-0.003393854,0,-0.003393854,0,-0.003393854
2177,1,5885996306,0.012683032,0.012683032,0,0.012683032,0,0.012683032
2181,1,5885996306,0.026955513,0.026955513,0,0.026955513,0,0.026955513
2229,1,5885996306,-0.0115328,-0.0115328,0,-0.0115328,0,-0.0115328
2288,2,11771992612,0.02654342,0.026556715,1.32956E-05,0.026550068,6.64778E-06,0.053100135
