FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
24,2,11771992612,0.019373842,0.019416012,4.22E-05,0.019394927,2.11E-05,0.038789853
59,1,5885996306,0.017637804,0.017637804,0,0.017637804,0,0.017637804
82,1,5885996306,-0.000791322,-0.000791322,0,-0.000791322,0,-0.000791322
119,1,5885996306,0.00875784,0.00875784,0,0.00875784,0,0.00875784
154,2,11771992612,0.018221213,0.018228684,7.47E-06,0.018224948,3.74E-06,0.036449896
161,2,11771992612,0.019813586,0.01989275,7.92E-05,0.019853168,3.96E-05,0.039706336
363,2,11771992612,0.008870069,0.008981357,0.000111288,0.008925713,5.56E-05,0.017851426
464,2,11771992612,0.004838802,0.004872649,3.38E-05,0.004855726,1.69E-05,0.009711451
599,1,5885996306,0.021450926,0.021450926,0,0.021450926,0,0.021450926
644,1,5885996306,0.020357553,0.020357553,0,0.020357553,0,0.020357553
665,1,5885996306,0.006686312,0.006686312,0,0.006686312,0,0.006686312
675,1,5885996306,0.005697162,0.005697162,0,0.005697162,0,0.005697162
718,2,11771992612,0.012440901,0.012800177,0.000359275,0.012620539,0.000179638,0.025241078
733,2,11771992612,-0.001719808,-0.001704241,1.56E-05,-0.001712025,7.78E-06,-0.003424049
842,1,5885996306,0.009722844,0.009722844,0,0.009722844,0,0.009722844
956,1,5885996306,0.005714541,0.005714541,0,0.005714541,0,0.005714541
1015,1,5885996306,-0.001705455,-0.001705455,0,-0.001705455,0,-0.001705455
1087,1,5885996306,0.015879218,0.015879218,0,0.015879218,0,0.015879218
1105,2,11771992612,0.019468371,0.019538339,7.00E-05,0.019503355,3.50E-05,0.03900671
1256,1,5885996306,0.011288769,0.011288769,0,0.011288769,0,0.011288769
1317,1,5885996306,0.010494837,0.010494837,0,0.010494837,0,0.010494837
1342,1,5885996306,0.015566996,0.015566996,0,0.015566996,0,0.015566996
1520,1,5885996306,0.00462461,0.00462461,0,0.00462461,0,0.00462461
1523,1,5885996306,-0.001624544,-0.001624544,0,-0.001624544,0,-0.001624544
1529,1,5885996306,0.005350585,0.005350585,0,0.005350585,0,0.005350585
1630,1,5885996306,0.020409182,0.020409182,0,0.020409182,0,0.020409182
1689,2,11771992612,-0.001548827,-0.001478968,6.99E-05,-0.001513898,3.49E-05,-0.003027795
1797,2,11771992612,0.020855784,0.020933488,7.77E-05,0.020894636,3.89E-05,0.041789273
1979,2,11771992612,0.020118305,0.020208588,9.03E-05,0.020163447,4.51E-05,0.040326893
2069,1,5885996306,-0.005903602,-0.005903602,0,-0.005903602,0,-0.005903602
2105,1,5885996306,0.010361232,0.010361232,0,0.010361232,0,0.010361232
2181,1,5885996306,0.017383361,0.017383361,0,0.017383361,0,0.017383361
2229,1,5885996306,0.006535207,0.006535207,0,0.006535207,0,0.006535207
2288,2,11771992612,0.020180931,0.020297857,0.000116926,0.020239394,5.85E-05,0.040478788
2420,1,5885996306,0.006028672,0.006028672,0,0.006028672,0,0.006028672
2457,1,5885996306,0.009711805,0.009711805,0,0.009711805,0,0.009711805
2474,2,11771992612,0.017651245,0.017742563,9.13E-05,0.017696904,4.57E-05,0.035393808
2477,2,11771992612,0.012639692,0.013156991,0.000517299,0.012898342,0.00025865,0.025796684
2592,1,5885996306,0.00998221,0.00998221,0,0.00998221,0,0.00998221
2640,1,5885996306,0.008477313,0.008477313,0,0.008477313,0,0.008477313
2666,1,5885996306,0.007266799,0.007266799,0,0.007266799,0,0.007266799
2688,1,5885996306,0.007731668,0.007731668,0,0.007731668,0,0.007731668
2740,1,5885996306,0.020522695,0.020522695,0,0.020522695,0,0.020522695
