FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
19,2,11771992612,0.006386549,0.006396956,1.04066E-05,0.006391753,5.2033E-06,0.012783505
24,2,11771992612,0.009651632,0.009856908,0.000205276,0.00975427,0.000102638,0.01950854
59,1,5885996306,0.009320885,0.009320885,0,0.009320885,0,0.009320885
82,1,5885996306,0.009690076,0.009690076,0,0.009690076,0,0.009690076
119,1,5885996306,-0.004748007,-0.004748007,0,-0.004748007,0,-0.004748007
154,2,11771992612,0.010041223,0.010217655,0.000176433,0.010129439,8.82163E-05,0.020258878
161,2,11771992612,0.008910444,0.008953243,4.27999E-05,0.008931844,2.13999E-05,0.017863687
275,1,5885996306,0.00906198,0.00906198,0,0.00906198,0,0.00906198
304,1,5885996306,0.008876517,0.008876517,0,0.008876517,0,0.008876517
363,2,11771992612,-0.004680588,-0.004592319,8.82689E-05,-0.004636453,4.41344E-05,-0.009272907
393,1,5885996306,0.006873561,0.006873561,0,0.006873561,0,0.006873561
464,2,11771992612,-0.005718935,-0.005683204,3.57311E-05,-0.00570107,1.78656E-05,-0.011402139
469,1,5885996306,-0.001150598,-0.001150598,0,-0.001150598,0,-0.001150598
566,1,5885996306,0.00838525,0.00838525,0,0.00838525,0,0.00838525
599,1,5885996306,0.010262991,0.010262991,0,0.010262991,0,0.010262991
644,1,5885996306,0.011800186,0.011800186,0,0.011800186,0,0.011800186
675,1,5885996306,0.010998444,0.010998444,0,0.010998444,0,0.010998444
718,2,11771992612,0.011003656,0.011046094,4.24376E-05,0.011024875,2.12188E-05,0.02204975
787,2,11771992612,0.009069634,0.009153111,8.34772E-05,0.009111372,4.17386E-05,0.018222745
808,1,5885996306,0.008662776,0.008662776,0,0.008662776,0,0.008662776
828,2,11771992612,0.008891579,0.008897745,6.16629E-06,0.008894662,3.08314E-06,0.017789324
842,1,5885996306,-0.003010681,-0.003010681,0,-0.003010681,0,-0.003010681
889,1,5885996306,0.009118147,0.009118147,0,0.009118147,0,0.009118147
927,2,11771992612,0.009636584,0.009659074,2.24905E-05,0.009647829,1.12453E-05,0.019295658
956,1,5885996306,-0.004778853,-0.004778853,0,-0.004778853,0,-0.004778853
1015,1,5885996306,0.010931236,0.010931236,0,0.010931236,0,0.010931236
1037,1,5885996306,0.009185858,0.009185858,0,0.009185858,0,0.009185858
1105,2,11771992612,0.006752984,0.006766373,1.33892E-05,0.006759679,6.69458E-06,0.013519357
1215,1,5885996306,-0.007545383,-0.007545383,0,-0.007545383,0,-0.007545383
1256,1,5885996306,-0.002626318,-0.002626318,0,-0.002626318,0,-0.002626318
1300,1,5885996306,0.008658968,0.008658968,0,0.008658968,0,0.008658968
1317,1,5885996306,-0.00042239,-0.00042239,0,-0.00042239,0,-0.00042239
1477,1,5885996306,-0.008583314,-0.008583314,0,-0.008583314,0,-0.008583314
1520,1,5885996306,-0.004977258,-0.004977258,0,-0.004977258,0,-0.004977258
1529,1,5885996306,-0.005039334,-0.005039334,0,-0.005039334,0,-0.005039334
1566,4,23543985225,0.008410942,0.008469502,5.85606E-05,0.008439999,2.70819E-05,0.033759995
1593,1,5885996306,0.009370842,0.009370842,0,0.009370842,0,0.009370842
1629,1,5885996306,0.007684582,0.007684582,0,0.007684582,0,0.007684582
1630,1,5885996306,0.006079458,0.006079458,0,0.006079458,0,0.006079458
1789,1,5885996306,-0.00677622,-0.00677622,0,-0.00677622,0,-0.00677622
1797,2,11771992612,0.007968215,0.008012753,4.45377E-05,0.007990484,2.22689E-05,0.015980968
1828,1,5885996306,0.009777628,0.009777628,0,0.009777628,0,0.009777628
1863,1,5885996306,0.002791178,0.002791178,0,0.002791178,0,0.002791178
1964,4,23543985225,0.008396097,0.008470604,7.45077E-05,0.008432715,3.5115E-05,0.033730858
1979,2,11771992612,0.011943575,0.012025972,8.23969E-05,0.011984773,4.11985E-05,0.023969547
2000,4,23543985225,0.009054333,0.009148948,9.46149E-05,0.009102354,4.3182E-05,0.036409415
2177,1,5885996306,0.009469355,0.009469355,0,0.009469355,0,0.009469355
2181,1,5885996306,0.012247941,0.012247941,0,0.012247941,0,0.012247941
2288,2,11771992612,0.011970475,0.012025587,5.51119E-05,0.011998031,2.7556E-05,0.023996063
2351,2,11771992612,0.008911199,0.008976837,6.56378E-05,0.008944018,3.28189E-05,0.017888036
2420,1,5885996306,-0.004649717,-0.004649717,0,-0.004649717,0,-0.004649717
2474,2,11771992612,0.005819661,0.005837744,1.8083E-05,0.005828702,9.04151E-06,0.011657404
2477,2,11771992612,0.010997634,0.011007926,1.0292E-05,0.01100278,5.14602E-06,0.022005561
2511,1,5885996306,0.010130635,0.010130635,0,0.010130635,0,0.010130635
2592,1,5885996306,-1.58544E-05,-1.58544E-05,0,-1.58544E-05,0,-1.58544E-05
2602,1,5885996306,0.004265305,0.004265305,0,0.004265305,0,0.004265305
2666,1,5885996306,-0.003164102,-0.003164102,0,-0.003164102,0,-0.003164102
2688,1,5885996306,-0.006663745,-0.006663745,0,-0.006663745,0,-0.006663745
2740,1,5885996306,0.009745562,0.009745562,0,0.009745562,0,0.009745562
2824,1,5885996306,0.009382938,0.009382938,0,0.009382938,0,0.009382938
2903,2,11771992612,-0.004327404,-0.004191569,0.000135836,-0.004259486,6.79179E-05,-0.008518973
2915,2,11771992612,0.010791264,0.010795123,3.85847E-06,0.010793194,1.92923E-06,0.021586387
3068,1,5885996306,-0.006358474,-0.006358474,0,-0.006358474,0,-0.006358474
3131,2,11771992612,0.011148353,0.011237507,8.91536E-05,0.01119293,4.45768E-05,0.02238586
3297,4,23543985225,0.006894589,0.007138266,0.000243677,0.007016128,0.000110809,0.028064512
3302,1,5885996306,-0.004669303,-0.004669303,0,-0.004669303,0,-0.004669303
3335,1,5885996306,0.009804472,0.009804472,0,0.009804472,0,0.009804472
3409,1,5885996306,0.009282621,0.009282621,0,0.009282621,0,0.009282621
3438,3,17657988919,0.009548008,0.009650907,0.000102898,0.009592331,4.32E-05,0.028776993
3512,2,11771992612,0.007328656,0.007394207,6.55516E-05,0.007361431,3.27758E-05,0.014722863
3592,1,5885996306,0.009673014,0.009673014,0,0.009673014,0,0.009673014
3679,2,11771992612,0.00846342,0.008523056,5.96363E-05,0.008493238,2.98182E-05,0.016986476
3695,1,5885996306,-0.001544923,-0.001544923,0,-0.001544923,0,-0.001544923
3705,1,5885996306,-0.001597247,-0.001597247,0,-0.001597247,0,-0.001597247
3820,2,11771992612,-0.003563711,-0.003501505,6.22058E-05,-0.003532608,3.11029E-05,-0.007065216
3854,1,5885996306,0.007261509,0.007261509,0,0.007261509,0,0.007261509
3928,4,23543985225,0.008730677,0.008814097,8.34204E-05,0.008771518,4.06615E-05,0.03508607
3933,2,11771992612,-0.001080818,-0.001000097,8.07213E-05,-0.001040458,4.03607E-05,-0.002080915
3995,1,5885996306,0.009836438,0.009836438,0,0.009836438,0,0.009836438
4012,1,5885996306,0.001014289,0.001014289,0,0.001014289,0,0.001014289
4073,2,11771992612,-0.005137741,-0.005125315,1.24257E-05,-0.005131528,6.21285E-06,-0.010263056
4266,2,11771992612,-0.007769245,-0.007726537,4.27081E-05,-0.007747891,2.13541E-05,-0.015495782
