FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
24,2,11771992612,0.024934934,0.025073467,0.000138532,0.025004201,6.92662E-05,0.050008401
59,1,5885996306,0.025038896,0.025038896,0,0.025038896,0,0.025038896
82,1,5885996306,0.009441215,0.009441215,0,0.009441215,0,0.009441215
119,1,5885996306,0.009086605,0.009086605,0,0.009086605,0,0.009086605
154,2,11771992612,0.024703115,0.02487142,0.000168305,0.024787268,8.41524E-05,0.049574535
161,2,11771992612,0.024315817,0.024470598,0.00015478,0.024393207,7.73901E-05,0.048786415
275,1,5885996306,-0.003459859,-0.003459859,0,-0.003459859,0,-0.003459859
363,2,11771992612,0.0091633,0.009246269,8.29697E-05,0.009204784,4.14848E-05,0.018409569
376,2,11771992612,-0.001267243,-0.00121693,5.03128E-05,-0.001242087,2.51564E-05,-0.002484174
393,1,5885996306,-0.004097893,-0.004097893,0,-0.004097893,0,-0.004097893
464,2,11771992612,0.007422292,0.007425498,3.20654E-06,0.007423895,1.60327E-06,0.01484779
665,1,5885996306,0.007509219,0.007509219,0,0.007509219,0,0.007509219
675,1,5885996306,0.009786906,0.009786906,0,0.009786906,0,0.009786906
718,2,11771992612,0.01634901,0.016657831,0.000308821,0.016503421,0.00015441,0.033006841
733,2,11771992612,-0.004841371,-0.004810533,3.0838E-05,-0.004825952,1.5419E-05,-0.009651904
758,1,5885996306,-0.003133548,-0.003133548,0,-0.003133548,0,-0.003133548
842,1,5885996306,0.006053104,0.006053104,0,0.006053104,0,0.006053104
889,1,5885996306,-0.003521904,-0.003521904,0,-0.003521904,0,-0.003521904
956,1,5885996306,0.007451714,0.007451714,0,0.007451714,0,0.007451714
1015,1,5885996306,0.009312922,0.009312922,0,0.009312922,0,0.009312922
1087,1,5885996306,0.024600318,0.024600318,0,0.024600318,0,0.024600318
1105,2,11771992612,0.024678027,0.024804771,0.000126744,0.024741399,6.33718E-05,0.049482798
1206,1,5885996306,-0.003597333,-0.003597333,0,-0.003597333,0,-0.003597333
1256,1,5885996306,0.008747539,0.008747539,0,0.008747539,0,0.008747539
