Order_Mean,FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,48616,1,5885996306,0.020317171,0.020317171,0,0.020317171,0,0.020317171
2,58683,1,5885996306,0.020308165,0.020308165,0,0.020308165,0,0.020308165
3,64468,1,5885996306,0.020306103,0.020306103,0,0.020306103,0,0.020306103
4,73179,1,5885996306,0.020305794,0.020305794,0,0.020305794,0,0.020305794
5,72262,2,11771992612,0.020295704,0.02030235,6.64592E-06,0.020299027,3.32296E-06,0.040598053
6,78443,1,5885996306,0.020288767,0.020288767,0,0.020288767,0,0.020288767
7,67171,1,5885996306,0.020286614,0.020286614,0,0.020286614,0,0.020286614
8,56490,1,5885996306,0.020285137,0.020285137,0,0.020285137,0,0.020285137
9,39198,1,5885996306,0.020283662,0.020283662,0,0.020283662,0,0.020283662
10,70077,2,11771992612,0.020275788,0.020283271,7.48225E-06,0.02027953,3.74112E-06,0.040559059
11,58029,1,5885996306,0.020267464,0.020267464,0,0.020267464,0,0.020267464
12,54513,1,5885996306,0.020262267,0.020262267,0,0.020262267,0,0.020262267
13,2666,1,5885996306,0.020261887,0.020261887,0,0.020261887,0,0.020261887
14,74230,2,11771992612,0.020257328,0.020259691,2.3637E-06,0.02025851,1.18185E-06,0.040517019
15,75555,1,5885996306,0.020254645,0.020254645,0,0.020254645,0,0.020254645
16,37032,1,5885996306,0.020254569,0.020254569,0,0.020254569,0,0.020254569
17,47814,1,5885996306,0.020246206,0.020246206,0,0.020246206,0,0.020246206
18,13134,1,5885996306,0.020239491,0.020239491,0,0.020239491,0,0.020239491
19,47082,1,5885996306,0.020238291,0.020238291,0,0.020238291,0,0.020238291
20,48073,1,5885996306,0.020238243,0.020238243,0,0.020238243,0,0.020238243
21,64815,2,11771992612,0.020234305,0.020235527,1.2219E-06,0.020234916,6.10948E-07,0.040469833
22,55877,1,5885996306,0.020223834,0.020223834,0,0.020223834,0,0.020223834
23,56395,1,5885996306,0.020216636,0.020216636,0,0.020216636,0,0.020216636
24,57301,1,5885996306,0.020214994,0.020214994,0,0.020214994,0,0.020214994
25,56554,1,5885996306,0.020209577,0.020209577,0,0.020209577,0,0.020209577
26,59523,2,11771992612,0.020196391,0.020222532,2.61404E-05,0.020209461,1.30702E-05,0.040418923
27,63204,1,5885996306,0.020202022,0.020202022,0,0.020202022,0,0.020202022
28,63275,2,11771992612,0.020190014,0.020213664,2.365E-05,0.020201839,1.1825E-05,0.040403677
29,36751,1,5885996306,0.020193202,0.020193202,0,0.020193202,0,0.020193202
