FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
19,2,11771992612,-0.01046933,-0.010380094,8.92356E-05,-0.010424712,4.46178E-05,-0.020849423
24,2,11771992612,-0.018024324,-0.017819865,0.000204459,-0.017922094,0.000102229,-0.035844188
82,1,5885996306,-0.0251597,-0.0251597,0,-0.0251597,0,-0.0251597
119,1,5885996306,0.001431431,0.001431431,0,0.001431431,0,0.001431431
275,1,5885996306,-0.00890566,-0.00890566,0,-0.00890566,0,-0.00890566
363,2,11771992612,0.001297532,0.001364487,6.69544E-05,0.001331009,3.34772E-05,0.002662019
393,1,5885996306,-0.011609023,-0.011609023,0,-0.011609023,0,-0.011609023
464,2,11771992612,0.004697107,0.004720488,2.33804E-05,0.004708797,1.16902E-05,0.009417595
469,1,5885996306,-0.004727378,-0.004727378,0,-0.004727378,0,-0.004727378
599,1,5885996306,-0.022592913,-0.022592913,0,-0.022592913,0,-0.022592913
644,1,5885996306,-0.023558632,-0.023558632,0,-0.023558632,0,-0.023558632
665,1,5885996306,0.003228159,0.003228159,0,0.003228159,0,0.003228159
671,1,5885996306,-0.005647462,-0.005647462,0,-0.005647462,0,-0.005647462
718,2,11771992612,-0.025512207,-0.025355328,0.000156879,-0.025433768,7.84397E-05,-0.050867535
733,2,11771992612,-0.010557152,-0.010504246,5.29066E-05,-0.010530699,2.64533E-05,-0.021061398
758,1,5885996306,-0.005998614,-0.005998614,0,-0.005998614,0,-0.005998614
842,1,5885996306,0.000834237,0.000834237,0,0.000834237,0,0.000834237
889,1,5885996306,-0.007854551,-0.007854551,0,-0.007854551,0,-0.007854551
927,2,11771992612,-0.009844609,-0.009712105,0.000132504,-0.009778357,6.6252E-05,-0.019556713
956,1,5885996306,0.004405731,0.004405731,0,0.004405731,0,0.004405731
1015,1,5885996306,-0.026096154,-0.026096154,0,-0.026096154,0,-0.026096154
1087,1,5885996306,-0.010668969,-0.010668969,0,-0.010668969,0,-0.010668969
1105,2,11771992612,-0.016974607,-0.016867153,0.000107454,-0.01692088,5.37271E-05,-0.033841761
1206,1,5885996306,-0.005880367,-0.005880367,0,-0.005880367,0,-0.005880367
1256,1,5885996306,-0.001340124,-0.001340124,0,-0.001340124,0,-0.001340124
1317,1,5885996306,-0.007749128,-0.007749128,0,-0.007749128,0,-0.007749128
1342,1,5885996306,-0.020581082,-0.020581082,0,-0.020581082,0,-0.020581082
1415,2,11771992612,0.003576284,0.003612154,3.58699E-05,0.003594219,1.79349E-05,0.007188438
1520,1,5885996306,0.005123637,0.005123637,0,0.005123637,0,0.005123637
1523,1,5885996306,-0.010823215,-0.010823215,0,-0.010823215,0,-0.010823215
1529,1,5885996306,0.00455133,0.00455133,0,0.00455133,0,0.00455133
1566,4,23543985225,-0.008267335,-0.008177663,8.96715E-05,-0.008223593,3.54744E-05,-0.032894373
1593,1,5885996306,-0.005828299,-0.005828299,0,-0.005828299,0,-0.005828299
1629,1,5885996306,-0.009546545,-0.009546545,0,-0.009546545,0,-0.009546545
1630,1,5885996306,-0.018146545,-0.018146545,0,-0.018146545,0,-0.018146545
1666,1,5885996306,-0.019338563,-0.019338563,0,-0.019338563,0,-0.019338563
1689,2,11771992612,-0.011602279,-0.011505418,9.68613E-05,-0.011553848,4.84306E-05,-0.023107696
1759,2,11771992612,-4.69085E-05,0.000222915,0.000269823,8.80032E-05,0.000134912,0.000176006
1797,2,11771992612,-0.019764138,-0.019694302,6.98362E-05,-0.01972922,3.49181E-05,-0.039458441
1828,1,5885996306,-0.009432707,-0.009432707,0,-0.009432707,0,-0.009432707
1863,1,5885996306,-0.009971504,-0.009971504,0,-0.009971504,0,-0.009971504
1979,2,11771992612,-0.02345809,-0.023397207,6.08824E-05,-0.023427648,3.04412E-05,-0.046855297
2105,1,5885996306,-0.002540584,-0.002540584,0,-0.002540584,0,-0.002540584
2181,1,5885996306,-0.023524133,-0.023524133,0,-0.023524133,0,-0.023524133
2228,1,5885996306,0.004690122,0.004690122,0,0.004690122,0,0.004690122
2229,1,5885996306,0.003477422,0.003477422,0,0.003477422,0,0.003477422
2288,2,11771992612,-0.021061001,-0.020985033,7.5968E-05,-0.021023017,3.7984E-05,-0.042046035
2329,1,5885996306,-0.006737345,-0.006737345,0,-0.006737345,0,-0.006737345
2389,2,11771992612,0.002037717,0.002113296,7.55796E-05,0.002075506,3.77898E-05,0.004151013
2420,1,5885996306,0.004210031,0.004210031,0,0.004210031,0,0.004210031
2436,1,5885996306,0.003357174,0.003357174,0,0.003357174,0,0.003357174
2455,2,11771992612,-0.023260485,-0.023134632,0.000125853,-0.023197559,6.29267E-05,-0.046395117
2457,1,5885996306,0.001762477,0.001762477,0,0.001762477,0,0.001762477
2474,2,11771992612,-0.013947721,-0.013838552,0.000109169,-0.013893136,5.45844E-05,-0.027786273
2477,2,11771992612,-0.024188632,-0.023987759,0.000200873,-0.024088196,0.000100437,-0.048176391
2511,1,5885996306,-0.006467627,-0.006467627,0,-0.006467627,0,-0.006467627
2569,1,5885996306,-0.025351549,-0.025351549,0,-0.025351549,0,-0.025351549
2592,1,5885996306,-0.008885438,-0.008885438,0,-0.008885438,0,-0.008885438
2602,1,5885996306,-0.018031122,-0.018031122,0,-0.018031122,0,-0.018031122
2628,2,11771992612,-0.005809821,-0.0057683,4.15207E-05,-0.00578906,2.07603E-05,-0.011578121
2640,1,5885996306,0.001268832,0.001268832,0,0.001268832,0,0.001268832
2666,1,5885996306,0.004550767,0.004550767,0,0.004550767,0,0.004550767
2688,1,5885996306,0.001894163,0.001894163,0,0.001894163,0,0.001894163
2692,1,5885996306,-0.016089441,-0.016089441,0,-0.016089441,0,-0.016089441
2723,1,5885996306,-0.023344744,-0.023344744,0,-0.023344744,0,-0.023344744
2733,1,5885996306,-0.011416346,-0.011416346,0,-0.011416346,0,-0.011416346
2735,1,5885996306,-0.012022758,-0.012022758,0,-0.012022758,0,-0.012022758
2740,1,5885996306,-0.019526305,-0.019526305,0,-0.019526305,0,-0.019526305
2760,2,11771992612,0.00136772,0.001521999,0.000154279,0.00144486,7.71397E-05,0.002889719
2795,2,11771992612,-0.005426703,-0.005399219,2.74833E-05,-0.005412961,1.37417E-05,-0.010825922
2798,1,5885996306,-0.010672859,-0.010672859,0,-0.010672859,0,-0.010672859
2808,1,5885996306,-0.022726534,-0.022726534,0,-0.022726534,0,-0.022726534
2903,2,11771992612,-0.001318578,-0.000677673,0.000640905,-0.000998126,0.000320452,-0.001996251
2915,2,11771992612,-0.026627365,-0.026551837,7.55284E-05,-0.026589601,3.77642E-05,-0.053179203
2990,1,5885996306,-0.00234393,-0.00234393,0,-0.00234393,0,-0.00234393
3005,1,5885996306,0.00341549,0.00341549,0,0.00341549,0,0.00341549
3068,1,5885996306,0.002148905,0.002148905,0,0.002148905,0,0.002148905
3079,1,5885996306,-0.006623248,-0.006623248,0,-0.006623248,0,-0.006623248
3092,1,5885996306,-0.010652743,-0.010652743,0,-0.010652743,0,-0.010652743
3108,1,5885996306,-0.005968051,-0.005968051,0,-0.005968051,0,-0.005968051
3131,2,11771992612,-0.022674441,-0.022530427,0.000144014,-0.022602434,7.20071E-05,-0.045204869
3280,1,5885996306,-0.024939857,-0.024939857,0,-0.024939857,0,-0.024939857
3297,4,23543985225,-0.017747071,-0.01746406,0.00028301,-0.01760483,0.000106797,-0.070419321
3302,1,5885996306,0.004534481,0.004534481,0,0.004534481,0,0.004534481
3321,1,5885996306,0.00260015,0.00260015,0,0.00260015,0,0.00260015
3335,1,5885996306,-0.023067012,-0.023067012,0,-0.023067012,0,-0.023067012
3409,1,5885996306,-0.017884757,-0.017884757,0,-0.017884757,0,-0.017884757
3512,2,11771992612,-0.013901711,-0.013870744,3.09674E-05,-0.013886228,1.54837E-05,-0.027772455
3526,1,5885996306,-0.010941636,-0.010941636,0,-0.010941636,0,-0.010941636
3592,1,5885996306,-0.008575955,-0.008575955,0,-0.008575955,0,-0.008575955
3679,2,11771992612,-0.018900679,-0.01880995,9.07294E-05,-0.018855315,4.53647E-05,-0.037710629
3693,2,11771992612,-0.011310965,-0.011220194,9.07704E-05,-0.01126558,4.53852E-05,-0.022531159
3695,1,5885996306,-0.002168206,-0.002168206,0,-0.002168206,0,-0.002168206
3705,1,5885996306,-0.001137361,-0.001137361,0,-0.001137361,0,-0.001137361
3710,1,5885996306,-0.005569976,-0.005569976,0,-0.005569976,0,-0.005569976
3767,2,11771992612,-0.010059242,-0.009952421,0.000106821,-0.010005832,5.34104E-05,-0.020011663
3820,2,11771992612,-0.000935508,-0.000735304,0.000200204,-0.000835406,0.000100102,-0.001670812
