Crop,response,predictor,quantile,model,predictor.name,response.name
Groundnut,0.284260963,0,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.015541625,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.031083249,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.046624874,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.062166498,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.077708123,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.093249747,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.108791372,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.124332996,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.139874621,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.155416245,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.17095787,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.186499494,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.202041119,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.217582744,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.233124368,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.248665993,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.264207617,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.279749242,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.295290866,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.310832491,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.326374115,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.34191574,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.357457364,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.372998989,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.388540614,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.404082238,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.419623863,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.435165487,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.450707112,0.1,1,Evapotranspiration,Yield
Groundnut,0.284260963,0.466248736,0.1,1,Evapotranspiration,Yield
