Index,r.squared.oob,r.squared,pseudo.r.squared,rmse.oob,rmse,nrmse,auc,Crop,Region
1,0.804043955,0.971083066,0.98543547,0.135189682,0.0583,0.126926873,NA,Cassava,Africa
1,0.760614248,0.965922205,0.982813413,0.140975113,0.0601,0.179945603,NA,Cassava,Asia
1,0.995976073,0.999396585,0.999698247,0.007480362,0.0029,0.016705797,NA,Cassava,Australia + Oceania
1,NA,NA,NA,NA,NA,NA,NA,Cassava,Europe
1,0.650706738,0.964535506,0.982107686,0.166228437,0.0704,0.171690879,NA,Cassava,North America
1,0.80378941,0.970758352,0.9852707,0.147863201,0.0629,0.13176531,NA,Cassava,South America
1,0.784174941,0.972225051,0.986014732,0.050153141,0.021,0.141256528,NA,Groundnut,Africa
1,0.800485807,0.972297317,0.986051376,0.075645219,0.0316,0.125436131,NA,Groundnut,Asia
1,0.618471813,0.959747166,0.979666865,0.102970805,0.0444,0.190401616,NA,Groundnut,Australia + Oceania
1,0.879159207,0.957626933,0.978584147,0.080945964,0.0488,0.106151483,NA,Groundnut,Europe
1,0.618471813,0.959747166,0.979666865,0.102970805,0.0444,0.190401616,NA,Groundnut,North America
1,0.767203605,0.969783269,0.984775746,0.070952257,0.0301,0.117902057,NA,Groundnut,South America
1,0.850038572,0.978420318,0.989151312,0.062986301,0.0264,0.127560751,NA,Maize,Africa
1,0.841871204,0.978190162,0.989034965,0.089061965,0.0367,0.12307446,NA,Maize,Asia
1,0.719674459,0.965540836,0.982619375,0.147547965,0.0616,0.13373017,NA,Maize,Australia + Oceania
1,0.93397598,0.98887167,0.99442027,0.06740619,0.0287,0.08148859,NA,Maize,Europe
1,0.849931721,0.978878583,0.989382931,0.105242397,0.0444,0.102869886,NA,Maize,North America
1,0.767203605,0.969783269,0.984775746,0.070952257,0.0301,0.117902057,NA,Maize,South America
1,0.761646345,0.96234719,0.980992961,0.153663355,0.0669,0.204033759,NA,Potato,Africa
1,0.75429524,0.967558354,0.983645441,0.143192371,0.0593,0.178593477,NA,Potato,Asia
1,0.617710066,0.93338331,0.966117648,0.202224143,0.0905,0.188701781,NA,Potato,Australia + Oceania
1,0.841058758,0.975284929,0.987565152,0.127962576,0.054,0.135068547,NA,Potato,Europe
1,0.558875655,0.941192077,0.970150543,0.237061338,0.104,0.229517722,NA,Potato,North America
1,0.652313785,0.952764155,0.976096386,0.203012683,0.0883,0.171126834,NA,Potato,South America
1,0.543530509,0.950808265,0.975093977,0.084246759,0.0353,0.176141695,NA,Rapeseed,Africa
1,0.851585568,0.977983716,0.988930592,0.052074305,0.022,0.107849862,NA,Rapeseed,Asia
1,0.724571701,0.956779376,0.978150999,0.061707687,0.0276,0.135984083,NA,Rapeseed,Australia + Oceania
1,0.90034241,0.98420829,0.992072724,0.050484136,0.0214,0.11002123,NA,Rapeseed,Europe
1,0.807147697,0.971143483,0.985466125,0.060858691,0.0267,0.113337558,NA,Rapeseed,North America
1,0.807592982,0.966247816,0.982979052,0.062139354,0.028,0.118441086,NA,Rapeseed,South America
1,0.788437148,0.970233676,0.985004404,0.077991217,0.0331,0.138514423,NA,Rice,Africa
1,0.836832935,0.977414415,0.988642714,0.09667489,0.0403,0.118002373,NA,Rice,Asia
1,0.642019523,0.866044402,0.930615067,0.166824056,0.1092,0.241708199,NA,Rice,Australia + Oceania
1,0.808863639,0.970567344,0.985173764,0.111128101,0.0498,0.148375764,NA,Rice,Europe
1,0.746260637,0.973726021,0.986775568,0.108494147,0.0459,0.160160218,NA,Rice,North America
1,0.837563231,0.974937238,0.987389102,0.09285928,0.0402,0.119956079,NA,Rice,South America
1,0.800258833,0.970567238,0.98517371,0.038340394,0.0164,0.520469242,NA,Rye,Africa
1,0.832577705,0.976076199,0.987965687,0.066576787,0.0284,0.097857862,NA,Rye,Asia
1,0.810117591,0.973701894,0.986763343,0.071726485,0.0307,0.101587844,NA,Rye,Australia + Oceania
1,0.880589629,0.982115581,0.991017447,0.074794714,0.0313,0.095995299,NA,Rye,Europe
1,0.810117591,0.973701894,0.986763343,0.071726485,0.0307,0.101587844,NA,Rye,North America
1,0.82269878,0.973067627,0.986441902,0.059612639,0.0254,0.12002498,NA,Rye,South America
1,0.757957961,0.96585893,0.982781222,0.060228097,0.0258,0.156596367,NA,Sorghum,Africa
1,0.88132468,0.981701375,0.990808445,0.076589908,0.0324,0.07723475,NA,Sorghum,Asia
1,0.786383628,0.968730063,0.984240856,0.084755777,0.0364,0.120742832,NA,Sorghum,Australia + Oceania
1,0.934232179,0.98809193,0.994028133,0.054417105,0.0238,0.14691787,NA,Sorghum,Europe
1,0.842855164,0.976065097,0.987960068,0.080084189,0.0349,0.117345484,NA,Sorghum,North America
1,0.840786377,0.97597308,0.987913498,0.087780794,0.0383,0.107391102,NA,Sorghum,South America
1,0.834219567,0.975859357,0.987855939,0.063769934,0.0268,0.128131416,NA,Soybean,Africa
1,0.829445309,0.975535753,0.987692135,0.061432194,0.0258,0.116042979,NA,Soybean,Asia
1,0.784600278,0.968455913,0.984101577,0.082926517,0.036,0.116326698,NA,Soybean,Australia + Oceania
1,0.831918465,0.973887284,0.986857276,0.056720949,0.0244,0.155126731,NA,Soybean,Europe
1,0.784600278,0.968455913,0.984101577,0.082926517,0.036,0.116326698,NA,Soybean,North America
1,0.755761167,0.963618719,0.98164083,0.087495377,0.0383,0.126406161,NA,Soybean,South America
1,0.767860648,0.969313011,0.984536953,0.047236284,0.0198,0.15380444,NA,Sunflower,Africa
1,0.820949451,0.974398946,0.98711648,0.062725189,0.0263,0.107951013,NA,Sunflower,Asia
1,0.81854353,0.972900328,0.9863571,0.049581928,0.0213,0.114844072,NA,Sunflower,Australia + Oceania
1,0.851139649,0.977719069,0.988796778,0.055217092,0.0236,0.116273163,NA,Sunflower,Europe
1,0.81854353,0.972900328,0.9863571,0.049581928,0.0213,0.114844072,NA,Sunflower,North America
1,0.825637215,0.970355003,0.985065989,0.055733232,0.0246,0.104557335,NA,Sunflower,South America
1,0.793456925,0.97054634,0.985163103,0.089499953,0.038,0.134322303,NA,Wheat,Africa
1,0.8684778,0.980762304,0.99033444,0.074082917,0.031,0.096210188,NA,Wheat,Asia
1,0.717152753,0.957618264,0.978579718,0.084958416,0.0371,0.141412977,NA,Wheat,Australia + Oceania
1,0.914152503,0.98571378,0.992831194,0.070437392,0.0301,0.090675843,NA,Wheat,Europe
1,0.842213796,0.976899761,0.988382396,0.085489256,0.0365,0.113309639,NA,Wheat,North America
1,0.83711995,0.977824479,0.988850079,0.074871368,0.0315,0.10228978,NA,Wheat,South America
1,0.833914286,0.974519889,0.987177739,0.075797478,0.0326,0.110440214,NA,Barley,Africa
1,0.894031936,0.982860471,0.991393197,0.066839985,0.0286,0.073143746,NA,Barley,Asia
1,0.703507031,0.953018485,0.976226657,0.091316069,0.0409,0.134930043,NA,Barley,Australia + Oceania
1,0.83930624,0.97214516,0.98597422,0.08110824,0.0364,0.12221275,NA,Barley,Europe
1,0.814991954,0.97426849,0.987050399,0.089571121,0.0383,0.111366046,NA,Barley,North America
1,0.839306238,0.972145161,0.985974219,0.081108235,0.0364,0.122212749,NA,Barley,South America
