"","variable","importance"
"1","spatial_predictor_5_4",0.263
"2","spatial_predictor_5_10",0.219
"3","spatial_predictor_5_3",0.215
"4","spatial_predictor_5_7",0.198
"5","cassava_Fertilizer",0.187
"6","spatial_predictor_5_11",0.169
"7","spatial_predictor_5_6",0.166
"8","spatial_predictor_5_21",0.156
"9","Pesticide",0.152
"10","spatial_predictor_5_8",0.147
"11","spatial_predictor_5_20",0.146
"12","AET_mean",0.144
"13","spatial_predictor_5_9",0.138
"14","spatial_predictor_5_16",0.138
"15","spatial_predictor_5_13",0.135
"16","GDP_Mean",0.127
"17","spatial_predictor_5_19",0.127
"18","cassavaBinaryGCO",0.126
"19","spatial_predictor_5_14",0.125
"20","spatial_predictor_5_24",0.125
"21","spatial_predictor_5_18",0.124
"22","spatial_predictor_5_22",0.123
"23","spatial_predictor_5_12",0.119
"24","spatial_predictor_5_17",0.118
"25","spatial_predictor_5_15",0.108
"26","spatial_predictor_5_4",0.262
"27","spatial_predictor_5_3",0.212
"28","spatial_predictor_5_10",0.211
"29","spatial_predictor_5_7",0.198
"30","cassava_Fertilizer",0.184
"31","spatial_predictor_5_11",0.179
"32","spatial_predictor_5_6",0.166
"33","spatial_predictor_5_21",0.16
"34","Pesticide",0.16
"35","spatial_predictor_5_8",0.147
"36","AET_mean",0.146
"37","spatial_predictor_5_20",0.145
"38","spatial_predictor_5_9",0.141
"39","spatial_predictor_5_16",0.136
"40","spatial_predictor_5_13",0.134
"41","cassavaBinaryGCO",0.131
"42","spatial_predictor_5_22",0.13
"43","spatial_predictor_5_19",0.127
"44","spatial_predictor_5_14",0.127
"45","GDP_Mean",0.122
"46","spatial_predictor_5_18",0.121
"47","spatial_predictor_5_24",0.12
"48","spatial_predictor_5_17",0.118
"49","spatial_predictor_5_12",0.117
"50","spatial_predictor_5_15",0.112
"51","spatial_predictor_5_4",0.258
"52","spatial_predictor_5_10",0.217
"53","spatial_predictor_5_3",0.216
"54","spatial_predictor_5_7",0.199
"55","cassava_Fertilizer",0.185
"56","spatial_predictor_5_11",0.172
"57","spatial_predictor_5_6",0.165
"58","Pesticide",0.161
"59","spatial_predictor_5_21",0.157
"60","spatial_predictor_5_20",0.149
"61","spatial_predictor_5_8",0.147
"62","AET_mean",0.144
"63","spatial_predictor_5_9",0.141
"64","spatial_predictor_5_16",0.136
"65","GDP_Mean",0.134
"66","spatial_predictor_5_13",0.133
"67","cassavaBinaryGCO",0.131
"68","spatial_predictor_5_14",0.125
"69","spatial_predictor_5_22",0.125
"70","spatial_predictor_5_19",0.124
"71","spatial_predictor_5_18",0.123
"72","spatial_predictor_5_24",0.121
"73","spatial_predictor_5_12",0.118
"74","spatial_predictor_5_17",0.117
"75","spatial_predictor_5_15",0.111
"76","spatial_predictor_5_4",0.259
"77","spatial_predictor_5_10",0.217
"78","spatial_predictor_5_3",0.212
"79","spatial_predictor_5_7",0.196
"80","cassava_Fertilizer",0.188
"81","spatial_predictor_5_11",0.172
"82","spatial_predictor_5_6",0.164
"83","spatial_predictor_5_21",0.161
"84","Pesticide",0.156
"85","spatial_predictor_5_8",0.153
"86","spatial_predictor_5_20",0.15
"87","AET_mean",0.144
"88","spatial_predictor_5_9",0.141
"89","spatial_predictor_5_16",0.136
"90","spatial_predictor_5_13",0.134
"91","GDP_Mean",0.131
"92","cassavaBinaryGCO",0.13
"93","spatial_predictor_5_22",0.129
"94","spatial_predictor_5_18",0.125
"95","spatial_predictor_5_14",0.123
"96","spatial_predictor_5_19",0.123
"97","spatial_predictor_5_24",0.122
"98","spatial_predictor_5_17",0.119
"99","spatial_predictor_5_12",0.119
"100","spatial_predictor_5_15",0.109
"101","spatial_predictor_5_4",0.254
"102","spatial_predictor_5_10",0.22
"103","spatial_predictor_5_3",0.206
"104","spatial_predictor_5_7",0.2
"105","cassava_Fertilizer",0.182
"106","spatial_predictor_5_11",0.174
"107","spatial_predictor_5_6",0.163
"108","spatial_predictor_5_21",0.16
"109","Pesticide",0.158
"110","spatial_predictor_5_20",0.147
"111","spatial_predictor_5_8",0.142
"112","spatial_predictor_5_9",0.142
"113","AET_mean",0.14
"114","spatial_predictor_5_16",0.139
"115","GDP_Mean",0.137
"116","spatial_predictor_5_13",0.136
"117","cassavaBinaryGCO",0.132
"118","spatial_predictor_5_22",0.13
"119","spatial_predictor_5_19",0.127
"120","spatial_predictor_5_14",0.126
"121","spatial_predictor_5_24",0.124
"122","spatial_predictor_5_18",0.12
"123","spatial_predictor_5_17",0.118
"124","spatial_predictor_5_12",0.116
"125","spatial_predictor_5_15",0.111
