"","variable","importance"
"1","spatial_predictor_5_4",0.33
"2","spatial_predictor_5_3",0.321
"3","cassavaBinaryGCO",0.316
"4","spatial_predictor_5_10",0.31
"5","spatial_predictor_5_7",0.296
"6","cassava_Fertilizer",0.271
"7","Pesticide",0.269
"8","spatial_predictor_5_6",0.265
"9","spatial_predictor_5_8",0.249
"10","AET_mean",0.244
"11","GDP_Mean",0.217
"12","spatial_predictor_5_4",0.329
"13","spatial_predictor_5_3",0.32
"14","cassavaBinaryGCO",0.317
"15","spatial_predictor_5_10",0.314
"16","spatial_predictor_5_7",0.29
"17","cassava_Fertilizer",0.272
"18","Pesticide",0.27
"19","spatial_predictor_5_6",0.264
"20","spatial_predictor_5_8",0.252
"21","AET_mean",0.244
"22","GDP_Mean",0.21
"23","spatial_predictor_5_4",0.334
"24","spatial_predictor_5_3",0.323
"25","spatial_predictor_5_10",0.317
"26","cassavaBinaryGCO",0.312
"27","spatial_predictor_5_7",0.294
"28","cassava_Fertilizer",0.273
"29","Pesticide",0.265
"30","spatial_predictor_5_6",0.262
"31","spatial_predictor_5_8",0.25
"32","AET_mean",0.247
"33","GDP_Mean",0.209
"34","spatial_predictor_5_4",0.335
"35","spatial_predictor_5_3",0.319
"36","cassavaBinaryGCO",0.318
"37","spatial_predictor_5_10",0.316
"38","spatial_predictor_5_7",0.295
"39","cassava_Fertilizer",0.271
"40","spatial_predictor_5_6",0.263
"41","Pesticide",0.261
"42","spatial_predictor_5_8",0.251
"43","AET_mean",0.243
"44","GDP_Mean",0.217
"45","spatial_predictor_5_4",0.328
"46","spatial_predictor_5_3",0.326
"47","cassavaBinaryGCO",0.318
"48","spatial_predictor_5_10",0.317
"49","spatial_predictor_5_7",0.291
"50","cassava_Fertilizer",0.272
"51","Pesticide",0.268
"52","spatial_predictor_5_6",0.264
"53","spatial_predictor_5_8",0.248
"54","AET_mean",0.246
"55","GDP_Mean",0.213
