Variable,Importance,YieldFactor,Artifical,FertilizerStandard
AET,0.001954773,0.1,Yes,0.438585276
Fertilizer,0.004456996,0.1,Yes,1
Pesticide,0.003844009,0.1,Yes,0.862466139
GDP,0.002026681,0.1,Yes,0.454718936
GCO,0.000433153,0.1,Yes,0.097184878
AET,0.010455805,0.5,Yes,0.514334972
Fertilizer,0.020328785,0.5,Yes,1
Pesticide,0.01415941,0.5,Yes,0.696520234
GDP,0.009083376,0.5,Yes,0.446823362
GCO,0.002857062,0.5,Yes,0.14054267
AET,0.016054924,1,No,0.509243388
Fertilizer,0.031527015,1,No,1
Pesticide,0.020159149,1,No,0.639424594
GDP,0.014743002,1,No,0.467630752
GCO,0.0050493,1,No,0.160157885
AET,0.020663379,1.5,Yes,0.59860698
Fertilizer,0.034519109,1.5,Yes,1
Pesticide,0.026325895,1.5,Yes,0.762647005
GDP,0.014809844,1.5,Yes,0.429033216
GCO,0.016898926,1.5,Yes,0.489552781
AET,0.02335487,2,Yes,0.609868494
Fertilizer,0.038294928,2,Yes,1
Pesticide,0.031241756,2,Yes,0.815819663
GDP,0.017182322,2,Yes,0.448684007
GCO,0.028576813,2,Yes,0.746229696
AET,0.026077109,2.5,Yes,0.581353729
Fertilizer,0.044855839,2.5,Yes,1
Pesticide,0.026811715,2.5,Yes,0.597730764
GDP,0.021954537,2.5,Yes,0.489446584
GCO,0.008037666,2.5,Yes,0.179188855
AET,38.54993559,3,Yes,0.432438366
Fertilizer,89.14550288,3,Yes,1
Pesticide,66.73564068,3,Yes,0.748614776
GDP,31.97111643,3,Yes,0.3586397
GCO,9.460468968,3,Yes,0.106123906
AET,0.030299432,3.5,Yes,0.623873024
Fertilizer,0.048566665,3.5,Yes,1
Pesticide,0.028304263,3.5,Yes,0.58279199
GDP,0.023296094,3.5,Yes,0.479672497
GCO,0.009094867,3.5,Yes,0.187265635
AET,0.03169839,4,Yes,0.625203501
Fertilizer,0.050700915,4,Yes,1
Pesticide,0.030157554,4,Yes,0.594812823
GDP,0.025029735,4,Yes,0.493674234
GCO,0.009966452,4,Yes,0.196573409
AET,0.03317957,4.5,Yes,0.630714497
Fertilizer,0.052606323,4.5,Yes,1
Pesticide,0.029783288,4.5,Yes,0.566154147
GDP,0.025472129,4.5,Yes,0.484202812
GCO,0.010360374,4.5,Yes,0.19694161
AET,0.035118543,5,Yes,0.669063784
Fertilizer,0.052489081,5,Yes,1
Pesticide,0.041518287,5,Yes,0.790989033
GDP,0.026099915,5,Yes,0.497244659
GCO,0.088907181,5,Yes,1.693822394
AET,0.043770048,10,Yes,0.71390001
Fertilizer,0.061311175,10,Yes,1
Pesticide,0.034340968,10,Yes,0.56010945
GDP,0.031997429,10,Yes,0.52188576
GCO,0.013064634,10,Yes,0.213087322
AET,0.067707348,50,Yes,0.745539873
Fertilizer,0.090816536,50,Yes,1
Pesticide,0.059867415,50,Yes,0.659212715
GDP,0.047329025,50,Yes,0.521149859
GCO,0.012942399,50,Yes,0.142511483
