"","x"
"AET_mean",0.00437880307699091
"Barley_Fertilizer",0.0174813240318901
"Pesticide",0.000570119548035543
"GDP_Mean",0.000697241382593393
"spatial_predictor_0_1",0.00362692037663348
"spatial_predictor_0_4",0.00440303745987955
"spatial_predictor_0_5",0.00391662200243656
"spatial_predictor_0_6",0.00511855026274531
"spatial_predictor_0_7",0.00405914447438166
"spatial_predictor_0_8",0.00259993029731424
"spatial_predictor_0_9",0.00181748184913935
"spatial_predictor_0_10",0.00248451942532313
"spatial_predictor_0_11",0.00263531404831826
"spatial_predictor_0_12",0.0027811309027386
