"","x"
"AET_mean",0.00405183953228144
"Barley_Fertilizer",0.0227906111923799
"Pesticide",0.00734541553040733
"GDP_Mean",0.00707937382607794
"spatial_predictor_5_1",0.00359412339821671
"spatial_predictor_5_2",0.00963130676584212
"spatial_predictor_5_3",0.00336629136517987
"spatial_predictor_5_4",0.0029530184154648
"spatial_predictor_5_5",0.00762016023549708
"spatial_predictor_5_6",0.0076319639524166
"spatial_predictor_5_7",0.00363559233175902
"spatial_predictor_5_8",0.0036274439289378
"spatial_predictor_5_9",0.00246891162356309
"spatial_predictor_5_11",0.00239839111339107
"spatial_predictor_5_10",0.00231591411985551
"spatial_predictor_5_12",0.00454673447933145
"spatial_predictor_5_13",0.00528543297039908
"spatial_predictor_5_14",0.00748136296437634
"spatial_predictor_5_15",0.0016165303132827
"spatial_predictor_5_17",0.00260422110833452
"spatial_predictor_5_16",0.0046221859643163
"spatial_predictor_5_18",0.00236336912783456
"spatial_predictor_50_3",0.00124529600533407
"spatial_predictor_5_20",0.00225779701854082
"spatial_predictor_5_19",0.00267505272606618
