"","x"
"1",-0.000989437731634624
"2",0.00492972004664005
"3",0.00148415659746837
"4",-5.2943308222364e-05
"5",-0.000190134473685655
"6",0.000481665715997615
"7",0.000178116568785303
"8",1.22124532708767e-14
"9",0.000147261313617086
"10",0.000147261313617086
"11",0.000283788026006038
"12",-9.61384703976886e-05
"13",-9.61384703976886e-05
"14",-0.000989437731634624
"15",0.0024200646560113
"16",-0.000879884337146253
"17",1.22124532708767e-14
"18",0.000494718865821531
"19",1.22124532708767e-14
"20",-0.000494718865811206
"21",-5.2943308222364e-05
"22",-5.2943308222364e-05
"23",-8.84902094657747e-05
"24",-9.61384703976886e-05
"25",-1.55431223447522e-15
"26",0.0015131206090746
"27",0.00239949448589916
"28",0.000494718865821531
"29",-0.000110422610232863
"30",0.000257825977970416
"31",-0.000120316435578971
"32",1.22124532708767e-14
"33",0.000147261313617086
"34",0.00148415659746837
"35",0.000147261313617086
"36",-0.0193283487436442
"37",-9.61384703976886e-05
"38",-0.000104156210013695
"39",0.000494718865821531
"40",-1.55431223447522e-15
"41",-0.000546573286152707
"42",0.000494718865821531
"43",0.000154975127409029
"44",1.22124532708767e-14
"45",-5.2943308222364e-05
"46",0.000774651502042367
"47",1.22124532708767e-14
"48",-9.61384703976886e-05
"49",-1.55431223447522e-15
"50",1.22124532708767e-14
"51",0.000154975127409029
"52",0.000147261313617086
"53",-0.000115644610415355
"54",1.22124532708767e-14
"55",-0.000494718865811206
"56",-0.000223429900143568
"57",-0.0101200285418013
"58",0.0017280773384647
"59",1.22124532708767e-14
"60",-0.000149848711611833
"61",-9.61384703976886e-05
"62",-0.000120316435578971
"63",-9.61384703976886e-05
"64",-0.000299796477521319
"65",0.00544536420488662
"66",-0.0016629232645351
"67",0.00046109554588547
