"","x"
"AET_mean",0.00516561146004426
"maize_Fertilizer",0.019851894556568
"Pesticide",0.00632782567509907
"GDP_Mean",0.00408834035128103
"spatial_predictor_0_1",0.0117275327166209
"spatial_predictor_0_2",0.00816150117514147
"spatial_predictor_0_3",0.0170757958108186
"spatial_predictor_0_4",0.00781347624186227
"spatial_predictor_0_5",0.00718775363293994
"spatial_predictor_0_6",0.010217160781802
"spatial_predictor_0_7",0.00257304206743302
"spatial_predictor_0_8",0.00453561062759081
"spatial_predictor_0_9",0.0084704440764494
"spatial_predictor_0_10",0.00680590519020276
"spatial_predictor_0_11",0.00357920987302653
"spatial_predictor_0_12",0.00240589111204858
"spatial_predictor_0_13",0.00253968763202557
"spatial_predictor_0_14",0.00294994519541604
"spatial_predictor_0_15",0.00160736486723858
"spatial_predictor_0_16",0.00167184907143769
"spatial_predictor_0_17",0.00233260390284941
"spatial_predictor_0_18",0.000982579478694906
"spatial_predictor_0_19",0.00139850140793697
"spatial_predictor_0_20",0.00171724483956683
"spatial_predictor_0_23",0.00234267006281833
"spatial_predictor_0_21",0.00248397716724353
"spatial_predictor_0_22",0.0031384349021649
"spatial_predictor_0_24",0.00279361383798357
"spatial_predictor_0_25",0.00300133060486424
"spatial_predictor_0_26",0.00382260556477063
"spatial_predictor_0_27",0.00236538949680383
"spatial_predictor_0_28",0.00312745295064663
"spatial_predictor_0_29",0.00138357261070887
"spatial_predictor_0_30",0.00194945126153187
"spatial_predictor_0_31",0.00310960954029546
"spatial_predictor_0_32",0.00169725380260978
