"","x"
"AET_mean",0.00486721216267496
"maize_Fertilizer",0.0348010924578885
"Pesticide",0.0144825233297857
"GDP_Mean",0.0263364811450934
"spatial_predictor_0_2",0.00607459183071751
"spatial_predictor_0_3",0.00461791125846439
"spatial_predictor_0_4",0.00563805547524672
"spatial_predictor_0_5",0.0138941775176605
"spatial_predictor_0_6",0.00460636764962386
"spatial_predictor_0_7",0.00638829009014502
"spatial_predictor_0_8",0.00162540585247217
"spatial_predictor_0_9",0.00269070041158386
"spatial_predictor_0_10",0.00255625416777967
"spatial_predictor_0_11",0.00501849755776995
"spatial_predictor_0_12",0.00521753998572356
"spatial_predictor_0_13",0.00204902068475617
"spatial_predictor_0_14",0.00128245537077811
"spatial_predictor_0_15",0.00106219481685689
"spatial_predictor_0_16",0.00120660823200148
"spatial_predictor_0_17",0.00100683383780404
"spatial_predictor_0_18",0.00132264471370166
"spatial_predictor_0_19",0.00152674098344631
"spatial_predictor_0_20",0.00233942731637383
"spatial_predictor_0_21",0.00195079835860362
"spatial_predictor_0_22",0.000969634976232984
"spatial_predictor_0_23",0.00224868253401174
"spatial_predictor_0_24",0.000918292077648776
"spatial_predictor_50_4",0.000989159786233157
"spatial_predictor_0_25",0.00146059320907862
"spatial_predictor_5_24",0.00166448637429785
"spatial_predictor_0_26",0.001672052712777
"spatial_predictor_0_27",0.00126372904672691
"spatial_predictor_0_28",0.00141086219223687
"spatial_predictor_0_29",0.00139798958629165
"spatial_predictor_0_30",0.000909593501608939
"spatial_predictor_0_31",0.00136754416071518
"spatial_predictor_0_32",0.00131884134945635
