"","x"
"AET_mean",0.000951215077397451
"rapeseed_Fertilizer",0.00534897157234386
"Pesticide",1.9859667333322e-05
"GDP_Mean",1.27096655514285e-05
"spatial_predictor_0_1",0.00263023833944117
"spatial_predictor_0_2",0.00428535720538525
"spatial_predictor_0_4",0.002122409181059
"spatial_predictor_0_5",0.00115446208341971
"spatial_predictor_0_6",0.00148709274653609
"spatial_predictor_0_7",0.00146232666596059
"spatial_predictor_0_8",0.00128468228696431
"spatial_predictor_0_9",0.000921526585835087
"spatial_predictor_0_10",0.000374813317665417
"spatial_predictor_0_11",0.00108410637634944
