"","x"
"AET_mean",0.000475980558615983
"rye_Fertilizer",0.000565965397149971
"Pesticide",0.000272827328942587
"GDP_Mean",0.00104268431778028
"spatial_predictor_0_1",0.00367211344694977
"spatial_predictor_0_3",0.000374359723128061
"spatial_predictor_0_4",0.00171875323835064
"spatial_predictor_0_5",0.000853841043761725
"spatial_predictor_0_6",0.000580486488475765
"spatial_predictor_0_7",0.000176831131677365
"spatial_predictor_0_8",0.000269893256445284
"spatial_predictor_0_9",0.000877999258064714
"spatial_predictor_0_10",0.00132012198147055
"spatial_predictor_0_11",0.000284361737955563
"spatial_predictor_0_12",0.000183730735520199
"spatial_predictor_0_13",0.000192629221416917
"spatial_predictor_0_14",0.000153439265613335
"spatial_predictor_0_15",0.000295965575373186
"spatial_predictor_0_16",4.68190603722927e-05
"spatial_predictor_0_17",0.000102355929841603
"spatial_predictor_0_18",0.000207618941193308
"spatial_predictor_0_20",1.04311742897698e-05
"spatial_predictor_0_21",9.55000187982233e-05
"spatial_predictor_0_19",0.000111652705622135
"spatial_predictor_0_22",6.82297733178605e-05
"spatial_predictor_0_23",8.06156492437036e-05
