"","x"
"AET_mean",0.00627350874856844
"rye_Fertilizer",0.0182874224937952
"Pesticide",0.00440824029408252
"GDP_Mean",0.0025581147918632
"spatial_predictor_0_1",0.00808159706153964
"spatial_predictor_0_2",0.00319010823967503
"spatial_predictor_0_3",0.00433579311670564
"spatial_predictor_0_4",0.00437245696339097
"spatial_predictor_0_5",0.00462733843607892
"spatial_predictor_0_6",0.00180618499739189
"spatial_predictor_0_7",0.00188398315490175
"spatial_predictor_0_8",0.00262280684836557
"spatial_predictor_50_4",0.000423971959073784
"spatial_predictor_0_9",0.00209626966783794
"spatial_predictor_0_10",0.00197546282766541
"spatial_predictor_0_11",0.00240546377560673
"spatial_predictor_0_12",0.00156049659112948
"spatial_predictor_0_13",0.00190049233061106
"spatial_predictor_0_14",0.00191108188982897
"spatial_predictor_0_15",0.00214173126519682
"spatial_predictor_0_16",0.00278975890938118
"spatial_predictor_0_17",0.00191009103559231
"spatial_predictor_0_18",0.0018137058117572
"spatial_predictor_50_5",0.000807842159560125
"spatial_predictor_0_19",0.00139225256485255
"spatial_predictor_50_6",0.000867874695559427
"spatial_predictor_5_20",0.0014765135567965
"spatial_predictor_0_20",0.00147297121916327
"spatial_predictor_0_21",0.00140724013201009
"spatial_predictor_0_22",0.001322088972139
"spatial_predictor_10_18",0.00302660369381545
"spatial_predictor_0_23",0.00111625931452211
"spatial_predictor_0_24",0.000987792745725509
"spatial_predictor_0_25",0.001167782334386
"spatial_predictor_0_26",0.00113637542428193
"spatial_predictor_5_27",0.00138435337366594
