"","x"
"AET_mean",0.00199974314313201
"rye_Fertilizer",0.0188899829136302
"Pesticide",0.000755735458405831
"GDP_Mean",0.000781142642683319
"spatial_predictor_5_1",0.00276422144178949
"spatial_predictor_5_2",0.0025999704568251
"spatial_predictor_5_3",0.00492231666516368
"spatial_predictor_5_4",0.00141612347458624
"spatial_predictor_5_5",0.0017912961433745
"spatial_predictor_5_6",0.00155842199936606
"spatial_predictor_5_7",0.00247703150884024
"spatial_predictor_5_8",0.00206225903270462
"spatial_predictor_5_9",0.00101196184086899
"spatial_predictor_5_10",0.00122547114835274
"spatial_predictor_5_11",0.00252650442432131
"spatial_predictor_5_12",0.00345711442766874
"spatial_predictor_5_13",0.00113015592905947
"spatial_predictor_5_14",0.000894731280396447
"spatial_predictor_5_17",0.001371476210745
"spatial_predictor_5_15",0.00113814150721784
"spatial_predictor_5_18",0.00227252243394319
"spatial_predictor_5_16",0.00249534837483199
"spatial_predictor_10_12",0.00115902230268073
"spatial_predictor_10_11",0.00254332007623651
"spatial_predictor_0_21",0.00136500210745649
