"","x"
"AET_mean",0.0041213883843951
"rye_Fertilizer",0.00548980644033081
"Pesticide",0.00595495668498121
"GDP_Mean",0.00580638526849308
"spatial_predictor_5_1",0.0127312021932044
"spatial_predictor_5_2",0.00514152952420446
"spatial_predictor_5_3",0.00314807491096926
"spatial_predictor_5_4",0.0112407835839358
"spatial_predictor_5_5",0.00705781683476481
"spatial_predictor_5_6",0.00489752546330852
"spatial_predictor_5_7",0.00454385573734201
"spatial_predictor_5_8",0.00172146076259194
"spatial_predictor_5_9",0.00307269754632516
"spatial_predictor_5_10",0.010096998350418
"spatial_predictor_5_11",0.00408463370754557
"spatial_predictor_5_12",0.00302115773506016
"spatial_predictor_5_13",0.0054134835088607
"spatial_predictor_5_14",0.0025476360472208
"spatial_predictor_5_15",0.002510940769895
"spatial_predictor_5_16",0.00156429441486713
"spatial_predictor_10_12",0.00136589785011531
"spatial_predictor_5_17",0.00160042628520305
"spatial_predictor_5_20",0.00160726224899195
"spatial_predictor_5_19",0.00121998697152339
"spatial_predictor_5_18",0.0020269682291412
"spatial_predictor_5_21",0.00306976464339579
"spatial_predictor_5_22",0.00119063603246466
"spatial_predictor_0_24",0.00111233080342189
"spatial_predictor_5_26",0.00134438892311835
"spatial_predictor_5_23",0.00144739972494187
"spatial_predictor_5_27",0.00118670534503925
"spatial_predictor_5_25",0.00224608351127378
"spatial_predictor_5_24",0.00126494890838927
"spatial_predictor_5_28",0.00161863701651933
"spatial_predictor_10_16",0.000633345423016996
"spatial_predictor_0_30",0.00131673378454396
"spatial_predictor_0_32",0.000820540978720825
"spatial_predictor_0_33",0.00118547675605181
"spatial_predictor_5_31",0.00115786911677895
"spatial_predictor_5_29",0.00166000067427163
"spatial_predictor_5_30",0.00126783520938097
"spatial_predictor_5_33",0.00110921155183508
"spatial_predictor_10_17",0.00113231642583692
"spatial_predictor_5_32",0.000761227581434193
"spatial_predictor_5_40",0.000856479510856316
"spatial_predictor_0_39",0.00091197246356796
"spatial_predictor_5_36",0.00129026941830257
"spatial_predictor_0_40",0.00107614419776113
"spatial_predictor_0_41",0.000847286904381087
"spatial_predictor_5_34",0.000857128363907626
