"","x"
"AET_mean",0.00191349001409535
"rye_Fertilizer",0.00512998575033598
"Pesticide",0.00111160198333378
"GDP_Mean",0.00354448919096135
"spatial_predictor_5_2",0.00637384355321351
"spatial_predictor_5_3",0.00166043622214656
"spatial_predictor_5_4",0.0020474675822111
"spatial_predictor_5_5",0.000953091243687384
"spatial_predictor_5_6",0.00534778837922232
"spatial_predictor_5_7",0.00287636227629775
"spatial_predictor_5_8",0.000947117248506794
"spatial_predictor_5_15",0.000904139359184467
"spatial_predictor_5_9",0.00110413765425675
"spatial_predictor_50_2",0.000539362627462891
"spatial_predictor_5_10",0.00113508591733725
"spatial_predictor_5_12",0.00178419229421757
"spatial_predictor_5_11",0.00059690061028043
"spatial_predictor_1_16",0.00115117346965258
"spatial_predictor_5_20",0.000529311254696792
"spatial_predictor_5_13",0.000531863585844884
"spatial_predictor_5_14",0.000463334432180076
"spatial_predictor_0_18",0.00141260768345029
"spatial_predictor_5_16",0.000690428731507766
"spatial_predictor_5_18",0.000635861892848503
"spatial_predictor_5_17",0.000689342788688112
