"","x"
"Evapotranspiraton",0.00774605325709363
"sorghum_Fertilizer",0.0224464477320784
"Pesticide",0.0145789758009842
"GDP",0.009604200653599
"spatial_predictor_5_2",0.00374524465604199
"spatial_predictor_5_3",0.00376266984640532
"spatial_predictor_5_4",0.00654407448931032
"spatial_predictor_5_5",0.00383206794746216
"spatial_predictor_5_6",0.00693151906219179
"spatial_predictor_5_7",0.00310753310726565
"spatial_predictor_5_8",0.00700112460193548
"spatial_predictor_5_9",0.00267551016065944
"spatial_predictor_50_5",0.000988470546052013
"spatial_predictor_5_10",0.00199904306910823
"spatial_predictor_5_14",0.00142713253183019
"spatial_predictor_50_7",0.0010584494014063
"spatial_predictor_5_11",0.00326287116453775
"spatial_predictor_5_12",0.00179394736362191
"spatial_predictor_5_13",0.00145204949558444
"spatial_predictor_0_14",0.00182917308002761
"spatial_predictor_5_16",0.00232460099164914
"spatial_predictor_5_15",0.00182001565415107
"spatial_predictor_5_20",0.00155593875194545
"spatial_predictor_5_18",0.00302643497170282
"spatial_predictor_5_17",0.00169252455976807
"spatial_predictor_5_19",0.00167862988846817
"spatial_predictor_50_9",0.000639312613195479
"spatial_predictor_50_6",0.00143383194071346
"spatial_predictor_5_22",0.00263946082591705
"spatial_predictor_0_22",0.00275116578791606
"spatial_predictor_5_26",0.00114400385122219
"spatial_predictor_5_21",0.00126703542261559
"spatial_predictor_0_23",0.0013752995818205
"spatial_predictor_5_32",0.00197173618358954
"spatial_predictor_5_25",0.0016198465567221
"spatial_predictor_5_23",0.00170101033356981
"spatial_predictor_10_21",0.00250794112733745
"spatial_predictor_0_27",0.00130317731017611
"spatial_predictor_10_22",0.00252791338557259
"spatial_predictor_0_28",0.00112912891130525
"spatial_predictor_5_24",0.0017739121515909
"spatial_predictor_5_37",0.00175531021139151
"spatial_predictor_10_25",0.00153211605143855
"spatial_predictor_5_27",0.00142975636826587
"spatial_predictor_0_31",0.00101152389534715
"spatial_predictor_5_29",0.000906868435393746
"spatial_predictor_50_8",0.000678102812697772
"spatial_predictor_5_30",0.00105344047431702
"spatial_predictor_5_28",0.00221365700633207
