"","x"
"Evapotranspiraton",0.00216167113625549
"sorghum_Fertilizer",0.0249648998561624
"Pesticide",0.0168751770146577
"GDP",0.00660754157596763
"spatial_predictor_0_1",0.0132045899558856
"spatial_predictor_0_3",0.00235989054003477
"spatial_predictor_0_4",0.00531702006173331
"spatial_predictor_0_5",0.00225951744173423
"spatial_predictor_0_6",0.00284831779444865
"spatial_predictor_0_7",0.0019134950542294
"spatial_predictor_0_8",0.00132447155409093
"spatial_predictor_0_9",0.00244916665123077
"spatial_predictor_0_10",0.00519928867808914
"spatial_predictor_0_11",0.00159353742316688
"spatial_predictor_0_12",0.00341290244521729
"spatial_predictor_0_13",0.00148433492579001
