"","x"
"Evapotranspiraton",0.0037550679539598
"sorghum_Fertilizer",0.0157318461300582
"Pesticide",0.00879351336498621
"GDP",0.0108126382424234
"spatial_predictor_0_1",0.0219832705164342
"spatial_predictor_0_2",0.0224247374022745
"spatial_predictor_0_4",0.00692093537409601
"spatial_predictor_0_5",0.00460508782293761
"spatial_predictor_0_6",0.0049357703046048
"spatial_predictor_0_7",0.00494576333454607
"spatial_predictor_0_8",0.00658865211154658
"spatial_predictor_0_9",0.00436401586294944
"spatial_predictor_0_10",0.00668671555916884
"spatial_predictor_0_11",0.00380278167630439
"spatial_predictor_0_12",0.00293940964450363
"spatial_predictor_0_13",0.00305367916355596
"spatial_predictor_0_14",0.00454443076152025
