"","x"
"AET_mean",0.00380339481688064
"soybean_Fertilizer",0.0108010275881571
"Pesticide",0.00480840007273265
"GDP_Mean",0.00312062122784285
"spatial_predictor_5_1",0.00387692031824103
"spatial_predictor_5_2",0.00226529058118408
"spatial_predictor_5_3",0.00206293988006489
"spatial_predictor_5_4",0.00121184603620074
"spatial_predictor_5_5",0.00275028235804731
"spatial_predictor_5_6",0.00159971196060465
"spatial_predictor_5_7",0.00131605311331114
"spatial_predictor_5_8",0.000903342058498669
"spatial_predictor_5_9",0.000765605726440027
"spatial_predictor_5_10",0.000866565205928078
"spatial_predictor_5_11",0.000845049930390723
"spatial_predictor_5_12",0.000755568312036045
"spatial_predictor_5_13",0.000568484525135289
"spatial_predictor_5_14",0.00120273851590155
"spatial_predictor_5_15",0.000492204189536905
"spatial_predictor_5_16",0.000450748489118522
"spatial_predictor_5_18",0.00213912976368638
"spatial_predictor_5_17",0.00112502267078386
"spatial_predictor_10_19",0.000926340498500499
"spatial_predictor_5_22",0.000921780005669337
"spatial_predictor_5_19",0.000996378164847078
"spatial_predictor_5_20",0.00108731740724549
"spatial_predictor_5_21",0.0013040254519528
"spatial_predictor_5_23",0.000551443008290489
"spatial_predictor_5_24",0.000562581945571944
"spatial_predictor_5_26",0.000740106665511801
"spatial_predictor_10_22",0.00053937659010859
"spatial_predictor_5_27",0.000687157262186345
"spatial_predictor_0_26",0.000677867917229547
"spatial_predictor_5_25",0.00070520569870928
"spatial_predictor_0_28",0.000702897878426561
"spatial_predictor_0_29",0.000936319324957423
"spatial_predictor_10_27",0.00117101066376761
"spatial_predictor_5_28",0.000683333073879519
"spatial_predictor_5_29",0.000700517875587344
"spatial_predictor_0_33",0.000707514758901144
"spatial_predictor_5_31",0.00066828149030964
"spatial_predictor_5_34",0.00107345566927261
"spatial_predictor_5_37",0.000817668067440612
"spatial_predictor_5_33",0.0010556899529816
"spatial_predictor_0_35",0.000602248016529606
"spatial_predictor_0_36",0.000627266003526768
"spatial_predictor_10_30",0.00101481293690835
"spatial_predictor_5_32",0.000480781731062764
"spatial_predictor_0_37",0.000500547759523566
"spatial_predictor_5_30",0.00133200810670776
"spatial_predictor_0_39",0.00102344380044255
"spatial_predictor_0_40",0.000591929285188571
"spatial_predictor_10_31",0.000888087053116432
"spatial_predictor_5_43",0.000430095169924622
"spatial_predictor_5_40",0.000412195731006041
"spatial_predictor_5_36",0.000644970877426496
"spatial_predictor_0_43",0.000860547044198999
"spatial_predictor_5_35",0.000681780119869817
"spatial_predictor_5_38",0.000434089021170791
"spatial_predictor_0_45",0.000471474136481233
"spatial_predictor_5_41",0.000467717540221203
"spatial_predictor_0_46",0.000568228309629273
"spatial_predictor_10_32",0.00118963337681965
"spatial_predictor_5_45",0.000600285851880472
"spatial_predictor_5_42",0.000633764363777797
"spatial_predictor_0_47",0.000609995142473494
