"","x"
"AET_mean",0.00452997026245979
"soybean_Fertilizer",0.018226001706296
"Pesticide",0.004468272265082
"GDP_Mean",0.00428704574016269
"spatial_predictor_5_2",0.00627658041476798
"spatial_predictor_5_4",0.00303363851317752
"spatial_predictor_5_5",0.00351266445845347
"spatial_predictor_5_6",0.00508748800677437
"spatial_predictor_5_7",0.00329317740610401
"spatial_predictor_5_8",0.00433870843759683
"spatial_predictor_5_10",0.00176445685409229
"spatial_predictor_5_9",0.00244763957854005
"spatial_predictor_5_11",0.00537242626093911
"spatial_predictor_5_15",0.00159626737321662
"spatial_predictor_5_12",0.00360374617764468
"spatial_predictor_5_13",0.00184726276243647
"spatial_predictor_5_16",0.00219220343102255
"spatial_predictor_5_14",0.00141266024796423
"spatial_predictor_5_17",0.00217547402515906
"spatial_predictor_5_18",0.00242858575278401
"spatial_predictor_5_19",0.00197385729067356
"spatial_predictor_5_21",0.00177955231062424
