"","x"
"AET_mean",0.000866868751480304
"sunflower_Fertilizer",0.00856705986412619
"Pesticide",0.000375604830150849
"GDP_Mean",0.000428399125980093
"spatial_predictor_5_2",0.00327174056703306
"spatial_predictor_5_3",0.00349087142419942
"spatial_predictor_5_4",0.00199262367667211
"spatial_predictor_5_5",0.00220899651301483
"spatial_predictor_5_6",0.000965321393521338
"spatial_predictor_5_7",0.000867771371342841
"spatial_predictor_5_8",0.00129065531099905
"spatial_predictor_5_9",0.000631504731782837
"spatial_predictor_5_10",0.000822356151726992
"spatial_predictor_5_11",0.000598417717711862
"spatial_predictor_5_12",0.000584627018923598
"spatial_predictor_5_13",0.000626727287449072
"spatial_predictor_5_16",0.000489842266938696
"spatial_predictor_5_14",0.00127810784200783
"spatial_predictor_5_15",0.000631754574967426
"spatial_predictor_5_17",0.000455329186535782
"spatial_predictor_0_18",0.000795323261061318
"spatial_predictor_5_18",0.000526218771975678
"spatial_predictor_5_19",0.000546975149823822
"spatial_predictor_5_22",0.00041768093120464
"spatial_predictor_5_23",0.000681266847277825
