"","x"
"AET_mean",0.00283506637301418
"sunflower_Fertilizer",0.00287620706876653
"Pesticide",0.0016370299298088
"GDP_Mean",0.000455110405827371
"spatial_predictor_5_1",0.00198631872022298
"spatial_predictor_5_2",0.00807071459752237
"spatial_predictor_5_3",0.00801325324383684
"spatial_predictor_5_4",0.003228219913065
"spatial_predictor_5_5",0.00255002956856009
"spatial_predictor_5_6",0.00217185396010074
"spatial_predictor_5_7",0.00206976997130469
"spatial_predictor_5_8",0.00142644995623578
"spatial_predictor_5_9",0.00156211894571159
"spatial_predictor_5_10",0.0010149130946731
"spatial_predictor_5_13",0.00106660469723219
"spatial_predictor_5_11",0.00187448460636827
"spatial_predictor_5_12",0.00116287201545933
"spatial_predictor_5_14",0.00122533873374941
