"","x"
"AET_mean",0.00690723563686062
"wheat_Fertilizer",0.00534809601007631
"Pesticide",0.00357135686841335
"GDP_Mean",0.00278339747669519
"spatial_predictor_0_1",0.0174294729028393
"spatial_predictor_0_2",0.00417827600014001
"spatial_predictor_0_3",0.00325333190564803
"spatial_predictor_0_4",0.00299034784487439
"spatial_predictor_0_5",0.00340068462741302
"spatial_predictor_0_6",0.00483686909540387
"spatial_predictor_0_7",0.00524949996233322
"spatial_predictor_0_8",0.00445112124314497
"spatial_predictor_0_9",0.00258206363059176
"spatial_predictor_0_10",0.00481590860048093
"spatial_predictor_0_11",0.00255943837484631
"spatial_predictor_0_12",0.00195169765640943
"spatial_predictor_0_13",0.00219859456754989
"spatial_predictor_0_14",0.00333339948229025
"spatial_predictor_0_15",0.00240619418492953
"spatial_predictor_0_16",0.00593961333545227
"spatial_predictor_0_17",0.00323892791805089
"spatial_predictor_0_18",0.0019095057515655
"spatial_predictor_0_19",0.00151856969895287
"spatial_predictor_0_20",0.0026774630854092
"spatial_predictor_0_21",0.00211739512675058
"spatial_predictor_0_22",0.00173830864358876
"spatial_predictor_0_23",0.00163372194128232
"spatial_predictor_0_24",0.00148654294776652
"spatial_predictor_0_25",0.00181954880867225
"spatial_predictor_0_26",0.00215639428912275
"spatial_predictor_0_27",0.00243622666078533
"spatial_predictor_0_28",0.00107703411597224
"spatial_predictor_0_29",0.00151979675354985
"spatial_predictor_0_30",0.00152566081218595
"spatial_predictor_0_31",0.0014797289650544
"spatial_predictor_0_32",0.00118923515236516
"spatial_predictor_0_33",0.00124313049800285
