Crop,Variable,Importance,FertStandardized
Wheat,Evapotranspiration,0.00,0.15
Wheat,Fertilizer,0.03,1.00
Wheat,Pesticide,0.01,0.28
Wheat,GDP,0.01,0.20
Wheat,GCO,0.00,0.00
Sunflower,Evapotranspiration,0.00,0.27
Sunflower,Fertilizer,0.01,1.00
Sunflower,Pesticide,0.00,0.44
Sunflower,GDP,0.00,0.23
Sunflower,GCO,0.00,0.01
Soybean,Evapotranspiration,0.00,0.16
Soybean,Fertilizer,0.01,1.00
Soybean,Pesticide,0.00,0.46
Soybean,GDP,0.00,0.24
Soybean,GCO,0.00,0.03
Sorghum,Evapotranspiration,0.00,0.10
Sorghum,Fertilizer,0.02,1.00
Sorghum,Pesticide,0.01,0.51
Sorghum,GDP,0.01,0.28
Sorghum,GCO,0.00,0.00
Rye,Evapotranspiration,0.00,0.12
Rye,Fertilizer,0.01,1.00
Rye,Pesticide,0.00,0.14
Rye,GDP,0.00,0.16
Rye,GCO,0.00,0.02
Rice,Evapotranspiration,0.00,0.12
Rice,Fertilizer,0.04,1.00
Rice,Pesticide,0.01,0.22
Rice,GDP,0.01,0.14
Rice,GCO,0.00,0.01
Rapeseed,Evapotranspiration,0.00,0.20
Rapeseed,Fertilizer,0.01,1.00
Rapeseed,Pesticide,0.00,0.17
Rapeseed,GDP,0.00,0.28
Rapeseed,GCO,0.00,0.07
Potato,Evapotranspiration,0.01,0.21
Potato,Fertilizer,0.03,1.00
Potato,Pesticide,0.02,0.58
Potato,GDP,0.03,0.81
Potato,GCO,0.00,0.00
Maize,Evapotranspiration,0.01,0.23
Maize,Fertilizer,0.04,1.00
Maize,Pesticide,0.02,0.34
Maize,GDP,0.02,0.54
Maize,GCO,0.00,0.00
Groundnut,Evapotranspiration,0.00,0.23
Groundnut,Fertilizer,0.01,1.00
Groundnut,Pesticide,0.00,0.58
Groundnut,GDP,0.00,0.27
Groundnut,GCO,0.00,0.00
Cassava,Evapotranspiration,0.01,0.44
Cassava,Fertilizer,0.02,1.00
Cassava,Pesticide,0.01,0.56
Cassava,GDP,0.01,0.39
Cassava,GCO,0.00,0.15
Barley,Evapotranspiration,0.00,0.17
Barley,Fertilizer,0.02,1.00
Barley,Pesticide,0.01,0.42
Barley,GDP,0.00,0.26
Barley,GCO,0.00,0.00
