"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","groundnut_HgHa","AET_mean","groundnut_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"921","Congo DRC",24,1.37279,29.7566,0.0855702109454785,2.99539097892403,1.49654363649517,0,2.26709515600535,24
"17520","Sudan",59,10.3587,28.8583,0.20901206724216,2.76888024797393,1.68578966326421,3.72320931040511,2.58970408801578,59
"131","India",119,22.4701,87.2488,0.356487539371695,2.92408228242792,2.01678219437497,5.50520154772776,2.65874601931954,119
"403","Tanzania",161,-3.14718,31.5533,0.179757674344702,2.87063030261913,1.25680852760176,1.7481880270062,2.58899405288781,161
"1193","Peru",275,-4.0497,-69.9564,0.0700094350970863,2.94048239127832,1.51865184332826,4.21937492462626,3.31522015660823,275
"2149","Tanzania",356,-9.47339,39.4363,0.250410791020437,2.83634672521065,0.41880760803595,1.7481880270062,2.58899405288781,356
"2262","India",363,22.4701,86.3505,0.329604294913491,2.89466214165877,1.96989588255356,5.50520154772776,2.65874601931954,363
"6841","China",464,33.601,118.69,0.595807908589235,2.85709905784382,2.36893813604671,6.95136909386879,2.99627669770714,464
"15566","Bolivia",566,-11.2146,-66.3631,0.132488769085542,2.92166170750917,0.799957217489808,4.4215710245264,2.98847132047518,566
"18230","Angola",599,-17.3436,20.7735,0.0101240334445954,2.69434138784097,0.646649064862018,2.44870631990508,2.7855635422284,599
"21783","Angola",644,-10.2538,13.7605,0.126036825685899,2.68873401524878,0.666209728206036,2.44870631990508,2.7855635422284,644
"23388","Australia",665,-32.8185,150.131,0.0839558590642964,2.71471385938463,1.33375333798659,5.36316241230006,4.33107201983724,665
"27273","Nigeria",718,8.57503,3.70549,0.0520027712926438,2.88189559848472,1.14413520361052,0,2.77291888787602,718
"29930","United States",758,35.826,-99.6008,0.463062450208384,2.66669065671381,1.76381473748569,6.47257508985315,4.55253120853509,758
"34408","China",842,35.0911,79.164,0.396057215884007,1.89989537884254,2.14450616872652,6.95136909386879,2.99627669770714,842
"35883","Colombia",889,2.20409,-78.015,0.38729931545539,2.97104931845928,1.43585810112623,5.6784582838221,3.39165397941092,889
"37101","China",956,37.2755,107.91,0.416503271064583,2.64138557114427,2.17347874477114,6.95136909386879,2.99627669770714,956
"7","Spain",1015,42.1292,-3.48104,0.593101372719177,2.52023001891381,1.84811740923762,5.40708143378234,4.21334781739129,1015
"70","Tanzania",1105,-5.85147,36.9432,0.179296395737551,2.71188502563408,0.435174803221028,1.7481880270062,2.58899405288781,1105
