"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","maize_HgHa","AET_mean","maize_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"600","Chile",19,-34.3223,-70.8547,1.0392199601883,2.25388439557119,2.66828317441496,4.98465330797233,3.69928062050879,19
"921","Congo DRC",24,1.37279,29.7566,0.0962778095663806,2.99539097892403,1.49824424381715,0,2.26709515600535,24
"17520","Sudan",59,10.3587,28.8583,0.20901206724216,2.76888024797393,1.08323999760196,3.72320931040511,2.58970408801578,59
"33444","France",82,43.4523,1.90886,0.921219602823376,2.58169777801571,2.33939167986425,5.83682522770016,4.39150652613484,82
"131","India",119,22.4701,87.2488,0.337292919412103,2.92408228242792,1.49075218947769,5.50520154772776,2.65874601931954,119
"403","Tanzania",161,-3.14718,31.5533,0.312775310760867,2.87063030261913,1.31414391377388,1.7481880270062,2.58899405288781,161
"1193","Peru",275,-4.0497,-69.9564,0.073195747263795,2.94048239127832,1.67282835738191,4.21937492462626,3.31522015660823,275
"2149","Tanzania",356,-9.47339,39.4363,0.31003622787726,2.83634672521065,0.478426952685036,1.7481880270062,2.58899405288781,356
"2262","India",363,22.4701,86.3505,0.316272209464213,2.89466214165877,1.78929649555602,5.50520154772776,2.65874601931954,363
"3031","Russian Federation",398,46.5454,143.469,0.268009335275807,2.6371441196772,1.03173740276065,5.32502074550366,3.33487843404016,398
"6841","China",464,33.601,118.69,0.718095977073228,2.85709905784382,2.47555726636585,6.95136909386879,2.99627669770714,464
"7278","Turkmenistan",469,39.3978,55.8078,0.0562694524076807,2.23323036786883,1.6900497391716,4.83241310188512,2.88553797188383,469
"15566","Bolivia",566,-11.2146,-66.3631,0.198978456710486,2.92166170750917,0.685720969964462,4.4215710245264,2.98847132047518,566
"16632","Chile",579,-50.8025,-74.4191,1.01535974103055,2.61596882907127,2.41945370958962,4.98465330797233,3.69928062050879,579
"18230","Angola",599,-17.3436,20.7735,0.126113993555667,2.69434138784097,0.699151274718487,2.44870631990508,2.7855635422284,599
"21783","Angola",644,-10.2538,13.7605,0.2368545264203,2.68873401524878,0.795697124115545,2.44870631990508,2.7855635422284,644
"23388","Australia",665,-32.8185,150.131,0.593785901280987,2.71471385938463,1.77588740570118,5.36316241230006,4.33107201983724,665
"23832","United States",671,37.9899,-107.686,0.297038598832534,2.33475284787798,1.62907518443927,6.47257508985315,4.55253120853509,671
"27273","Nigeria",718,8.57503,3.70549,0.345368887805493,2.88189559848472,1.35281536605133,0,2.77291888787602,718
"28315","Argentina",733,-27.3536,-66.3631,0.611999810231201,2.03520333530463,1.5017161768385,5.78923793550226,3.80950249718057,733
"29930","United States",758,35.826,-99.6008,0.687873025737809,2.66669065671381,1.99719918878456,6.47257508985315,4.55253120853509,758
"34408","China",842,35.0911,79.164,0.78811013655189,1.89989537884254,2.32157948408474,6.95136909386879,2.99627669770714,842
"35883","Colombia",889,2.20409,-78.015,0.376375394913089,2.97104931845928,1.9066115755687,5.6784582838221,3.39165397941092,889
"37101","China",956,37.2755,107.91,0.850828258363546,2.64138557114427,2.31798561163717,6.95136909386879,2.99627669770714,956
"7","Spain",1015,42.1292,-3.48104,0.99815109953665,2.52023001891381,2.62239725450595,5.40708143378234,4.21334781739129,1015
"34","Chile",1058,-53.5432,-72.6596,1.01535974103055,2.5846946000857,2.48292834111926,4.98465330797233,3.69928062050879,1058
"56","Yemen",1087,14.7695,46.8246,0.00982885262506991,1.67897337591977,1.27383340275854,3.93495270781786,2.70832088674834,1087
"70","Tanzania",1105,-5.85147,36.9432,0.276785773382235,2.71188502563408,1.08639442797171,1.7481880270062,2.58899405288781,1105
"144","Mexico",1206,28.9746,-104.991,0.660102460006214,2.38948778200849,1.9629712311289,5.19781516944518,3.82053390533369,1206
"182","Pakistan",1256,29.7614,70.1808,0.429135893911372,2.07129010130327,1.95316723413892,5.06566932773143,2.7175806602292,1256
"222","Russian Federation",1317,46.013,46.8246,0.168208895323972,2.64793573349118,1.32609923668382,5.32502074550366,3.33487843404016,1317
"238","Chad",1342,13.8937,19.8752,0.193342180498304,2.50533977917185,0.559269195705581,2.46982201597816,2.33187050378788,1342
"282","Australia",1415,-19.0606,143.843,0.483532340620838,2.77986479355217,1.62896509527919,5.36316241230006,4.33107201983724,1415
"319","Indonesia",1477,-4.95121,138.453,0.344382976146436,3.04561399472166,1.88884837984437,4.0484418035504,2.91077933629609,1477
"341","China",1520,40.7776,124.08,0.707425573094816,2.70876476760362,2.43954562405879,6.95136909386879,2.99627669770714,1520
"352","China",1529,35.826,111.503,0.720947264453381,2.73591241825355,2.31715331636812,6.95136909386879,2.99627669770714,1529
"374","Peru",1566,-8.54258,-76.2446,0.460242382106486,2.91742266635982,1.8947796700158,4.21937492462626,3.31522015660823,1566
"384","South Africa",1581,-30.9582,30.254,0.703707605431974,2.82662234134424,1.84102834865787,5.25389021628127,3.49225402986176,1581
"393","Mexico",1593,24.9729,-107.649,0.603797272885297,2.59867979624061,2.24702197469567,5.19781516944518,3.82053390533369,1593
"410","Indonesia",1624,-4.04236,105.769,0.583330179534483,3.0121389413006,2.0296298161674,4.0484418035504,2.91077933629609,1624
"412","Bolivia",1629,-16.4788,-68.1597,0.344737854998841,2.85904890061892,0.467709822603307,4.4215710245264,2.98847132047518,1629
"416","Mozambique",1630,-17.1788,37.7796,0.0916039156158551,2.94055205807061,0.570543543574157,2.72916478969277,2.50009459561958,1630
"424","Indonesia",1650,-7.03752,113.284,0.533356632940422,2.94245688741254,1.80825870412775,4.0484418035504,2.91077933629609,1650
"532","Indonesia",1789,4.91391,96.2057,0.525147361930856,3.00357506777566,1.91164348220252,4.0484418035504,2.91077933629609,1789
"539","Mozambique",1797,-15.6102,31.5533,0.123216721496958,2.79409574971503,0.868522693642968,2.72916478969277,2.50009459561958,1797
"660","Angola",1979,-8.55408,13.6673,0.223892442878569,2.71199040524913,0.886930540448786,2.44870631990508,2.7855635422284,1979
"727","United States",2069,29.7463,-81.6635,0.736993341400274,2.95138956441353,2.35249556169439,6.47257508985315,4.55253120853509,2069
"748","Russian Federation",2105,56.1441,57.6044,0.261291206237334,2.36335451398268,1.32902791162819,5.32502074550366,3.33487843404016,2105
"749","Russian Federation",2105,56.1441,57.6044,0.261291206237334,2.36335451398268,1.32902791162819,5.32502074550366,3.33487843404016,2105
"790","Belize",2177,16.7769,-88.3288,0.405820774753526,3.04291755608864,1.99934623203062,3.99607365448528,3.51593368894278,2177
"795","Gabon",2181,2.27666,10.892,0.0241501609969519,2.94967166066761,0.885057747626138,0,3.6255249388827,2181
"825","Australia",2229,-26.5486,149.233,0.380693761546878,2.6731635848343,1.63053999040371,5.36316241230006,4.33107201983724,2229
"858","Congo DRC",2288,-3.14718,20.7735,0.0173317123439294,2.94365053522742,0.863081753223665,0,2.26709515600535,2288
"875","United States",2329,39.3978,-88.821,0.964586410913591,2.88850209184276,2.43778615987786,6.47257508985315,4.55253120853509,2329
"937","China",2420,37.2755,105.215,0.798205924464457,2.59845503231177,2.42225940630674,6.95136909386879,2.99627669770714,2420
"963","Russian Federation",2457,56.1441,75.5707,0.530199711654681,2.365030897342,1.30413658373056,5.32502074550366,3.33487843404016,2457
"1476","Brazil",304,-7.64738,-60.0749,0.120341285126494,2.93172265532701,1.55010029290822,5.98977763964001,3.58078294659351,304
"2505","Brazil",376,-12.1,-39.4136,0.345426982973554,2.72400264251505,1.94266153942293,5.98977763964001,3.58078294659351,376
"2883","Paraguay",393,-23.2723,-59.1766,0.181638495672011,2.77943972601716,1.24337772692562,4.85455500642305,3.2119147561999,393
"16390","Ecuador",576,-2.18841,-80.5285,0.255754876538619,2.64265291391327,2.11528264836601,5.00241662707248,3.30639568540983,576
"24145","Sierra Leone",675,8.62558,-13.0686,0.243238570497997,2.95892206425827,0.593894965321703,0,2.29900813986645,675
"31686","Brazil",787,-5.85147,-57.38,0.143932152025379,2.94911107631829,1.60377537589587,5.98977763964001,3.58078294659351,787
"33829","Brazil",828,-7.64738,-55.5833,0.227218990880454,2.9498689999766,1.61311870454804,5.98977763964001,3.58078294659351,828
"36684","Brazil",927,1.37279,-64.5665,0.0552850290876561,3.00486364734752,1.86964948497582,5.98977763964001,3.58078294659351,927
"21","Brazil",1037,-4.0497,-66.3631,0.0601051687346116,2.94093428521864,1.60466217402092,5.98977763964001,3.58078294659351,1037
"151","Indonesia",1215,1.36699,104.175,0.371716698606196,3.01826117486292,1.835860190844,4.0484418035504,2.91077933629609,1215
"214","Brazil",1300,-10.3264,-48.3968,0.437768660318581,2.91526789096641,1.67118591644901,5.98977763964001,3.58078294659351,1300
"337","Croatia",1509,43.7655,15.787,0.577870771570499,2.71868947481343,1.98740639723874,4.27018954270418,3.76349188024616,1509
"345","Argentina",1523,-24.0996,-63.6682,0.209534873142071,2.85369097055481,1.72897762297538,5.78923793550226,3.80950249718057,1523
"648","Brazil",1964,-12.1,-52.8884,0.383518664672575,2.94267080631698,1.98875735140648,5.98977763964001,3.58078294659351,1964
"680","Brazil",2000,-5.85147,-58.2783,0.108694930058115,2.94147445898498,1.60609880603826,5.98977763964001,3.58078294659351,2000
"887","Brazil",2351,-5.85147,-68.1597,0.0328659812959845,2.915157906816,1.59485892995022,5.98977763964001,3.58078294659351,2351
"961","Namibia",2455,-21.6022,18.0785,0.223006833330422,2.57210369221674,0.535131515328559,2.59439255037543,3.33590723556634,2455
"973","Mexico",2468,16.0156,-97.5941,0.531804868865804,2.93381256145245,1.87760310534577,5.19781516944518,3.82053390533369,2468
"976","Ethiopia",2474,5.88412,41.4347,0.267915499357905,2.55161697990997,0.985894309227898,3.63648789635337,2.09437779351545,2474
"980","Niger",2477,13.0145,9.09538,0.308188941904975,2.69217784735586,1.1561899118237,2.39269695325967,2.36249398434491,2477
"1001","United States",2511,32.0845,-93.3126,0.738875576001548,2.94278288727227,2.38087017847348,6.47257508985315,4.55253120853509,2511
"1052","Russian Federation",2592,46.6353,44.1297,0.429735983805283,2.66493843186716,1.3442499827765,5.32502074550366,3.33487843404016,2592
"1061","Greece",2602,40.7906,23.4356,1.05908738769258,2.609800786005,2.37919893043813,4.86861505347097,4.14310934368233,2602
"1091","Australia",2640,-32.8185,119.588,0.131106491885728,2.41259553088046,1.23968871310797,5.36316241230006,4.33107201983724,2640
"1114","Russian Federation",2666,57.6193,98.9269,0.057765695381368,2.30627181017191,1.28972749401441,5.32502074550366,3.33487843404016,2666
