"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","rapeseed_HgHa","AET_mean","rapeseed_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"600","Chile",19,-34.3223,-70.8547,0.574821925346921,2.25388439557119,2.54676952197318,4.98465330797233,3.69928062050879,19
"33444","France",82,43.4523,1.90886,0.526948980996585,2.58169777801571,2.33405159732077,5.83682522770016,4.39150652613484,82
"131","India",119,22.4701,87.2488,0.218553282831193,2.92408228242792,2.05692952960972,5.50520154772776,2.65874601931954,119
"1193","Peru",275,-4.0497,-69.9564,0.0712960864836346,2.94048239127832,1.95537385774773,4.21937492462626,3.31522015660823,275
"2262","India",363,22.4701,86.3505,0.217995201268914,2.89466214165877,2.05698651311671,5.50520154772776,2.65874601931954,363
"3031","Russian Federation",398,46.5454,143.469,0.0776048560281142,2.6371441196772,1.03621569099008,5.32502074550366,3.33487843404016,398
"6841","China",464,33.601,118.69,0.489147178214627,2.85709905784382,2.48789120640882,6.95136909386879,2.99627669770714,464
"14718","United Kingdom",556,59.9881,-1.29533,0.322012180985073,2.63301131606616,1.95773528791374,5.3694440804306,4.4645225202218,556
"16632","Chile",579,-50.8025,-74.4191,0.364293223720128,2.61596882907127,2.39423443302587,4.98465330797233,3.69928062050879,579
"23388","Australia",665,-32.8185,150.131,0.224474159526805,2.71471385938463,1.86890545273178,5.36316241230006,4.33107201983724,665
"34408","China",842,35.0911,79.164,0.282580405691908,1.89989537884254,2.33492945656605,6.95136909386879,2.99627669770714,842
"37101","China",956,37.2755,107.91,0.287470769736534,2.64138557114427,2.34174276009612,6.95136909386879,2.99627669770714,956
"7","Spain",1015,42.1292,-3.48104,0.356873023457798,2.52023001891381,2.35877952192694,5.40708143378234,4.21334781739129,1015
"34","Chile",1058,-53.5432,-72.6596,0.429406179756332,2.5846946000857,2.44171927671674,4.98465330797233,3.69928062050879,1058
"144","Mexico",1206,28.9746,-104.991,0.33865263825086,2.38948778200849,1.96924737199784,5.19781516944518,3.82053390533369,1206
