"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","soybean_HgHa","AET_mean","soybean_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"921","Congo DRC",24,1.37279,29.7566,0.0481990715519637,2.99539097892403,0.519517500416702,0,2.26709515600535,24
"33444","France",82,43.4523,1.90886,0.536315777386106,2.58169777801571,2.00053863653841,5.83682522770016,4.39150652613484,82
"131","India",119,22.4701,87.2488,0.159261850884898,2.92408228242792,1.72575927147652,5.50520154772776,2.65874601931954,119
"403","Tanzania",161,-3.14718,31.5533,0.113136691035218,2.87063030261913,0.54182803077502,1.7481880270062,2.58899405288781,161
"1193","Peru",275,-4.0497,-69.9564,0.0702898014863339,2.94048239127832,1.51282098382613,4.21937492462626,3.31522015660823,275
"2149","Tanzania",356,-9.47339,39.4363,0.120067469410448,2.83634672521065,0.432688027312257,1.7481880270062,2.58899405288781,356
"2262","India",363,22.4701,86.3505,0.137749343622031,2.89466214165877,1.70719062323427,5.50520154772776,2.65874601931954,363
"3031","Russian Federation",398,46.5454,143.469,0.0807519330154987,2.6371441196772,1.01262734769987,5.32502074550366,3.33487843404016,398
"6841","China",464,33.601,118.69,0.48700426585646,2.85709905784382,2.31414963729424,6.95136909386879,2.99627669770714,464
"23388","Australia",665,-32.8185,150.131,0.26684722725308,2.71471385938463,1.44310743115898,5.36316241230006,4.33107201983724,665
"27273","Nigeria",718,8.57503,3.70549,0.178938395187938,2.88189559848472,1.29058079241132,0,2.77291888787602,718
"28315","Argentina",733,-27.3536,-66.3631,0.210696960406614,2.03520333530463,0.924870359443309,5.78923793550226,3.80950249718057,733
"29930","United States",758,35.826,-99.6008,0.425584717174826,2.66669065671381,1.6907896016758,6.47257508985315,4.55253120853509,758
"34408","China",842,35.0911,79.164,0.481897279651803,1.89989537884254,2.09035350819955,6.95136909386879,2.99627669770714,842
"35883","Colombia",889,2.20409,-78.015,0.394350480698469,2.97104931845928,1.51765439199669,5.6784582838221,3.39165397941092,889
"37101","China",956,37.2755,107.91,0.37848636408375,2.64138557114427,2.0945071299174,6.95136909386879,2.99627669770714,956
"70","Tanzania",1105,-5.85147,36.9432,0.109747241423706,2.71188502563408,0.449846140553752,1.7481880270062,2.58899405288781,1105
"144","Mexico",1206,28.9746,-104.991,0.0956524590146896,2.38948778200849,1.27801568546509,5.19781516944518,3.82053390533369,1206
"182","Pakistan",1256,29.7614,70.1808,0.333699112417349,2.07129010130327,2.06890941280563,5.06566932773143,2.7175806602292,1256
"222","Russian Federation",1317,46.013,46.8246,0.0740999461918461,2.64793573349118,1.10248823640311,5.32502074550366,3.33487843404016,1317
"282","Australia",1415,-19.0606,143.843,0.280321799317896,2.77986479355217,1.28939322154678,5.36316241230006,4.33107201983724,1415
"319","Indonesia",1477,-4.95121,138.453,0.229548971388804,3.04561399472166,1.10416514666802,4.0484418035504,2.91077933629609,1477
"341","China",1520,40.7776,124.08,0.381062738840741,2.70876476760362,2.17388470928603,6.95136909386879,2.99627669770714,1520
"352","China",1529,35.826,111.503,0.434342135616625,2.73591241825355,2.15310146189431,6.95136909386879,2.99627669770714,1529
"374","Peru",1566,-8.54258,-76.2446,0.361956649866271,2.91742266635982,1.4096537194274,4.21937492462626,3.31522015660823,1566
"384","South Africa",1581,-30.9582,30.254,0.367534577627478,2.82662234134424,1.1156040700909,5.25389021628127,3.49225402986176,1581
"393","Mexico",1593,24.9729,-107.649,0.228930364427271,2.59867979624061,1.50545050883206,5.19781516944518,3.82053390533369,1593
"410","Indonesia",1624,-4.04236,105.769,0.286028590352571,3.0121389413006,1.10206654939141,4.0484418035504,2.91077933629609,1624
"412","Bolivia",1629,-16.4788,-68.1597,0.0123258384060363,2.85904890061892,0.46737405501865,4.4215710245264,2.98847132047518,1629
"424","Indonesia",1650,-7.03752,113.284,0.270458104904698,2.94245688741254,1.30785016504676,4.0484418035504,2.91077933629609,1650
"510","Kazakhstan",1759,53.5535,68.3842,0.352182518111362,2.11829622634681,0.623338577541402,4.50851625226694,3.17598650936112,1759
"532","Indonesia",1789,4.91391,96.2057,0.336368939600012,3.00357506777566,1.56709895906414,4.0484418035504,2.91077933629609,1789
