"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","wheat_HgHa","AET_mean","wheat_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"600","Chile",19,-34.3223,-70.8547,0.742168911867045,2.25388439557119,2.45520451259718,4.98465330797233,3.69928062050879,19
"921","Congo DRC",24,1.37279,29.7566,0.145559523416972,2.99539097892403,0.547875859000037,0,2.26709515600535,24
"33444","France",82,43.4523,1.90886,0.737749240555111,2.58169777801571,2.19585491556053,5.83682522770016,4.39150652613484,82
"131","India",119,22.4701,87.2488,0.462916007029881,2.92408228242792,2.09126914949636,5.50520154772776,2.65874601931954,119
"1193","Peru",275,-4.0497,-69.9564,0.0549958607638649,2.94048239127832,1.76412711377346,4.21937492462626,3.31522015660823,275
"2262","India",363,22.4701,86.3505,0.407011398197145,2.89466214165877,2.08085872439007,5.50520154772776,2.65874601931954,363
"6841","China",464,33.601,118.69,0.706366150567974,2.85709905784382,2.47765369172471,6.95136909386879,2.99627669770714,464
"7278","Turkmenistan",469,39.3978,55.8078,0.150756440474153,2.23323036786883,1.76168027321554,4.83241310188512,2.88553797188383,469
"14718","United Kingdom",556,59.9881,-1.29533,0.600055740837091,2.63301131606616,1.77074251139037,5.3694440804306,4.4645225202218,556
"16632","Chile",579,-50.8025,-74.4191,0.44682157843876,2.61596882907127,2.20256968815783,4.98465330797233,3.69928062050879,579
"18230","Angola",599,-17.3436,20.7735,0.0980468391777833,2.69434138784097,0.709576148614514,2.44870631990508,2.7855635422284,599
"21783","Angola",644,-10.2538,13.7605,0.367209303812207,2.68873401524878,0.71657577066047,2.44870631990508,2.7855635422284,644
"23388","Australia",665,-32.8185,150.131,0.292588269733544,2.71471385938463,2.02977769362769,5.36316241230006,4.33107201983724,665
"23832","United States",671,37.9899,-107.686,0.291692223689746,2.33475284787798,1.63625768675622,6.47257508985315,4.55253120853509,671
"27273","Nigeria",718,8.57503,3.70549,0.208719350557309,2.88189559848472,1.04912006154329,0,2.77291888787602,718
"28315","Argentina",733,-27.3536,-66.3631,0.361478143113456,2.03520333530463,1.6135318781175,5.78923793550226,3.80950249718057,733
"29930","United States",758,35.826,-99.6008,0.434803870894448,2.66669065671381,2.11549768162259,6.47257508985315,4.55253120853509,758
"34408","China",842,35.0911,79.164,0.757206520334439,1.89989537884254,2.32774037413447,6.95136909386879,2.99627669770714,842
"35883","Colombia",889,2.20409,-78.015,0.60192507101493,2.97104931845928,2.01210764134704,5.6784582838221,3.39165397941092,889
"37101","China",956,37.2755,107.91,0.35127611252809,2.64138557114427,2.29065394051765,6.95136909386879,2.99627669770714,956
"7","Spain",1015,42.1292,-3.48104,0.640662239353522,2.52023001891381,2.26406675910414,5.40708143378234,4.21334781739129,1015
"34","Chile",1058,-53.5432,-72.6596,0.519828599557056,2.5846946000857,2.25548246057795,4.98465330797233,3.69928062050879,1058
"56","Yemen",1087,14.7695,46.8246,0.00832146157606128,1.67897337591977,1.35126450950535,3.93495270781786,2.70832088674834,1087
"70","Tanzania",1105,-5.85147,36.9432,0.178434130969267,2.71188502563408,0.566566609196996,1.7481880270062,2.58899405288781,1105
"144","Mexico",1206,28.9746,-104.991,0.669512157299144,2.38948778200849,2.10655757604366,5.19781516944518,3.82053390533369,1206
"182","Pakistan",1256,29.7614,70.1808,0.50238414318994,2.07129010130327,2.20165875927126,5.06566932773143,2.7175806602292,1256
"222","Russian Federation",1317,46.013,46.8246,0.0726801856839995,2.64793573349118,1.4138078605852,5.32502074550366,3.33487843404016,1317
"238","Chad",1342,13.8937,19.8752,0.447177939720481,2.50533977917185,0.617981301584364,2.46982201597816,2.33187050378788,1342
"282","Australia",1415,-19.0606,143.843,0.302184694911616,2.77986479355217,1.62896509527919,5.36316241230006,4.33107201983724,1415
"341","China",1520,40.7776,124.08,0.491318882056261,2.70876476760362,2.33098110486486,6.95136909386879,2.99627669770714,1520
"352","China",1529,35.826,111.503,0.656542675645108,2.73591241825355,2.32479986878938,6.95136909386879,2.99627669770714,1529
"374","Peru",1566,-8.54258,-76.2446,0.317778518754059,2.91742266635982,1.7969261981725,4.21937492462626,3.31522015660823,1566
"393","Mexico",1593,24.9729,-107.649,0.547320408057901,2.59867979624061,2.08638495032426,5.19781516944518,3.82053390533369,1593
"412","Bolivia",1629,-16.4788,-68.1597,0.210488927841241,2.85904890061892,0.494410657466292,4.4215710245264,2.98847132047518,1629
"416","Mozambique",1630,-17.1788,37.7796,0.151300635293899,2.94055205807061,0.561167811068308,2.72916478969277,2.50009459561958,1630
"438","Sweden",1666,57.6193,13.587,0.194095251193689,2.61389213689062,1.86301121598957,4.11223623086894,4.48925689329624,1666
"510","Kazakhstan",1759,53.5535,68.3842,0.33994178994041,2.11829622634681,0.905902558151374,4.50851625226694,3.17598650936112,1759
"539","Mozambique",1797,-15.6102,31.5533,0.166253316751367,2.79409574971503,0.839737228114291,2.72916478969277,2.50009459561958,1797
"660","Angola",1979,-8.55408,13.6673,0.35188680980714,2.71199040524913,0.752143511010159,2.44870631990508,2.7855635422284,1979
"748","Russian Federation",2105,56.1441,57.6044,0.165349466095401,2.36335451398268,1.80864797244162,5.32502074550366,3.33487843404016,2105
"749","Russian Federation",2105,56.1441,57.6044,0.165349466095401,2.36335451398268,1.80864797244162,5.32502074550366,3.33487843404016,2105
"795","Gabon",2181,2.27666,10.892,0.0633385742078439,2.94967166066761,1.19199335319739,0,3.6255249388827,2181
"824","Mongolia",2228,47.8586,105.215,0.187809043176129,1.95686276005962,0.695524291996987,2.91009054559407,2.71731170571189,2228
"825","Australia",2229,-26.5486,149.233,0.185896989646033,2.6731635848343,1.71153733962469,5.36316241230006,4.33107201983724,2229
"858","Congo DRC",2288,-3.14718,20.7735,0.0296092089211015,2.94365053522742,0.658998446138027,0,2.26709515600535,2288
"875","United States",2329,39.3978,-88.821,0.713962239778817,2.88850209184276,2.28812255971973,6.47257508985315,4.55253120853509,2329
"937","China",2420,37.2755,105.215,0.575045804981304,2.59845503231177,2.41554220786506,6.95136909386879,2.99627669770714,2420
"963","Russian Federation",2457,56.1441,75.5707,0.334983881176652,2.365030897342,1.39375227543917,5.32502074550366,3.33487843404016,2457
"2883","Paraguay",393,-23.2723,-59.1766,0.110985415651881,2.77943972601716,1.42343553791777,4.85455500642305,3.2119147561999,393
"36684","Brazil",927,1.37279,-64.5665,0.0266694282013763,3.00486364734752,1.82669037775758,5.98977763964001,3.58078294659351,927
"337","Croatia",1509,43.7655,15.787,0.335710103393356,2.71868947481343,1.99650840722807,4.27018954270418,3.76349188024616,1509
"345","Argentina",1523,-24.0996,-63.6682,0.0875875319494409,2.85369097055481,1.83475423226442,5.78923793550226,3.80950249718057,1523
"453","Argentina",1689,-43.4286,-67.2614,0.00946663465148711,2.35079008637076,1.64065732927114,5.78923793550226,3.80950249718057,1689
"907","China",2389,28.9746,89.0454,0.805835887203755,2.50447086249442,2.20439318248185,6.95136909386879,2.99627669770714,2389
"961","Namibia",2455,-21.6022,18.0785,0.588780834492464,2.57210369221674,0.535805281768099,2.59439255037543,3.33590723556634,2455
"976","Ethiopia",2474,5.88412,41.4347,0.288923195889033,2.55161697990997,1.17483280178075,3.63648789635337,2.09437779351545,2474
"980","Niger",2477,13.0145,9.09538,0.44865362256851,2.69217784735586,0.753500876320818,2.39269695325967,2.36249398434491,2477
"1001","United States",2511,32.0845,-93.3126,0.330761558731967,2.94278288727227,2.18374859086134,6.47257508985315,4.55253120853509,2511
"1052","Russian Federation",2592,46.6353,44.1297,0.421251658239467,2.66493843186716,1.57869547885566,5.32502074550366,3.33487843404016,2592
"1061","Greece",2602,40.7906,23.4356,0.473758393586027,2.609800786005,2.06249412264366,4.86861505347097,4.14310934368233,2602
"1083","Canada",2628,53.5535,-100.499,0.225495304235317,2.54838941813292,1.51350443077005,5.43420630841758,4.37324138608759,2628
"1091","Australia",2640,-32.8185,119.588,0.320401661364925,2.41259553088046,1.7553866245197,5.36316241230006,4.33107201983724,2640
"1114","Russian Federation",2666,57.6193,98.9269,0.023901879270581,2.30627181017191,1.12470162516961,5.32502074550366,3.33487843404016,2666
"1137","Myanmar",2688,10.3931,98.8801,0.222584215623611,3.0256118219968,2.09384101847779,3.59228781595213,2.23757342070395,2688
"1142","Latvia",2692,57.4814,21.8813,0.28120439602421,2.67525992437706,1.58602156098455,3.39724458101039,3.55219028830686,2692
"1170","Russian Federation",2728,58.5705,36.0448,0.21961715443929,2.58716956309482,1.33534464940539,5.32502074550366,3.33487843404016,2728
"1177","Chile",2735,-54.0261,-69.87,0.487887243362191,2.18763820895548,2.22307279722145,4.98465330797233,3.69928062050879,2735
"1183","Congo DRC",2740,-6.75027,27.96,0.316503362068694,2.85687627639459,0.662998296736093,0,2.26709515600535,2740
"1207","Russian Federation",2760,54.6099,74.6724,0.338533873006982,2.30262979882118,1.42362421999892,5.32502074550366,3.33487843404016,2760
"1238","Canada",2795,52.47,-108.584,0.501791739699626,2.38396489061893,1.74174505597878,5.43420630841758,4.37324138608759,2795
"1239","Chile",2798,-41.382,-72.6097,0.495817092460378,2.69899068451257,2.28890442987464,4.98465330797233,3.69928062050879,2798
"1333","India",2903,16.5103,77.3673,0.193130248321883,2.68426546673157,2.1311401762368,5.50520154772776,2.65874601931954,2903
"1350","Kazakhstan",2917,55.1279,69.2825,0.334636168190583,2.17396629810017,1.01942627914086,4.50851625226694,3.17598650936112,2917
"1389","Germany",2952,50.2203,12.6886,0.717461220818432,2.6806951537781,2.37417357143006,5.36638186074997,4.41865905031594,2952
"1427","Russian Federation",2990,56.1441,58.5027,0.342590534190732,2.33859876867732,1.47557947990424,5.32502074550366,3.33487843404016,2990
"1428","Russian Federation",2990,56.1441,58.5027,0.342590534190732,2.33859876867732,1.47557947990424,5.32502074550366,3.33487843404016,2990
"1445","China",3005,31.3165,100.724,0.526010250327485,2.58436488303439,2.2032280794662,6.95136909386879,2.99627669770714,3005
"1506","Myanmar",3068,14.7695,98.9269,0.218907319758341,2.97280184542228,2.26415569708303,3.59228781595213,2.23757342070395,3068
"1521","United States",3079,47.2505,-88.821,0.012913499513435,2.74281861439962,1.46186913439104,6.47257508985315,4.55253120853509,3079
"1533","Argentina",3092,-28.9459,-66.3631,0.290024781274065,2.37478106730902,1.48009482045685,5.78923793550226,3.80950249718057,3092
"1579","Angola",3131,-11.2146,18.0785,0.28080938226093,2.9378699896569,0.77974547257106,2.44870631990508,2.7855635422284,3131
"1744","United Kingdom",3280,54.0865,-2.55231,0.87519562553591,2.69312736039549,2.36098117139999,5.3694440804306,4.4645225202218,3280
"1775","Tanzania",3297,-8.54258,36.0448,0.0595513831958891,2.81630838866581,0.522032534494969,1.7481880270062,2.58899405288781,3297
"1782","China",3302,39.3978,108.808,0.72158718509826,2.55996003267527,2.206760048994,6.95136909386879,2.99627669770714,3302
"1808","Australia",3321,-17.381,122.465,0.109632422736582,2.80747865183613,1.51615911616375,5.36316241230006,4.33107201983724,3321
"1822","South Africa",3335,-32.8185,18.9768,0.477215724484879,2.1903233590758,1.81896855294042,5.25389021628127,3.49225402986176,3335
"1912","Uganda",3409,-0.435754,30.6549,0.311024611674477,2.89290748077285,0.767410311852566,2.79028516403324,2.42066321182124,3409
"2076","Brazil",3512,-22.4398,-50.1934,0.388883749768476,2.8775273144218,1.9543626676479,5.98977763964001,3.58078294659351,3512
"2150","Bangladesh",3560,21.678,92.0491,0.450664749561839,2.93534529285453,1.8707894170647,4.35812528527665,2.61998209528875,3560
"2197","Colombia",3592,6.78286,-71.753,0.384413566657982,2.96248208377222,1.97537070104486,5.6784582838221,3.39165397941092,3592
"2355","Tanzania",3679,-8.54258,31.5533,0.330364614722947,2.80081114562461,0.826571488230311,1.7481880270062,2.58899405288781,3679
"2386","Chile",3693,-51.3288,-73.5158,0.485070907131347,2.63648491124556,2.28608659451924,4.98465330797233,3.69928062050879,3693
"2391","Afghanistan",3695,36.5542,64.7909,0.277643940660879,2.0593582753093,1.48959667389403,0,2.26964184190232,3695
"2406","Tajikistan",3705,39.3978,67.4859,0.512958494107818,2.21674696137492,2.07642216840932,3.56726169235387,2.26751551150824,3705
"2523","Bolivia",3767,-21.6022,-67.2614,0.157447380381269,1.85826499791947,0.357473905746279,4.4215710245264,2.98847132047518,3767
