Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes,Pest
Central African Republic,7,21,1,-,Not recorded,-,Not recorded,-,MbÈtid-Bessane (2006),-,Achatina fulica
CÙte d'Ivoire,8,-5.5,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); MËmËl et al. (2011); Raut and Barker (2002); Winter (1989),-,Achatina fulica
Ethiopia,9,39.5,1,-,Not recorded,Native,Not recorded,-,Raut and Barker (2002),-,Achatina fulica
Ghana,8.1,-1.2,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Monney (2001); Raut and Barker (2002),Became the dominant achatinid shortly after its introduction,Achatina fulica
Kenya,1,38,1,Widespread,Not recorded,Native,Not recorded,-,CABI (Undated a); Mead (1979); Raut and Barker (2002),-,Achatina fulica
Madagascar,-20,47,1,Widespread,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Bequaert (1951); EPPO (2020); Raut and Barker (2002),First reported: Prior to 1800,Achatina fulica
Mauritius,-20.3,57.58333,1,Widespread,Not recorded,Introduced,1803,Invasive,CABI (Undated a); EPPO (2020); Facknath et al. (1999); Mead (1961),-,Achatina fulica
Nigeria,10,8,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated a); Ademolu et al. (2013); Ashaye et al. (2001); Igbinosa et al. (2016); Okon et al. (2012),-,Achatina fulica
RÈunion,-21.1,55.6,1,Widespread,Not recorded,Introduced,1821,Invasive,CABI (Undated a); EPPO (2020); Graber et al. (1997); Mead (1961); Schotman (1989),-,Achatina fulica
Seychelles,-4.58333,55.66667,1,Widespread,Not recorded,Introduced,1840,Invasive,CABI (Undated a); EPPO (2020); Mead (1961); Schotman (1989),-,Achatina fulica
Tanzania,-6,35,1,Widespread,Not recorded,Native,Not recorded,-,Emberton et al. (1997),-,Achatina fulica
Togo,8.66667,1.08333,1,-,Not recorded,Introduced,Not recorded,Invasive,CABI (Undated),"Original citation: EkouÈ & Kuevi-Akue, 2002",Achatina fulica
Bangladesh,24,90,1,-,Not recorded,Introduced,Not recorded,Invasive,Mead (1979); Jahan and Raut (1994),-,Achatina fulica
Brunei,4.5,114.66667,1,-,Not recorded,Introduced,Not recorded,-,CABI (Undated a); EPPO (2020),-,Achatina fulica
Cambodia,13,105,1,-,Not recorded,Introduced,Not recorded,Invasive,Mead (1979),-,Achatina fulica
China,35,105,1,Widespread,Not recorded,Introduced,1931,Invasive,CABI (Undated a); EPPO (2020); Huang DaNa et al. (2019); Jarrett (1931); Lv Shan et al. (2009); Lv Shan et al. (2009); Schotman (1989),-,Achatina fulica
Fujian,26.25,118,1,-,Not recorded,Introduced,Not recorded,Invasive,Lv Shan et al. (2009); Li LiSha et al. (2006),In the south,Achatina fulica
