FISHNET_ID,Achatina.fulica_MEAN,Paspalum.urvillei_mean,Spodoptera.frugiperda_mean,Verbesina.encelioides_mean,Xanthium.spinosum_mean,MeanProbability,Stdev
64221,0.000975069,0.092692902,0.932576268,0.869803604,0.1150532,0.402220209,0.409678285
30687,0.675714757,0.005455342,0.941806104,6.72E-06,0.000234144,0.324643413,0.404141623
64802,0.00139983,0.186770412,0.962666754,0.870306787,0.130174009,0.430263558,0.40258116
18045,0.000691711,0.071309645,0.902759429,0.799233691,0.083253621,0.371449619,0.393926818
55153,0.447079241,0.002017953,0.996874809,3.37E-07,6.29E-05,0.289207052,0.393812066
56863,0.997051279,0.0030412,0.051846169,0.000435234,0.000429275,0.210560631,0.393733413
47288,0.705024269,0.008024864,0.889543398,7.78E-06,0.000308119,0.320581686,0.39358559
45934,0.995585084,0.011749984,0.031163339,0.005248759,0.000555633,0.20886056,0.393500462
49548,0.991833627,0.002476759,0.042801488,4.62E-05,0.000225152,0.207476648,0.39251479
55632,0.514859699,0.000750398,0.973355696,7.19E-08,2.59E-05,0.29779836,0.392194612
56858,0.998124385,0.626630348,0.152649923,0.004638908,0.011814179,0.358771549,0.392121372
51323,0.982276976,0.001411653,0.023177411,0.00082378,0.000593832,0.20165673,0.390405197
45569,0.996409655,0.009525683,0.088299491,0.000101052,0.000176489,0.218902474,0.390161073
44075,0.985340789,0.000511967,0.026468897,0.025337177,0.001531562,0.207838079,0.388910869
16072,0.987290267,0.004800831,0.069224196,0.000872081,0.000434011,0.212524277,0.38825899
58023,0.984813105,0.006781488,0.05761212,2.35E-05,0.000100628,0.209866166,0.388072923
53128,0.975305896,0.011104989,0.012484053,0.002540353,0.000232738,0.200333606,0.387515033
66809,0.001801089,0.292800701,0.956842259,0.898062457,0.187490851,0.467399471,0.387463616
45313,0.975276601,0.000993325,0.033569463,0.001182545,0.000226401,0.202249667,0.386721904
