"","Pesticide","AET_mean"
"24",0,2.99539097892403
"59",3.72320931040511,2.76888024797393
"161",1.7481880270062,2.87063030261913
"275",4.21937492462626,2.94048239127832
"356",1.7481880270062,2.83634672521065
"464",6.95136909386879,2.85709905784382
"566",4.4215710245264,2.92166170750917
"599",2.44870631990508,2.69434138784097
"644",2.44870631990508,2.68873401524878
"718",0,2.88189559848472
"842",6.95136909386879,1.89989537884254
"889",5.6784582838221,2.97104931845928
"956",6.95136909386879,2.64138557114427
"1105",1.7481880270062,2.71188502563408
"1342",2.46982201597816,2.50533977917185
"1477",4.0484418035504,3.04561399472166
"1520",6.95136909386879,2.70876476760362
"1529",6.95136909386879,2.73591241825355
"1566",4.21937492462626,2.91742266635982
"1624",4.0484418035504,3.0121389413006
"1629",4.4215710245264,2.85904890061892
"1630",2.72916478969277,2.94055205807061
"1650",4.0484418035504,2.94245688741254
"1789",4.0484418035504,3.00357506777566
"1797",2.72916478969277,2.79409574971503
"1979",2.44870631990508,2.71199040524913
"2177",3.99607365448528,3.04291755608864
"2181",0,2.94967166066761
"2288",0,2.94365053522742
"2420",6.95136909386879,2.59845503231177
"304",5.98977763964001,2.93172265532701
"376",5.98977763964001,2.72400264251505
"393",4.85455500642305,2.77943972601716
"576",5.00241662707248,2.64265291391327
"675",0,2.95892206425827
"787",5.98977763964001,2.94911107631829
"810",0,2.98767158401813
"828",5.98977763964001,2.9498689999766
"927",5.98977763964001,3.00486364734752
"1037",5.98977763964001,2.94093428521864
"1215",4.0484418035504,3.01826117486292
"1300",5.98977763964001,2.91526789096641
"1964",5.98977763964001,2.94267080631698
"2000",5.98977763964001,2.94147445898498
"2351",5.98977763964001,2.915157906816
"2389",6.95136909386879,2.50447086249442
"2477",2.39269695325967,2.69217784735586
"2688",3.59228781595213,3.0256118219968
"2740",0,2.85687627639459
"2903",5.50520154772776,2.68426546673157
"3005",6.95136909386879,2.58436488303439
"3068",3.59228781595213,2.97280184542228
"3131",2.44870631990508,2.9378699896569
"3297",1.7481880270062,2.81630838866581
"3302",6.95136909386879,2.55996003267527
"3409",2.79028516403324,2.89290748077285
"3512",5.98977763964001,2.8775273144218
"3560",4.35812528527665,2.93534529285453
"3592",5.6784582838221,2.96248208377222
"3679",1.7481880270062,2.80081114562461
"3820",5.50520154772776,2.68482933812569
"3995",4.06785166051235,2.77918620492389
"4073",6.95136909386879,2.73153120841035
"4266",4.0484418035504,2.99150823323956
"4340",0,2.96258494089489
"4364",6.95136909386879,1.72261433812545
"4372",1.17609125905568,2.93436166062449
"4441",2.44870631990508,2.88543021749694
"4785",0,2.92854062953356
"4794",6.95136909386879,2.75592020568688
"4820",5.50520154772776,2.931945957663
"4845",2.07918124604762,2.56959682480208
"4862",6.95136909386879,2.56597424475435
"2614",4.0484418035504,3.00929151192686
"2664",5.98977763964001,2.96908988051531
"2824",5.98977763964001,2.77163559319476
"2915",2.56348108539441,2.33234226010403
"3344",3.30770992340481,2.98746010059825
"3438",5.98977763964001,2.95546344167575
"3496",6.95136909386879,2.37541864192774
"3928",5.98977763964001,2.95216950080953
"4272",5.98977763964001,2.84372948323057
"4379",5.98977763964001,3.0181058191929
"4656",3.30770992340481,2.98716198683856
"4697",5.98977763964001,2.88361581361355
"4804",3.30770992340481,2.9970507657136
"4916",5.98977763964001,2.96379344707979
"4954",4.06785166051235,2.797617849806
"4983",2.72916478969277,2.80459371533034
"4998",2.94694327069783,2.82387771878954
"5036",2.29446622616159,2.97999615314019
"5184",6.95136909386879,1.89171330085297
"5236",6.95136909386879,2.68573107828803
"5316",4.35326208591632,3.02869468010505
"5354",0,2.84769748914287
"5542",0,2.89934489880492
"5558",2.44870631990508,2.62080196334489
"5680",6.95136909386879,2.4815705841947
"5941",5.98977763964001,2.86831024253563
"5972",4.0484418035504,3.00576380854055
"5998",2.8668778143375,3.08723195076357
"6014",4.0484418035504,2.98026586122942
"6036",5.50520154772776,2.81976713561194
"6229",6.95136909386879,2.67537184573491
"6273",5.98977763964001,2.80473760766868
"6328",2.39269695325967,2.55998851400838
"6581",1.17609125905568,2.92352156448904
"6585",5.78923793550226,3.00026489051585
"6640",0,2.96591390595941
"6646",4.0484418035504,3.05899283693225
"6709",0,2.80269636939322
"6752",5.50520154772776,2.73294393879247
"6773",4.948994569896,2.99114165650599
"6816",2.94694327069783,2.88924666169149
"6884",2.39269695325967,2.61953120739439
"7134",1.7481880270062,2.66505583973121
"7233",5.50520154772776,2.59392527338453
"7234",4.35812528527665,2.92853910580869
"7417",4.0484418035504,3.00413705148483
"7455",2.20951501454263,2.82349363628764
"7593",6.95136909386879,2.55240745690115
"7638",5.50520154772776,2.71096814833284
"7847",6.95136909386879,2.70847654422613
"7868",4.0484418035504,2.95994381387255
"7970",4.4215710245264,2.98905896538786
"8212",5.98977763964001,2.92502647146572
"8461",4.0484418035504,3.02966876844913
"8537",2.46982201597816,2.83829237854471
"8679",4.31363525361033,2.73019807626534
"8681",4.0484418035504,3.0295335420557
"8699",5.98977763964001,2.87122186126873
"9046",4.0484418035504,2.99574354580071
"9057",2.72916478969277,2.77887447200274
"9137",1.7481880270062,2.79696233571311
"9155",1.7481880270062,2.92466687598667
"9212",0,2.91740390720935
"9291",3.01367969729119,2.82194026729545
"9482",3.72320931040511,2.75804407631568
"9598",5.98977763964001,2.91831123356298
"9702",5.98977763964001,2.86256615210112
"9775",2.72916478969277,2.87408127256162
"9799",0,2.94945390296079
"9883",3.45255306322893,2.52475919615272
"9899",2.46982201597816,2.75633946901558
"10071",3.72320931040511,2.26131952446378
"10312",0,2.93596586142453
"10392",5.78923793550226,2.78758907720635
"10452",5.98977763964001,2.98453802858411
"10505",6.95136909386879,2.86385548605968
"10514",3.59228781595213,2.9790915443432
"10537",6.95136909386879,2.07166287696574
"10604",6.95136909386879,2.91240869952504
"10819",5.98977763964001,2.88628252548793
"10834",4.21937492462626,2.19613010840203
"10902",6.95136909386879,1.81080038533791
"10925",4.21937492462626,2.91813491405314
"11033",5.78923793550226,2.58859180599344
"11226",4.4215710245264,2.9428580832626
"11233",3.65791593682995,2.94902387385782
"11339",2.8668778143375,3.05159119111194
"11570",5.78923793550226,2.84925484392071
"11588",2.20951501454263,2.86015790462974
