"","mean_rye_Y","rye_Fertilizer","GDP_Mean","Pesticide","AET_mean"
"19",0.306347337651228,2.21856634375612,3.69928062050879,4.98465330797233,2.25388439557119
"82",0.641932664560878,1.81581522141799,4.39150652613484,5.83682522770016,2.58169777801571
"275",0.036035787953076,1.80512299300857,3.31522015660823,4.21937492462626,2.94048239127832
"464",0.418246038585083,2.23455662562185,2.99627669770714,6.95136909386879,2.85709905784382
"556",0.490836027588979,1.90779422539812,4.4645225202218,5.3694440804306,2.63301131606616
"566",0.0934216886646099,0.891334070870222,2.98847132047518,4.4215710245264,2.92166170750917
"579",0.517538526313093,2.11968646750559,3.69928062050879,4.98465330797233,2.61596882907127
"665",0.105479217277187,1.77588740570118,4.33107201983724,5.36316241230006,2.71471385938463
"671",0.359970642954041,1.69987048465208,4.55253120853509,6.47257508985315,2.33475284787798
"733",0.270361183905496,1.51613085316698,3.80950249718057,5.78923793550226,2.03520333530463
"758",0.30398477968993,1.72849656285364,4.55253120853509,6.47257508985315,2.66669065671381
"842",0.408635630699894,2.10710478469862,2.99627669770714,6.95136909386879,1.89989537884254
"956",0.434568908664544,2.1468419278662,2.99627669770714,6.95136909386879,2.64138557114427
"1015",0.424672326302059,2.1819889971068,4.21334781739129,5.40708143378234,2.52023001891381
"1058",0.596126269788461,2.14968798897786,3.69928062050879,4.98465330797233,2.5846946000857
"1317",0.0721022289354372,1.4689771621146,3.33487843404016,5.32502074550366,2.64793573349118
"1415",0.114171068693698,1.62896509527919,4.33107201983724,5.36316241230006,2.77986479355217
"1520",0.432018588766913,2.14673644209961,2.99627669770714,6.95136909386879,2.70876476760362
"1529",0.434568908664544,2.14682601514552,2.99627669770714,6.95136909386879,2.73591241825355
"1566",0.239602786832939,1.82096820582166,3.31522015660823,4.21937492462626,2.91742266635982
"1581",0.0433622780211295,1.34892458949125,3.49225402986176,5.25389021628127,2.82662234134424
"1629",0.206825882505805,0.833556927687196,2.98847132047518,4.4215710245264,2.85904890061892
"1666",0.149304800975101,1.73701337683322,4.48925689329624,4.11223623086894,2.61389213689062
"1759",0.359291076482132,0.742845965689336,3.17598650936112,4.50851625226694,2.11829622634681
"2069",0.0329077782842635,1.32943801791101,4.55253120853509,6.47257508985315,2.95138956441353
"2105",0.178403874430857,1.97386123282774,3.33487843404016,5.32502074550366,2.36335451398268
"2229",0.082785369598608,1.63053999040371,4.33107201983724,5.36316241230006,2.6731635848343
"2329",0.166897215525634,1.33487327798677,4.55253120853509,6.47257508985315,2.88850209184276
"2420",0.403526073011608,2.23024014876714,2.99627669770714,6.95136909386879,2.59845503231177
"2457",0.507450390627252,1.4054276204616,3.33487843404016,5.32502074550366,2.365030897342
"576",0.194149052371085,1.80339712246274,3.30639568540983,5.00241662707248,2.64265291391327
"1509",0.181985875220817,1.97354612741835,3.76349188024616,4.27018954270418,2.71868947481343
"1523",0.146128040641603,1.52341086913776,3.80950249718057,5.78923793550226,2.85369097055481
"1689",0.00479888326356609,1.50286028744697,3.80950249718057,5.78923793550226,2.35079008637076
"2389",0.434568908664544,1.9873765443354,2.99627669770714,6.95136909386879,2.50447086249442
"2592",0.428411357045741,1.61967695017429,3.33487843404016,5.32502074550366,2.66493843186716
"2602",0.463769519424269,2.12235550559205,4.14310934368233,4.86861505347097,2.609800786005
"2640",0.161817039270081,1.70962645368738,4.33107201983724,5.36316241230006,2.41259553088046
"2666",0.0449645273892659,1.23121965468862,3.33487843404016,5.32502074550366,2.30627181017191
"2692",0.243531360959208,1.58602156098455,3.55219028830686,3.39724458101039,2.67525992437706
"2728",0.346578827095543,1.58103063932074,3.33487843404016,5.32502074550366,2.58716956309482
"2735",0.561866963689482,2.13107858530989,3.69928062050879,4.98465330797233,2.18763820895548
"2760",0.496415563180501,1.47572753866237,3.33487843404016,5.32502074550366,2.30262979882118
"2795",0.469531471495821,1.6991300406785,4.37324138608759,5.43420630841758,2.38396489061893
"2917",0.384907655278818,0.987506506682115,3.17598650936112,4.50851625226694,2.17396629810017
"2952",0.660351968557996,2.26574843292701,4.41865905031594,5.36638186074997,2.6806951537781
"2990",0.3709894375011,1.52351940590033,3.33487843404016,5.32502074550366,2.33859876867732
"3005",0.434568908664544,1.98988264579455,2.99627669770714,6.95136909386879,2.58436488303439
"3092",0.291045783079674,1.51177648399259,3.80950249718057,5.78923793550226,2.37478106730902
"3280",0.786343579976649,2.19631803075892,4.4645225202218,5.3694440804306,2.69312736039549
"3302",0.434568908664544,1.99511629965842,2.99627669770714,6.95136909386879,2.55996003267527
"3321",0.0352344394826601,1.51615911616375,4.33107201983724,5.36316241230006,2.80747865183613
"3335",0.0492826451463707,1.42552869820667,3.49225402986176,5.25389021628127,2.1903233590758
"3693",0.558837331394643,2.16782475032055,3.69928062050879,4.98465330797233,2.63648491124556
"3705",0.424881640059708,1.8943733036333,2.26751551150824,3.56726169235387,2.21674696137492
"3767",0.136720571911456,0.77789351677782,2.98847132047518,4.4215710245264,1.85826499791947
"3854",0.0100171206160601,1.16840164619609,2.50009459561958,2.72916478969277,2.79794317792431
"3873",0.00916754649535136,1.3600488416614,3.33487843404016,5.32502074550366,2.61479681272587
"3933",0.0526618856547036,1.90564891630955,2.88553797188383,4.83241310188512,2.21029622038618
"3985",0.839276062464642,2.22553503316488,4.41865905031594,5.36638186074997,2.69832066251296
"4035",0.131738927701912,1.52741221852572,4.33107201983724,5.36316241230006,2.88318357911215
"4073",0.432018588766913,2.12538819927199,2.99627669770714,6.95136909386879,2.73153120841035
"4276",0.0371275682090819,1.74315421959358,4.33107201983724,5.36316241230006,2.53180193267503
"4364",0.408365615500898,2.10683547183063,2.99627669770714,6.95136909386879,1.72261433812545
"4544",0.343889427528959,1.5180961742089,3.80950249718057,5.78923793550226,2.88254825371348
"4603",0.153454533613614,1.82674072643468,4.33107201983724,5.36316241230006,2.22471646163055
"4680",0.163439849793881,1.73630226847935,4.55253120853509,6.47257508985315,2.84985796222679
"4705",0.117458027991604,1.64089819730737,4.33107201983724,5.36316241230006,2.22583213918985
"4794",0.429967494819142,2.16827515299863,2.99627669770714,6.95136909386879,2.75592020568688
"4800",0.110215483531512,1.5061297468898,3.80950249718057,5.78923793550226,2.45825103780851
"4816",0.325252241354584,2.0976936712643,4.4240457227584,3.96189547366785,2.56117239668328
"4862",0.434568908664544,1.98913513311281,2.99627669770714,6.95136909386879,2.56597424475435
"4869",0.371782632724267,2.0088591218262,3.5953428256262,5.33782451404581,2.47781006454463
"4827",0.00400274234211206,0.710322045914883,3.17598650936112,4.50851625226694,1.9916742776731
"4916",0.112138746994783,1.86147641726385,3.58078294659351,5.98977763964001,2.96379344707979
"4974",0.724318861970904,1.6045265044649,3.33487843404016,5.32502074550366,2.58303675406315
"5184",0.0641805744142277,2.10570141957492,2.99627669770714,6.95136909386879,1.89171330085297
"5236",0.371331795030799,2.01432407813879,2.99627669770714,6.95136909386879,2.68573107828803
"5250",0.468874636892792,1.82826033667987,4.55253120853509,6.47257508985315,2.75702075805766
"5278",0.359291076482132,0.739205487900306,3.17598650936112,4.50851625226694,2.15238845943554
"5286",0.369881773909656,2.09022829586032,4.14310934368233,4.86861505347097,2.71985719460192
"5330",0.0284356840797492,1.43041699266462,3.49225402986176,5.25389021628127,2.2726909508111
"5511",0.359799393055129,1.93533156512307,3.5953428256262,5.33782451404581,2.58106743737344
"5521",0.177144608591677,1.70921487604913,4.55253120853509,6.47257508985315,2.95129848052563
"5643",0.409525026051098,1.58337584530997,4.55253120853509,6.47257508985315,2.48768536188123
"5680",0.0701063089816512,1.40969948678653,2.99627669770714,6.95136909386879,2.4815705841947
"5731",0.238765598185925,2.28613982844485,4.09994418754491,5.03344788228798,2.60944194499631
"5785",0.564104186573847,1.40173671742437,3.33487843404016,5.32502074550366,2.15110341514852
"5818",0.0938258374737744,1.67705617303961,4.37324138608759,5.43420630841758,2.70970900163977
"6130",0.7672875610218,2.21656658360948,3.80950249718057,5.78923793550226,2.24830905176763
"6229",0.434568908664544,1.99090054244682,2.99627669770714,6.95136909386879,2.67537184573491
"6382",0.0897660718744124,1.50376570019523,3.80950249718057,5.78923793550226,2.61598447638445
"6585",0.0793459325821667,1.77451002046486,3.80950249718057,5.78923793550226,3.00026489051585
"6673",0.109542226961314,1.51059101604251,3.80950249718057,5.78923793550226,2.16179566780541
"6719",0.312715762751932,1.51926202127049,3.80950249718057,5.78923793550226,2.74997773782326
"6749",0.0676779882380315,1.34313364131581,4.55253120853509,6.47257508985315,2.74989038148449
"6810",0.0519881371701316,1.4262141083214,3.49225402986176,5.25389021628127,2.16227628890402
"6860",0.0537293648775292,1.4280560611326,3.49225402986176,5.25389021628127,2.50962649356112
"6946",0.189209488458646,1.82836048584018,4.33107201983724,5.36316241230006,2.42398175588789
"7154",0.331005271125127,2.1220497063946,4.4240457227584,3.96189547366785,2.58034107301243
"7188",0.0184366549416576,0.983354913476319,3.17598650936112,4.50851625226694,2.4011440081076
"7306",0.59198803477138,1.51729131569334,3.33487843404016,5.32502074550366,2.2897561281969
"7388",0.260974251454284,1.22621247347393,2.91918067636586,5.28195781643865,2.59854299723964
"7423",0.0512811834912385,1.42979314971059,3.49225402986176,5.25389021628127,2.80737796169424
"7447",0.231840365731057,2.04103247687244,3.80950249718057,5.78923793550226,2.14909075597367
"7480",0.203662353269133,0.769372950463331,3.17598650936112,4.50851625226694,2.08006358684664
"7549",0.228252465750313,1.69419921728098,3.74727443427803,4.61162773146829,2.66448247662729
"7593",0.426872575785021,1.990011473925,2.99627669770714,6.95136909386879,2.55240745690115
"7662",0.129206356779922,1.70991904527385,4.33107201983724,5.36316241230006,2.34008984904644
"7805",0.340694274137076,1.51459412898317,3.80950249718057,5.78923793550226,2.67235628964493
"7809",0.280158495597915,1.7061533820669,4.37324138608759,5.43420630841758,2.45121972198677
"7828",0.0296357573179043,1.12324103372294,3.33487843404016,5.32502074550366,2.63515749649141
"7847",0.434568908664544,2.20135693765714,2.99627669770714,6.95136909386879,2.70847654422613
"7882",0.117188406456812,1.77532435038009,4.33107201983724,5.36316241230006,2.72982021225985
"7889",0.0499811273270883,1.44910315510643,3.49225402986176,5.25389021628127,2.62331698976948
"7970",0.188928489944982,0.886968429202848,2.98847132047518,4.4215710245264,2.98905896538786
"8056",0.179515884556933,1.64355357496278,4.33107201983724,5.36316241230006,2.27918876582251
"8094",0.405171558446927,1.7228793269556,4.55253120853509,6.47257508985315,2.66555865710791
"8206",0.29134489054565,1.52812187222604,3.80950249718057,5.78923793550226,2.90414535763518
"8212",0.190408781961827,1.88613826637465,3.58078294659351,5.98977763964001,2.92502647146572
"8356",0.0441951721480738,1.38923742759252,3.53572152828684,2.07918124604762,2.51564916677744
"8395",0.306709369453015,1.51097329587583,3.80950249718057,5.78923793550226,2.76951359324707
"8759",0.766421925780047,2.18035229238666,4.4645225202218,5.3694440804306,2.68800113292565
