"","mean_sorgh","sorghum_Fertilizer","GDP","Pesticide","Evapotranspiraton"
"59",0.122799189950581,1.66375563117864,2.5897039154285,3.72320931040511,2.76888218456798
"82",0.819836302199782,2.02426029372379,4.39150655205246,5.83682522770016,2.58169940355087
"119",0.279468399634204,1.25523225958172,2.65874573536115,5.50520154772776,2.92408277505827
"161",0.300116003600254,1.3044592035852,2.58899959049944,1.7481880270062,2.87063211329961
"275",0.0904130422949975,1.57774428498553,3.31522069820779,4.21937492462626,2.94048162044403
"356",0.253564542529037,0.410945374152434,2.58899959049944,1.7481880270062,2.8363494382619
"363",0.234943223247957,1.25781500036743,2.65874573536115,5.50520154772776,2.89466490917891
"398",0.0892906124021632,1.0201073518222,3.33487778544419,5.32502074550366,2.63713935072634
"464",0.603411131820248,2.17400013133062,2.99627519748262,6.95136909386879,2.85709718985228
"665",0.38715387485048,1.82285409620707,4.33107202186358,5.36316241230006,2.71471525551891
"733",0.37955684802451,0.863460074486798,3.80950247825765,5.78923793550226,2.03518950890845
"758",0.556105767138692,1.97519846696639,4.5525312153497,6.47257508985315,2.66668642419237
"842",0.629503032606556,2.12922296737958,2.99627519748262,6.95136909386879,1.89987519602101
"889",0.48198794462307,2.0514519723582,3.39165480373368,5.6784582838221,2.97104843418943
"956",0.379151753913501,2.09500033822863,2.99627519748262,6.95136909386879,2.64138486274232
"1015",0.70602201727962,2.00478364312556,4.21334772465238,5.40708143378234,2.52023454448225
"1087",0.00296640270677006,1.11438081822439,2.70831890119537,3.93495270781786,1.67897337591977
"1105",0.166123782632455,1.20654116716637,2.58899959049944,1.7481880270062,2.71188311853331
"1206",0.663324679641019,1.85226988897669,3.82053378768463,5.19781516944518,2.38948504070815
"1256",0.196779290828146,1.82805667493389,2.71757897536394,5.06566932773143,2.07129273383457
"1317",0.0819995166982977,1.29297481130888,3.33487778544419,5.32502074550366,2.64794015275333
"1342",0.146110626014562,1.02979014907684,2.3318724984889,2.46982201597816,2.50533994060452
"1415",0.299436349496301,1.62896509527919,4.33107202186358,5.36316241230006,2.77986333444283
"1520",0.706702309829619,2.14470795936283,2.99627519748262,6.95136909386879,2.70876072369032
"1529",0.643347340786649,2.03656378902093,2.99627519748262,6.95136909386879,2.73591013896938
"1566",0.557625661283197,1.74939313373796,3.31522069820779,4.21937492462626,2.9174214783073
"1593",0.516842120438817,2.30982973310377,3.82053378768463,5.19781516944518,2.59868109890716
"1629",0.0162734186755456,0.45443131098127,2.98846977020988,4.4215710245264,2.85904818535689
"1759",0.574031267727719,0.716069936502068,3.17598701587034,4.50851625226694,2.11829780133278
"1797",0.117297799739777,0.634138633634771,2.50009919191572,2.72916478969277,2.79409749404121
"2069",0.575716477920039,2.16019937994237,4.5525312153497,6.47257508985315,2.95139095218991
"2105",0.134336505848708,1.29613475828835,3.33487778544419,5.32502074550366,2.36334869132276
"2229",0.2021505460329,1.71153734696588,4.33107202186358,5.36316241230006,2.67315919545419
"2329",0.760727047680412,1.92755259413994,4.5525312153497,6.47257508985315,2.88849961892514
"2420",0.586663142518096,2.17345148858373,2.99627519748262,6.95136909386879,2.59845125265575
"2457",0.311753850886908,1.26922304277376,3.33487778544419,5.32502074550366,2.36503848219571
"376",0.100778273373179,1.57278149033368,3.58078246723073,5.98977763964001,2.7240053756099
"393",0.345774601447056,1.86990972211853,3.21191575223794,4.85455500642305,2.77943774998104
"576",0.0519535083340221,0.682353781282498,3.30639500121521,5.00241662707248,2.64265244302159
"1300",0.108577542665839,1.60540342101877,3.58078246723073,5.98977763964001,2.91526789096641
"1509",0.375358731902606,1.93362295862531,3.76349163550474,4.27018954270418,2.71869263680883
"1523",0.148538369838508,1.00039089097182,3.80950247825765,5.78923793550226,2.85369212917781
"1964",0.0102752808870955,1.63413945066384,3.58078246723073,5.98977763964001,2.94267263524999
"2468",0.303133821587082,1.62348309854398,3.82053378768463,5.19781516944518,2.93381111635241
"2474",0.28750029347513,0.673972418884997,2.09436629833613,3.63648789635337,2.55162075436417
"2477",0.179388090754233,1.13801687120907,2.36250132392901,2.39269695325967,2.69217690207997
"2511",0.429662482191947,1.91091682221625,4.5525312153497,6.47257508985315,2.94278164864097
"2592",0.241153896480842,1.31253218306102,3.33487778544419,5.32502074550366,2.66494268145833
